ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002792.SZ,20200110,27.76,28.1,27.45,27.79,27.75,0.04,0.1441,71433.77,198507.685
002792.SZ,20200109,26.78,27.76,26.78,27.75,26.37,1.38,5.2332,96635.16,265521.228
002792.SZ,20200108,26.8,26.99,26.31,26.37,27.18,-0.81,-2.9801,58732.5,156679.117
002792.SZ,20200107,27.33,27.38,26.9,27.18,27.2,-0.02,-0.0735,42229.69,114615.814
002792.SZ,20200106,26.77,27.66,26.76,27.2,26.97,0.23,0.8528,65736.46,178853.886
002792.SZ,20200103,27.3,27.42,26.84,26.97,27.1,-0.13,-0.4797,40296.74,109037.258
002792.SZ,20200102,26.87,27.3,26.72,27.1,26.72,0.38,1.4222,52898.77,143204.029
002792.SZ,20191231,26.05,26.91,26.05,26.72,26.0,0.72,2.7692,62760.95,166908.4
002792.SZ,20191230,25.69,26.25,25.08,26.0,25.99,0.01,0.0385,45183.11,116235.996
002792.SZ,20191227,26.77,26.86,25.98,25.99,26.65,-0.66,-2.4765,53451.06,141345.784
002792.SZ,20191226,26.53,26.88,26.38,26.65,26.61,0.04,0.1503,32314.34,85802.147
002792.SZ,20191225,26.42,26.86,26.22,26.61,26.41,0.2,0.7573,41995.84,111898.629
002792.SZ,20191224,26.1,26.41,25.94,26.41,25.9,0.51,1.9691,27318.31,71584.47
002792.SZ,20191223,26.16,26.69,25.79,25.9,26.39,-0.49,-1.8568,45336.6,119156.083
002792.SZ,20191220,27.21,27.21,26.36,26.39,27.21,-0.82,-3.0136,51109.75,136500.672
002792.SZ,20191219,26.69,27.4,26.65,27.21,26.89,0.32,1.19,63229.84,171768.841
002792.SZ,20191218,26.8,27.19,26.6,26.89,26.7,0.19,0.7116,73362.13,197874.423
002792.SZ,20191217,26.65,26.97,26.52,26.7,26.72,-0.02,-0.0749,62310.61,166567.839
002792.SZ,20191216,25.96,26.76,25.93,26.72,25.91,0.81,3.1262,78853.48,209032.961
002792.SZ,20191213,26.12,26.44,25.64,25.91,25.92,-0.01,-0.0386,56108.21,145685.882
002792.SZ,20191212,26.07,26.39,25.85,25.92,25.95,-0.03,-0.1156,44501.46,116116.627
002792.SZ,20191211,26.21,26.45,25.9,25.95,26.27,-0.32,-1.2181,49174.44,128423.802
002792.SZ,20191210,26.31,26.43,25.83,26.27,26.35,-0.08,-0.3036,49426.18,129493.915
002792.SZ,20191209,26.18,26.53,26.0,26.35,26.03,0.32,1.2294,46063.65,121301.882
002792.SZ,20191206,25.8,26.18,25.59,26.03,25.72,0.31,1.2053,47225.96,122561.024
002792.SZ,20191205,25.59,25.88,25.35,25.72,25.54,0.18,0.7048,56195.14,144443.589
002792.SZ,20191204,24.99,25.66,24.9,25.54,25.26,0.28,1.1085,43575.44,110870.426
002792.SZ,20191203,24.4,25.35,24.4,25.26,24.62,0.64,2.5995,44065.21,110531.504
002792.SZ,20191202,24.48,24.75,24.25,24.62,24.3,0.32,1.3169,23863.05,58757.124
002792.SZ,20191129,24.3,24.44,24.06,24.3,24.29,0.01,0.0412,20115.0,48787.026
002792.SZ,20191128,24.0,24.32,23.8,24.29,24.0,0.29,1.2083,21552.62,52174.801
002792.SZ,20191127,23.9,24.2,23.69,24.0,23.78,0.22,0.9251,23677.0,56840.887
002792.SZ,20191126,23.99,24.18,23.7,23.78,23.92,-0.14,-0.5853,18794.11,44933.917
002792.SZ,20191125,24.35,24.6,23.6,23.92,24.5,-0.58,-2.3673,34167.7,81630.086
002792.SZ,20191122,24.89,25.28,24.15,24.5,24.7,-0.2,-0.8097,41667.01,103086.841
002792.SZ,20191121,25.08,25.2,24.54,24.7,25.08,-0.38,-1.5152,32411.8,80620.822
002792.SZ,20191120,25.57,25.6,25.07,25.08,25.56,-0.48,-1.8779,26981.6,68377.171
002792.SZ,20191119,25.08,25.68,24.95,25.56,25.06,0.5,1.9952,36133.89,91801.563
002792.SZ,20191118,24.95,25.35,24.84,25.06,25.03,0.03,0.1199,21274.95,53311.55
002792.SZ,20191115,25.15,25.45,24.92,25.03,25.16,-0.13,-0.5167,29263.65,73732.712
002792.SZ,20191114,24.74,25.25,24.37,25.16,24.7,0.46,1.8623,36901.54,91919.142
002792.SZ,20191113,24.74,24.99,24.56,24.7,24.8,-0.1,-0.4032,26554.3,65740.898
002792.SZ,20191112,24.84,24.96,24.36,24.8,24.7,0.1,0.4049,34351.03,84668.407
002792.SZ,20191111,25.73,25.73,24.5,24.7,25.94,-1.24,-4.7803,52987.43,133274.461
002792.SZ,20191108,26.2,26.46,25.86,25.94,26.06,-0.12,-0.4605,41679.4,108946.876
002792.SZ,20191107,26.1,26.17,25.78,26.06,26.01,0.05,0.1922,37192.76,96497.675
002792.SZ,20191106,26.86,26.95,25.69,26.01,26.93,-0.92,-3.4163,64368.12,168990.067
002792.SZ,20191105,27.04,27.19,26.72,26.93,26.94,-0.01,-0.0371,44280.05,119394.635
002792.SZ,20191104,27.5,27.5,26.86,26.94,27.21,-0.27,-0.9923,73432.28,199157.606
002792.SZ,20191101,26.4,27.25,26.21,27.21,26.27,0.94,3.5782,77518.72,208075.48
002792.SZ,20191031,26.22,26.72,26.16,26.27,26.21,0.06,0.2289,44125.94,116708.947
002792.SZ,20191030,26.06,26.6,25.76,26.21,26.15,0.06,0.2294,43086.0,112927.817
002792.SZ,20191029,26.6,26.89,26.14,26.15,26.57,-0.42,-1.5807,50259.44,133095.714
002792.SZ,20191028,26.01,26.72,26.01,26.57,26.06,0.51,1.957,44300.36,117293.037
002792.SZ,20191025,25.56,26.25,25.36,26.06,25.7,0.36,1.4008,33730.5,87275.444
002792.SZ,20191024,25.63,26.06,25.15,25.7,25.88,-0.18,-0.6955,29514.94,75546.021
002792.SZ,20191023,25.9,26.23,25.63,25.88,25.92,-0.04,-0.1543,29502.4,76563.566
002792.SZ,20191022,25.6,25.95,25.46,25.92,25.42,0.5,1.967,31471.34,80929.5
002792.SZ,20191021,26.35,26.35,25.1,25.42,25.99,-0.57,-2.1932,39107.43,99494.209
002792.SZ,20191018,26.75,26.98,25.91,25.99,26.65,-0.66,-2.4765,40847.81,107950.983
