ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002491.SZ,20200110,7.04,7.06,6.92,6.98,7.0,-0.02,-0.2857,122206.91,85234.431
002491.SZ,20200109,6.87,7.05,6.87,7.0,6.82,0.18,2.6393,189829.32,132378.777
002491.SZ,20200108,6.94,7.0,6.79,6.82,6.97,-0.15,-2.1521,154290.63,106297.827
002491.SZ,20200107,6.97,7.03,6.9,6.97,6.92,0.05,0.7225,146390.54,101786.33
002491.SZ,20200106,6.85,6.98,6.82,6.92,6.89,0.03,0.4354,155001.97,107054.05
002491.SZ,20200103,6.81,6.92,6.77,6.89,6.79,0.1,1.4728,164138.29,112446.022
002491.SZ,20200102,6.67,6.84,6.62,6.79,6.61,0.18,2.7231,167026.87,112602.799
002491.SZ,20191231,6.59,6.65,6.56,6.61,6.59,0.02,0.3035,80079.21,52931.801
002491.SZ,20191230,6.59,6.61,6.43,6.59,6.63,-0.04,-0.6033,101362.65,66163.231
002491.SZ,20191227,6.65,6.72,6.63,6.63,6.65,-0.02,-0.3008,105756.37,70524.107
002491.SZ,20191226,6.67,6.67,6.57,6.65,6.66,-0.01,-0.1502,109545.66,72425.526
002491.SZ,20191225,6.66,6.69,6.6,6.66,6.65,0.01,0.1504,88676.2,58942.504
002491.SZ,20191224,6.62,6.68,6.6,6.65,6.62,0.03,0.4532,78952.85,52431.117
002491.SZ,20191223,6.81,6.83,6.6,6.62,6.81,-0.19,-2.79,128203.0,85726.244
002491.SZ,20191220,6.97,7.02,6.78,6.81,6.98,-0.17,-2.4355,149198.11,102703.162
002491.SZ,20191219,6.92,7.01,6.92,6.98,6.94,0.04,0.5764,103822.86,72403.572
002491.SZ,20191218,7.08,7.08,6.93,6.94,7.01,-0.07,-0.9986,151985.18,106135.118
002491.SZ,20191217,6.9,7.09,6.85,7.01,6.88,0.13,1.8895,198055.81,138141.19
002491.SZ,20191216,6.77,6.9,6.72,6.88,6.75,0.13,1.9259,180198.92,122788.998
002491.SZ,20191213,6.72,6.76,6.65,6.75,6.68,0.07,1.0479,130810.74,87532.394
002491.SZ,20191212,6.72,6.79,6.62,6.68,6.76,-0.08,-1.1834,131853.19,88291.537
002491.SZ,20191211,6.67,6.86,6.64,6.76,6.67,0.09,1.3493,191065.57,129482.891
002491.SZ,20191210,6.69,6.69,6.58,6.67,6.69,-0.02,-0.299,97889.28,65009.114
002491.SZ,20191209,6.72,6.74,6.65,6.69,6.71,-0.02,-0.2981,72135.08,48234.032
002491.SZ,20191206,6.76,6.77,6.66,6.71,6.76,-0.05,-0.7396,75993.14,50872.675
002491.SZ,20191205,6.73,6.77,6.66,6.76,6.72,0.04,0.5952,89790.01,60275.283
002491.SZ,20191204,6.73,6.78,6.64,6.72,6.79,-0.07,-1.0309,71880.38,48228.39
002491.SZ,20191203,6.71,6.86,6.67,6.79,6.77,0.02,0.2954,97581.62,66025.424
002491.SZ,20191202,6.61,6.79,6.6,6.77,6.62,0.15,2.2659,109930.29,73958.427
002491.SZ,20191129,6.6,6.66,6.48,6.62,6.65,-0.03,-0.4511,80371.84,52684.553
002491.SZ,20191128,6.48,6.85,6.46,6.65,6.5,0.15,2.3077,134641.48,90121.202
002491.SZ,20191127,6.5,6.55,6.46,6.5,6.52,-0.02,-0.3067,42694.3,27742.599
002491.SZ,20191126,6.51,6.57,6.48,6.52,6.51,0.01,0.1536,55214.6,36018.444
002491.SZ,20191125,6.55,6.61,6.47,6.51,6.55,-0.04,-0.6107,78263.47,51132.507
002491.SZ,20191122,6.49,6.68,6.47,6.55,6.47,0.08,1.2365,87494.13,57434.152
002491.SZ,20191121,6.51,6.54,6.46,6.47,6.51,-0.04,-0.6144,37985.6,24638.554
002491.SZ,20191120,6.62,6.65,6.5,6.51,6.59,-0.08,-1.214,54635.19,35804.72
002491.SZ,20191119,6.51,6.59,6.47,6.59,6.46,0.13,2.0124,63288.66,41434.048
002491.SZ,20191118,6.41,6.47,6.36,6.46,6.39,0.07,1.0955,42730.99,27468.073
002491.SZ,20191115,6.55,6.56,6.39,6.39,6.55,-0.16,-2.4427,73800.0,47502.468
002491.SZ,20191114,6.57,6.59,6.51,6.55,6.54,0.01,0.1529,42504.12,27842.441
002491.SZ,20191113,6.56,6.59,6.51,6.54,6.59,-0.05,-0.7587,36186.29,23663.773
002491.SZ,20191112,6.56,6.62,6.46,6.59,6.52,0.07,1.0736,48905.44,31955.123
002491.SZ,20191111,6.73,6.73,6.51,6.52,6.74,-0.22,-3.2641,76278.0,50272.945
002491.SZ,20191108,6.81,6.85,6.74,6.74,6.75,-0.01,-0.1481,55468.15,37709.23
002491.SZ,20191107,6.7,6.85,6.68,6.75,6.7,0.05,0.7463,53378.27,36172.588
002491.SZ,20191106,6.8,6.82,6.66,6.7,6.82,-0.12,-1.7595,61343.46,41339.378
002491.SZ,20191105,6.89,6.93,6.72,6.82,6.89,-0.07,-1.016,89620.71,60901.303
002491.SZ,20191104,6.95,7.05,6.89,6.89,6.95,-0.06,-0.8633,64960.69,45121.854
002491.SZ,20191101,6.84,6.95,6.73,6.95,6.82,0.13,1.9062,66800.57,46022.196
002491.SZ,20191031,6.8,6.91,6.79,6.82,6.82,0.0,0.0,60650.0,41511.764
002491.SZ,20191030,6.88,6.94,6.79,6.82,6.89,-0.07,-1.016,63664.96,43593.455
002491.SZ,20191029,7.07,7.08,6.88,6.89,7.09,-0.2,-2.8209,86911.44,60696.57
002491.SZ,20191028,6.9,7.15,6.9,7.09,6.9,0.19,2.7536,88472.03,62484.91
002491.SZ,20191025,6.8,6.94,6.76,6.9,6.82,0.08,1.173,50706.37,34674.189
002491.SZ,20191024,6.9,6.94,6.76,6.82,6.93,-0.11,-1.5873,63231.88,43164.872
002491.SZ,20191023,6.97,6.98,6.9,6.93,6.95,-0.02,-0.2878,43924.18,30486.639
002491.SZ,20191022,6.92,7.01,6.89,6.95,6.92,0.03,0.4335,45311.26,31468.764
002491.SZ,20191021,7.12,7.12,6.85,6.92,7.08,-0.16,-2.2599,68825.27,47556.84
002491.SZ,20191018,7.22,7.26,7.06,7.08,7.18,-0.1,-1.3928,61901.18,44337.009
002491.SZ,20191017,7.3,7.32,7.17,7.18,7.26,-0.08,-1.1019,56337.16,40740.059
002491.SZ,20191016,7.44,7.47,7.24,7.26,7.41,-0.15,-2.0243,94985.0,69553.874
002491.SZ,20191015,7.3,7.45,7.17,7.41,7.36,0.05,0.6793,135878.17,99663.655
002491.SZ,20191014,7.33,7.42,7.3,7.36,7.25,0.11,1.5172,113768.76,83741.296
002491.SZ,20191011,7.4,7.41,7.15,7.25,7.38,-0.13,-1.7615,129237.89,93637.338
002491.SZ,20191010,7.37,7.52,7.31,7.38,7.4,-0.02,-0.2703,114280.3,84460.467
002491.SZ,20191009,7.58,7.58,7.28,7.4,7.55,-0.15,-1.9868,137933.86,101974.759
002491.SZ,20191008,7.66,7.77,7.51,7.55,7.68,-0.13,-1.6927,96087.59,72938.703
002491.SZ,20190930,7.8,7.9,7.66,7.68,7.8,-0.12,-1.5385,101263.22,78627.403
002491.SZ,20190927,7.57,7.95,7.53,7.8,7.51,0.29,3.8615,185795.99,144805.462
