ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002852.SZ,20200110,13.75,13.83,13.63,13.75,13.73,0.02,0.1457,10801.6,14846.392
002852.SZ,20200109,13.56,13.78,13.55,13.73,13.48,0.25,1.8546,10827.33,14811.303
002852.SZ,20200108,13.69,13.81,13.48,13.48,13.74,-0.26,-1.8923,11835.73,16147.42
002852.SZ,20200107,13.71,13.75,13.57,13.74,13.67,0.07,0.5121,12171.86,16641.039
002852.SZ,20200106,13.73,13.92,13.6,13.67,13.74,-0.07,-0.5095,13720.49,18836.745
002852.SZ,20200103,13.56,13.8,13.56,13.74,13.59,0.15,1.1038,18086.83,24814.338
002852.SZ,20200102,13.51,13.65,13.49,13.59,13.48,0.11,0.816,15359.54,20837.588
002852.SZ,20191231,13.33,13.49,13.27,13.48,13.33,0.15,1.1253,10967.52,14698.805
002852.SZ,20191230,13.28,13.36,13.16,13.33,13.28,0.05,0.3765,7327.94,9734.774
002852.SZ,20191227,13.34,13.41,13.27,13.28,13.33,-0.05,-0.3751,9762.37,13016.574
002852.SZ,20191226,13.38,13.41,13.25,13.33,13.38,-0.05,-0.3737,7893.33,10503.285
002852.SZ,20191225,13.28,13.4,13.27,13.38,13.35,0.03,0.2247,6480.81,8647.202
002852.SZ,20191224,13.19,13.41,13.19,13.35,13.19,0.16,1.213,7393.28,9852.432
002852.SZ,20191223,13.26,13.37,13.11,13.19,13.26,-0.07,-0.5279,12495.68,16590.642
002852.SZ,20191220,13.4,13.43,13.25,13.26,13.38,-0.12,-0.8969,5648.3,7540.479
002852.SZ,20191219,13.31,13.42,13.31,13.38,13.33,0.05,0.3751,7423.21,9911.277
002852.SZ,20191218,13.4,13.42,13.28,13.33,13.35,-0.02,-0.1498,6632.72,8844.369
002852.SZ,20191217,13.25,13.38,13.25,13.35,13.29,0.06,0.4515,10305.7,13742.865
002852.SZ,20191216,13.19,13.34,13.19,13.29,13.18,0.11,0.8346,6999.48,9295.391
002852.SZ,20191213,13.05,13.2,13.04,13.18,13.02,0.16,1.2289,5907.71,7752.489
002852.SZ,20191212,13.1,13.16,13.01,13.02,13.06,-0.04,-0.3063,4730.41,6190.953
002852.SZ,20191211,13.17,13.2,13.04,13.06,13.21,-0.15,-1.1355,8662.74,11347.075
002852.SZ,20191210,13.21,13.25,13.16,13.21,13.21,0.0,0.0,4396.66,5800.525
002852.SZ,20191209,13.3,13.33,13.14,13.21,13.2,0.01,0.0758,5425.77,7168.073
002852.SZ,20191206,13.08,13.25,13.08,13.2,13.07,0.13,0.9946,7464.61,9828.379
002852.SZ,20191205,13.16,13.16,13.01,13.07,13.07,0.0,0.0,6042.13,7899.36
002852.SZ,20191204,13.05,13.21,12.97,13.07,13.08,-0.01,-0.0765,5652.19,7410.437
002852.SZ,20191203,12.95,13.09,12.9,13.08,13.02,0.06,0.4608,6244.48,8152.121
002852.SZ,20191202,12.86,13.02,12.86,13.02,12.86,0.16,1.2442,5404.39,7000.056
002852.SZ,20191129,12.84,12.93,12.83,12.86,12.85,0.01,0.0778,5513.32,7102.984
002852.SZ,20191128,12.92,12.96,12.81,12.85,12.87,-0.02,-0.1554,7236.81,9328.935
002852.SZ,20191127,12.84,12.97,12.82,12.87,12.91,-0.04,-0.3098,7848.2,10118.678
002852.SZ,20191126,12.81,13.05,12.81,12.91,12.8,0.11,0.8594,12169.28,15766.838
002852.SZ,20191125,13.05,13.05,12.8,12.8,13.1,-0.3,-2.2901,18517.2,23846.599
002852.SZ,20191122,13.31,13.37,13.0,13.1,13.65,-0.55,-4.0293,50077.77,65701.563
002852.SZ,20191121,15.01,15.01,13.42,13.65,14.3,-0.65,-4.5455,98503.75,139009.991
002852.SZ,20191120,14.06,14.3,13.67,14.3,13.83,0.47,3.3984,23779.1,33248.138
002852.SZ,20191119,13.86,13.95,13.67,13.83,13.86,-0.03,-0.2165,20636.52,28547.534
002852.SZ,20191118,13.3,13.88,13.29,13.86,13.28,0.58,4.3675,43457.92,59395.991
002852.SZ,20191115,13.07,13.34,13.05,13.28,13.13,0.15,1.1424,13676.44,18040.422
002852.SZ,20191114,12.84,13.21,12.8,13.13,13.16,-0.03,-0.228,14109.2,18329.838
002852.SZ,20191113,13.31,13.31,13.14,13.16,13.34,-0.18,-1.3493,10018.23,13245.189
002852.SZ,20191112,13.1,13.34,13.02,13.34,13.12,0.22,1.6768,16549.86,21857.601
002852.SZ,20191111,12.99,13.19,12.9,13.12,13.01,0.11,0.8455,15973.91,20843.99
