ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600106.SH,20200110,3.07,3.08,3.05,3.06,3.07,-0.01,-0.3257,36351.58,11120.468
600106.SH,20200109,3.06,3.08,3.05,3.07,3.04,0.03,0.9868,62898.86,19265.122
600106.SH,20200108,3.09,3.09,3.04,3.04,3.1,-0.06,-1.9355,93134.26,28494.047
600106.SH,20200107,3.06,3.1,3.05,3.1,3.07,0.03,0.9772,129245.34,39803.165
600106.SH,20200106,3.13,3.13,3.01,3.07,3.13,-0.06,-1.9169,263369.18,80710.886
600106.SH,20200103,3.11,3.14,3.09,3.13,3.12,0.01,0.3205,92885.74,28963.437
600106.SH,20200102,3.12,3.14,3.08,3.12,3.11,0.01,0.3215,130252.48,40546.716
600106.SH,20191231,3.07,3.12,3.05,3.11,3.07,0.04,1.3029,134328.43,41578.089
600106.SH,20191230,2.98,3.07,2.98,3.07,2.99,0.08,2.6756,128816.39,39031.049
600106.SH,20191227,3.01,3.03,2.99,2.99,3.01,-0.02,-0.6645,76580.83,23008.476
600106.SH,20191226,2.99,3.01,2.99,3.01,3.0,0.01,0.3333,27924.65,8382.336
600106.SH,20191225,3.01,3.01,2.98,3.0,3.01,-0.01,-0.3322,31328.83,9383.287
600106.SH,20191224,2.99,3.02,2.97,3.01,2.99,0.02,0.6689,36182.17,10841.44
600106.SH,20191223,3.0,3.09,2.97,2.99,3.02,-0.03,-0.9934,88211.32,26664.459
600106.SH,20191220,3.03,3.04,3.02,3.02,3.03,-0.01,-0.33,50558.08,15309.88
600106.SH,20191219,3.0,3.04,3.0,3.03,3.02,0.01,0.3311,52495.55,15839.612
600106.SH,20191218,3.02,3.04,3.0,3.02,3.03,-0.01,-0.33,75869.38,22887.11
600106.SH,20191217,2.99,3.04,2.98,3.03,2.99,0.04,1.3378,71986.98,21697.176
600106.SH,20191216,2.99,3.0,2.97,2.99,2.98,0.01,0.3356,56181.32,16766.558
600106.SH,20191213,2.96,2.98,2.94,2.98,2.96,0.02,0.6757,66766.29,19753.577
600106.SH,20191212,2.94,3.01,2.93,2.96,2.95,0.01,0.339,65588.71,19470.484
600106.SH,20191211,2.94,2.96,2.94,2.95,2.95,0.0,0.0,26842.82,7911.907
600106.SH,20191210,2.95,2.95,2.92,2.95,2.95,0.0,0.0,30238.06,8878.602
600106.SH,20191209,2.95,2.96,2.93,2.95,2.94,0.01,0.3401,32020.47,9427.572
600106.SH,20191206,2.93,2.95,2.92,2.94,2.93,0.01,0.3413,40811.77,11997.708
600106.SH,20191205,2.91,2.94,2.9,2.93,2.92,0.01,0.3425,33798.62,9893.327
600106.SH,20191204,2.91,2.92,2.9,2.92,2.92,0.0,0.0,25391.86,7382.328
600106.SH,20191203,2.89,2.92,2.89,2.92,2.91,0.01,0.3436,23624.49,6848.273
600106.SH,20191202,2.92,2.93,2.89,2.91,2.92,-0.01,-0.3425,37736.46,10965.41
600106.SH,20191129,2.92,2.93,2.9,2.92,2.92,0.0,0.0,18511.99,5399.285
