ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600383.SH,20200110,14.6,14.7,14.18,14.26,14.7,-0.44,-2.9932,329230.72,470877.206
600383.SH,20200109,14.69,15.09,14.6,14.7,14.56,0.14,0.9615,377452.38,561827.792
600383.SH,20200108,14.35,14.61,14.15,14.56,14.44,0.12,0.831,286947.94,413806.185
600383.SH,20200107,14.3,14.54,14.18,14.44,14.3,0.14,0.979,214050.96,307518.537
600383.SH,20200106,14.3,14.35,13.94,14.3,14.56,-0.26,-1.7857,439607.03,623268.883
600383.SH,20200103,14.55,14.65,14.28,14.56,14.54,0.02,0.1376,263322.51,380500.935
600383.SH,20200102,14.65,15.15,14.49,14.54,14.5,0.04,0.2759,470729.25,694715.481
600383.SH,20191231,14.2,14.69,14.08,14.5,14.27,0.23,1.6118,327692.78,472968.756
600383.SH,20191230,14.01,14.35,13.9,14.27,13.96,0.31,2.2206,298866.01,422492.171
600383.SH,20191227,13.7,14.15,13.7,13.96,13.8,0.16,1.1594,337188.37,470292.108
600383.SH,20191226,13.18,14.0,13.18,13.8,13.06,0.74,5.6662,460563.96,631372.311
600383.SH,20191225,12.99,13.15,12.91,13.06,13.11,-0.05,-0.3814,190712.08,248223.253
600383.SH,20191224,13.39,13.39,12.94,13.11,13.3,-0.19,-1.4286,298723.82,390589.873
600383.SH,20191223,13.71,13.85,13.21,13.3,13.73,-0.43,-3.1318,279078.68,376818.636
600383.SH,20191220,13.4,13.84,13.34,13.73,13.32,0.41,3.0781,328347.37,449287.818
600383.SH,20191219,13.22,13.47,13.2,13.32,13.16,0.16,1.2158,164307.27,218972.54
600383.SH,20191218,13.26,13.44,13.14,13.16,13.27,-0.11,-0.8289,213253.91,283831.899
600383.SH,20191217,12.98,13.58,12.91,13.27,12.97,0.3,2.313,421133.29,560333.938
600383.SH,20191216,12.85,13.01,12.68,12.97,12.94,0.03,0.2318,252449.59,323983.863
600383.SH,20191213,13.07,13.2,12.81,12.94,12.81,0.13,1.0148,330785.06,428571.926
600383.SH,20191212,12.9,13.04,12.79,12.81,12.99,-0.18,-1.3857,169314.19,218199.47
600383.SH,20191211,12.7,13.05,12.7,12.99,12.58,0.41,3.2591,388126.52,501890.771
600383.SH,20191210,12.67,12.73,12.53,12.58,12.72,-0.14,-1.1006,224027.5,282464.793
600383.SH,20191209,12.28,12.73,12.21,12.72,12.16,0.56,4.6053,451773.44,566457.212
600383.SH,20191206,12.15,12.2,12.05,12.16,12.19,-0.03,-0.2461,182920.25,221678.981
600383.SH,20191205,12.29,12.34,12.1,12.19,12.27,-0.08,-0.652,215036.75,261378.222
600383.SH,20191204,12.45,12.51,12.21,12.27,12.42,-0.15,-1.2077,119242.18,146845.159
600383.SH,20191203,12.34,12.63,12.28,12.42,12.37,0.05,0.4042,243679.31,303629.576
600383.SH,20191202,11.96,12.4,11.96,12.37,11.9,0.47,3.9496,313002.75,384651.964
600383.SH,20191129,11.91,12.09,11.87,11.9,11.93,-0.03,-0.2515,146050.79,174696.851
600383.SH,20191128,12.1,12.15,11.88,11.93,12.12,-0.19,-1.5677,112798.75,135417.409
600383.SH,20191127,12.22,12.3,12.03,12.12,12.26,-0.14,-1.1419,135872.19,165080.578
600383.SH,20191126,12.34,12.34,12.15,12.26,12.28,-0.02,-0.1629,205130.76,250857.818
600383.SH,20191125,11.97,12.41,11.97,12.28,11.99,0.29,2.4187,317564.96,389148.663
600383.SH,20191122,12.02,12.08,11.87,11.99,12.0,-0.01,-0.0833,128224.14,153437.421
600383.SH,20191121,11.92,12.02,11.76,12.0,11.95,0.05,0.4184,121957.57,145392.093
600383.SH,20191120,12.1,12.14,11.92,11.95,12.05,-0.1,-0.8299,115941.67,139205.798
600383.SH,20191119,11.85,12.15,11.77,12.05,11.83,0.22,1.8597,223022.06,268603.659
600383.SH,20191118,11.68,11.98,11.56,11.83,11.69,0.14,1.1976,180527.28,212702.356
600383.SH,20191115,11.74,11.83,11.6,11.69,11.74,-0.05,-0.4259,91128.22,106986.171
600383.SH,20191114,11.85,11.91,11.66,11.74,11.82,-0.08,-0.6768,179660.35,210979.047
600383.SH,20191113,11.95,11.95,11.69,11.82,11.89,-0.07,-0.5887,141217.67,166378.808
600383.SH,20191112,11.84,11.97,11.77,11.89,11.81,0.08,0.6774,97889.72,116277.064
600383.SH,20191111,11.93,11.93,11.66,11.81,11.99,-0.18,-1.5013,233926.18,274968.785
600383.SH,20191108,12.23,12.29,11.91,11.99,12.1,-0.11,-0.9091,183491.45,221162.479
600383.SH,20191107,12.19,12.25,12.04,12.1,12.16,-0.06,-0.4934,133454.84,161971.826
600383.SH,20191106,12.37,12.44,12.13,12.16,12.35,-0.19,-1.5385,148961.25,181858.447
600383.SH,20191105,12.17,12.55,12.1,12.35,12.13,0.22,1.8137,245038.2,302995.899
600383.SH,20191104,12.25,12.38,12.03,12.13,12.21,-0.08,-0.6552,218109.25,265656.318
600383.SH,20191101,11.95,12.34,11.74,12.21,11.9,0.31,2.605,280936.18,339883.342
600383.SH,20191031,11.95,12.0,11.84,11.9,11.88,0.02,0.1684,221907.53,264262.944
600383.SH,20191030,11.95,12.31,11.6,11.88,12.5,-0.62,-4.96,625850.7,747441.318
600383.SH,20191029,12.7,12.74,12.4,12.5,12.66,-0.16,-1.2638,157592.85,197557.778
600383.SH,20191028,12.75,12.8,12.5,12.66,12.9,-0.24,-1.8605,230068.06,291231.645
600383.SH,20191025,13.0,13.06,12.83,12.9,12.9,0.0,0.0,152374.92,196606.311
600383.SH,20191024,12.84,13.05,12.76,12.9,12.85,0.05,0.3891,147622.61,190088.942
600383.SH,20191023,13.22,13.28,12.77,12.85,13.24,-0.39,-2.9456,273124.21,351694.916
600383.SH,20191022,13.1,13.24,12.95,13.24,13.25,-0.01,-0.0755,304754.29,399740.847
600383.SH,20191021,12.68,13.31,12.65,13.25,12.63,0.62,4.9089,391937.24,512854.386
600383.SH,20191018,13.07,13.18,12.55,12.63,13.02,-0.39,-2.9954,247602.73,316961.846
600383.SH,20191017,13.16,13.22,12.86,13.02,13.11,-0.09,-0.6865,222776.52,289747.632
600383.SH,20191016,13.02,13.5,13.0,13.11,12.97,0.14,1.0794,357213.31,473379.706
600383.SH,20191015,13.05,13.28,12.85,12.97,13.1,-0.13,-0.9924,240849.78,312428.52
600383.SH,20191014,12.92,13.25,12.88,13.1,12.88,0.22,1.7081,444939.68,581963.786
600383.SH,20191011,12.92,13.15,12.76,12.88,12.86,0.02,0.1555,346304.75,446640.976
600383.SH,20191010,12.79,12.88,12.59,12.86,12.74,0.12,0.9419,500954.58,639184.768
600383.SH,20191009,12.02,12.96,12.02,12.74,12.08,0.66,5.4636,802326.85,1011186.208
600383.SH,20191008,11.59,12.23,11.58,12.08,11.55,0.53,4.5887,461085.49,553258.731
600383.SH,20190930,11.59,11.66,11.52,11.55,11.58,-0.03,-0.2591,133666.19,154902.067
600383.SH,20190927,11.77,11.78,11.5,11.58,11.76,-0.18,-1.5306,171088.04,198083.563
600383.SH,20190926,11.83,11.92,11.71,11.76,11.76,0.0,0.0,244283.8,288774.719
600383.SH,20190925,11.7,11.81,11.63,11.76,11.74,0.02,0.1704,152387.75,178797.504
600383.SH,20190924,11.76,11.88,11.63,11.74,11.75,-0.01,-0.0851,176722.14,207891.302
600383.SH,20190923,11.99,12.0,11.67,11.75,12.05,-0.3,-2.4896,179978.07,212045.947
600383.SH,20190920,12.1,12.17,11.91,12.05,12.13,-0.08,-0.6595,241615.6,290820.151
600383.SH,20190919,12.35,12.38,12.0,12.13,12.31,-0.18,-1.4622,228071.2,277013.002
600383.SH,20190918,12.11,12.44,12.05,12.31,12.06,0.25,2.073,315795.24,388069.801
600383.SH,20190917,12.19,12.19,12.01,12.06,12.13,-0.07,-0.5771,199078.16,240493.918
600383.SH,20190916,12.25,12.38,12.04,12.13,12.25,-0.12,-0.9796,312042.42,380426.315
600383.SH,20190912,11.88,12.29,11.88,12.25,11.73,0.52,4.4331,605125.24,734424.844
600383.SH,20190911,11.76,11.84,11.65,11.73,11.74,-0.01,-0.0852,160446.78,187768.556
600383.SH,20190910,11.87,11.91,11.66,11.74,11.89,-0.15,-1.2616,241367.74,282881.78
600383.SH,20190909,11.87,12.05,11.82,11.89,11.77,0.12,1.0195,358923.21,427919.108
600383.SH,20190906,11.74,11.78,11.55,11.77,11.65,0.12,1.03,274653.05,320684.313
600383.SH,20190905,11.78,12.04,11.61,11.65,11.76,-0.11,-0.9354,476115.5,563864.905
600383.SH,20190904,11.35,11.81,11.28,11.76,11.34,0.42,3.7037,394920.02,457125.734
600383.SH,20190903,11.32,11.38,11.25,11.34,11.39,-0.05,-0.439,201958.26,228306.986
600383.SH,20190902,11.2,11.43,11.16,11.39,11.23,0.16,1.4248,250684.67,283900.105
600383.SH,20190830,11.54,11.55,11.14,11.23,11.46,-0.23,-2.007,353034.05,398956.332
