ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300281.SZ,20200110,6.2,6.7,6.19,6.59,6.23,0.36,5.7785,106294.85,68927.013
300281.SZ,20200109,6.16,6.36,6.16,6.23,6.11,0.12,1.964,38905.46,24354.909
300281.SZ,20200108,6.6,6.61,6.1,6.11,6.4,-0.29,-4.5313,90872.5,57570.305
300281.SZ,20200107,6.19,6.45,6.15,6.4,6.2,0.2,3.2258,55874.11,35583.438
300281.SZ,20200106,6.1,6.27,6.01,6.2,6.12,0.08,1.3072,50002.08,30819.848
300281.SZ,20200103,6.12,6.14,6.08,6.12,6.12,0.0,0.0,29302.9,17880.971
300281.SZ,20200102,6.08,6.13,5.98,6.12,6.02,0.1,1.6611,53378.0,32375.313
300281.SZ,20191231,6.04,6.09,5.99,6.02,6.06,-0.04,-0.6601,32808.0,19783.209
300281.SZ,20191230,6.03,6.14,6.01,6.06,6.07,-0.01,-0.1647,26765.5,16250.851
300281.SZ,20191227,6.04,6.11,6.03,6.07,6.07,0.0,0.0,25862.5,15703.903
300281.SZ,20191226,6.06,6.07,6.0,6.07,6.07,0.0,0.0,24669.15,14900.558
300281.SZ,20191225,6.14,6.19,5.99,6.07,6.13,-0.06,-0.9788,44648.63,27086.453
300281.SZ,20191224,5.98,6.16,5.96,6.13,5.99,0.14,2.3372,57136.68,34823.208
300281.SZ,20191223,5.82,6.15,5.82,5.99,5.85,0.14,2.3932,78475.98,46965.7
300281.SZ,20191220,5.81,5.9,5.81,5.85,5.87,-0.02,-0.3407,25313.02,14849.197
300281.SZ,20191219,5.84,5.89,5.8,5.87,5.85,0.02,0.3419,16247.98,9503.215
300281.SZ,20191218,5.85,5.9,5.81,5.85,5.85,0.0,0.0,23162.46,13560.955
300281.SZ,20191217,5.79,5.92,5.75,5.85,5.75,0.1,1.7391,27815.05,16269.732
300281.SZ,20191216,5.76,5.77,5.67,5.75,5.73,0.02,0.349,17491.84,10025.671
300281.SZ,20191213,5.8,5.8,5.65,5.73,5.71,0.02,0.3503,16792.5,9596.986
300281.SZ,20191212,5.63,5.71,5.55,5.71,5.64,0.07,1.2411,17437.5,9805.342
300281.SZ,20191211,5.68,5.7,5.59,5.64,5.69,-0.05,-0.8787,12855.0,7247.055
300281.SZ,20191210,5.64,5.71,5.64,5.69,5.68,0.01,0.1761,11352.0,6435.466
300281.SZ,20191209,5.71,5.8,5.66,5.68,5.71,-0.03,-0.5254,8797.0,5014.745
300281.SZ,20191206,5.72,5.73,5.67,5.71,5.74,-0.03,-0.5226,12346.5,7027.848
300281.SZ,20191205,5.76,5.76,5.69,5.74,5.72,0.02,0.3497,8394.5,4805.212
300281.SZ,20191204,5.67,5.75,5.67,5.72,5.72,0.0,0.0,6728.05,3846.03
300281.SZ,20191203,5.6,5.79,5.6,5.72,5.67,0.05,0.8818,13782.75,7868.403
300281.SZ,20191202,5.65,5.77,5.65,5.67,5.65,0.02,0.354,21137.95,12091.422
300281.SZ,20191129,5.68,5.7,5.61,5.65,5.7,-0.05,-0.8772,11833.45,6681.606
300281.SZ,20191128,5.7,5.74,5.65,5.7,5.71,-0.01,-0.1751,15400.0,8767.248
300281.SZ,20191127,5.71,5.77,5.7,5.71,5.74,-0.03,-0.5226,15112.5,8664.627
300281.SZ,20191126,5.79,5.83,5.73,5.74,5.76,-0.02,-0.3472,22831.0,13186.433
300281.SZ,20191125,5.89,5.89,5.7,5.76,5.92,-0.16,-2.7027,36406.96,20987.709
300281.SZ,20191122,6.29,6.35,5.91,5.92,6.28,-0.36,-5.7325,131965.91,80024.419
300281.SZ,20191121,6.72,6.72,6.27,6.28,6.11,0.17,2.7823,204604.11,134554.254
300281.SZ,20191120,6.12,6.12,6.0,6.11,6.09,0.02,0.3284,21686.06,13146.106
300281.SZ,20191119,6.05,6.14,6.03,6.09,6.1,-0.01,-0.1639,24129.98,14693.343
300281.SZ,20191118,6.05,6.25,5.98,6.1,6.02,0.08,1.3289,59419.01,36398.036
300281.SZ,20191115,5.99,6.07,5.92,6.02,5.97,0.05,0.8375,33537.53,20179.058
300281.SZ,20191114,5.89,5.98,5.87,5.97,5.88,0.09,1.5306,19388.0,11472.019
300281.SZ,20191113,5.9,5.9,5.82,5.88,5.87,0.01,0.1704,7983.0,4682.103
300281.SZ,20191112,5.81,5.91,5.76,5.87,5.86,0.01,0.1706,16316.06,9547.507
300281.SZ,20191111,5.88,5.89,5.74,5.86,5.9,-0.04,-0.678,22121.5,12854.522
300281.SZ,20191108,5.95,5.95,5.87,5.9,5.9,0.0,0.0,10289.5,6088.203
300281.SZ,20191107,5.84,5.9,5.81,5.9,5.89,0.01,0.1698,9524.25,5574.586
300281.SZ,20191106,5.85,5.91,5.8,5.89,5.89,0.0,0.0,18486.5,10807.502
300281.SZ,20191105,5.97,5.98,5.88,5.89,5.99,-0.1,-1.6694,15611.0,9230.8
300281.SZ,20191104,5.99,6.06,5.9,5.99,5.99,0.0,0.0,20504.03,12193.451
300281.SZ,20191101,5.99,6.05,5.98,5.99,5.99,0.0,0.0,18299.56,11003.335
300281.SZ,20191031,5.99,6.08,5.97,5.99,5.99,0.0,0.0,15510.0,9310.2
300281.SZ,20191030,6.0,6.05,5.96,5.99,6.03,-0.04,-0.6633,14939.5,8967.891
300281.SZ,20191029,6.08,6.14,6.0,6.03,6.1,-0.07,-1.1475,28871.5,17469.492
300281.SZ,20191028,6.09,6.12,6.0,6.1,6.09,0.01,0.1642,34546.97,21009.521
300281.SZ,20191025,5.95,6.16,5.92,6.09,6.01,0.08,1.3311,43849.99,26599.615
300281.SZ,20191024,6.02,6.04,5.88,6.01,6.05,-0.04,-0.6612,50117.88,29785.662
300281.SZ,20191023,6.18,6.18,5.96,6.05,6.15,-0.1,-1.626,74633.98,45033.849
300281.SZ,20191022,6.24,6.24,6.06,6.15,6.13,0.02,0.3263,56261.0,34533.651
300281.SZ,20191021,6.12,6.45,6.11,6.13,5.93,0.2,3.3727,118049.26,73341.119
300281.SZ,20191018,6.02,6.05,5.92,5.93,5.99,-0.06,-1.0017,56626.86,33811.548
300281.SZ,20191017,6.19,6.19,5.92,5.99,6.16,-0.17,-2.7597,73135.36,44162.49
300281.SZ,20191016,5.92,6.23,5.85,6.16,5.9,0.26,4.4068,117014.25,71308.863
300281.SZ,20191015,5.97,5.97,5.7,5.9,5.93,-0.03,-0.5059,54162.44,31758.69
300281.SZ,20191014,5.62,5.93,5.56,5.93,5.63,0.3,5.3286,92733.59,53820.217
300281.SZ,20191011,5.4,5.64,5.36,5.63,5.41,0.22,4.0665,40603.93,22354.674
300281.SZ,20191010,5.35,5.41,5.3,5.41,5.41,0.0,0.0,34971.4,18714.212
300281.SZ,20191009,5.38,5.41,5.31,5.41,5.41,0.0,0.0,23646.05,12667.806
300281.SZ,20191008,5.39,5.47,5.35,5.41,5.43,-0.02,-0.3683,18829.04,10174.276
300281.SZ,20190930,5.53,5.53,5.42,5.43,5.51,-0.08,-1.4519,15407.46,8389.222
300281.SZ,20190927,5.55,5.56,5.42,5.51,5.51,0.0,0.0,23709.71,12965.811
300281.SZ,20190926,5.46,5.65,5.3,5.51,5.51,0.0,0.0,37473.12,20343.699
300281.SZ,20190925,5.6,5.68,5.51,5.51,5.65,-0.14,-2.4779,39444.5,21924.841
300281.SZ,20190924,5.75,5.77,5.64,5.65,5.71,-0.06,-1.0508,22065.98,12563.735
300281.SZ,20190923,5.82,5.82,5.66,5.71,5.82,-0.11,-1.89,27435.0,15700.777
300281.SZ,20190920,5.89,5.92,5.79,5.82,5.88,-0.06,-1.0204,31538.5,18433.168
300281.SZ,20190919,5.76,5.88,5.75,5.88,5.78,0.1,1.7301,10855.5,6323.523
300281.SZ,20190918,5.76,5.83,5.76,5.78,5.75,0.03,0.5217,13170.0,7626.49
300281.SZ,20190917,5.9,5.93,5.73,5.75,5.91,-0.16,-2.7073,31577.22,18414.682
300281.SZ,20190916,5.98,6.0,5.9,5.91,6.02,-0.11,-1.8272,41101.5,24400.846
300281.SZ,20190912,5.96,6.04,5.95,6.02,5.95,0.07,1.1765,26821.0,16051.354
300281.SZ,20190911,6.0,6.06,5.93,5.95,6.01,-0.06,-0.9983,40960.0,24492.429
300281.SZ,20190910,6.03,6.12,5.85,6.01,6.03,-0.02,-0.3317,78618.89,46909.058
300281.SZ,20190909,5.99,6.15,5.97,6.03,5.94,0.09,1.5152,43758.33,26452.768
300281.SZ,20190906,5.93,6.0,5.91,5.94,5.96,-0.02,-0.3356,31544.18,18719.239
300281.SZ,20190905,5.96,6.03,5.95,5.96,5.96,0.0,0.0,36409.61,21784.453
300281.SZ,20190904,5.9,6.02,5.84,5.96,5.91,0.05,0.846,48255.15,28550.3
300281.SZ,20190903,5.95,5.98,5.85,5.91,5.96,-0.05,-0.8389,33534.63,19769.651
300281.SZ,20190902,5.76,5.98,5.72,5.96,5.85,0.11,1.8803,40794.65,24095.681
300281.SZ,20190830,5.81,5.96,5.65,5.85,6.0,-0.15,-2.5,119578.94,68912.49
300281.SZ,20190829,6.01,6.36,5.87,6.0,5.78,0.22,3.8062,165561.63,102084.057
300281.SZ,20190828,5.7,5.85,5.65,5.78,5.75,0.03,0.5217,17836.42,10307.567
300281.SZ,20190827,5.8,5.87,5.67,5.75,5.74,0.01,0.1742,30784.1,17794.507
300281.SZ,20190826,5.56,5.78,5.51,5.74,5.66,0.08,1.4134,38925.82,22110.201
300281.SZ,20190823,5.61,5.7,5.53,5.66,5.61,0.05,0.8913,34577.5,19420.357
300281.SZ,20190822,5.62,5.69,5.56,5.61,5.63,-0.02,-0.3552,27043.48,15151.308
300281.SZ,20190821,5.6,5.67,5.56,5.63,5.6,0.03,0.5357,19769.5,11112.459
300281.SZ,20190820,5.57,5.67,5.55,5.6,5.61,-0.01,-0.1783,23707.46,13290.86
300281.SZ,20190819,5.49,5.62,5.44,5.61,5.41,0.2,3.6969,37712.06,20861.901
300281.SZ,20190816,5.48,5.52,5.4,5.41,5.42,-0.01,-0.1845,23519.0,12818.61
300281.SZ,20190815,5.3,5.5,5.23,5.42,5.41,0.01,0.1848,21992.5,11856.592
300281.SZ,20190814,5.41,5.49,5.34,5.41,5.37,0.04,0.7449,18570.73,10048.025
