ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002470.SZ,20200110,2.95,2.95,2.85,2.87,2.94,-0.07,-2.381,619135.12,178295.357
002470.SZ,20200109,2.96,2.99,2.92,2.94,2.92,0.02,0.6849,599433.73,176538.084
002470.SZ,20200108,3.01,3.03,2.91,2.92,3.05,-0.13,-4.2623,1033246.3,306247.361
002470.SZ,20200107,2.93,3.09,2.9,3.05,2.97,0.08,2.6936,1407786.88,421043.455
002470.SZ,20200106,2.79,3.09,2.77,2.97,2.81,0.16,5.694,2061705.67,610458.649
002470.SZ,20200103,2.72,2.83,2.7,2.81,2.71,0.1,3.69,1000349.15,277255.763
002470.SZ,20200102,2.67,2.72,2.67,2.71,2.66,0.05,1.8797,599993.42,161820.071
002470.SZ,20191231,2.64,2.68,2.63,2.66,2.65,0.01,0.3774,444571.15,117912.956
002470.SZ,20191230,2.61,2.65,2.57,2.65,2.61,0.04,1.5326,486120.36,127093.244
002470.SZ,20191227,2.6,2.63,2.59,2.61,2.61,0.0,0.0,507621.97,132591.54
002470.SZ,20191226,2.57,2.61,2.56,2.61,2.58,0.03,1.1628,438539.96,113331.755
002470.SZ,20191225,2.6,2.62,2.56,2.58,2.61,-0.03,-1.1494,456647.48,118337.442
002470.SZ,20191224,2.58,2.62,2.56,2.61,2.57,0.04,1.5564,435173.45,112651.769
002470.SZ,20191223,2.64,2.66,2.57,2.57,2.65,-0.08,-3.0189,727682.8,190234.342
002470.SZ,20191220,2.69,2.74,2.64,2.65,2.69,-0.04,-1.487,613853.98,164735.26
002470.SZ,20191219,2.64,2.72,2.61,2.69,2.63,0.06,2.2814,846394.79,226823.682
002470.SZ,20191218,2.66,2.7,2.62,2.63,2.62,0.01,0.3817,930424.58,246284.835
002470.SZ,20191217,2.55,2.65,2.54,2.62,2.55,0.07,2.7451,1084522.77,280862.378
002470.SZ,20191216,2.49,2.56,2.46,2.55,2.47,0.08,3.2389,956146.62,241372.929
002470.SZ,20191213,2.46,2.48,2.44,2.47,2.45,0.02,0.8163,400023.62,98332.031
002470.SZ,20191212,2.5,2.5,2.44,2.45,2.5,-0.05,-2.0,456434.46,112653.524
002470.SZ,20191211,2.5,2.52,2.48,2.5,2.5,0.0,0.0,378030.33,94598.924
002470.SZ,20191210,2.51,2.51,2.48,2.5,2.51,-0.01,-0.3984,316247.24,78844.676
002470.SZ,20191209,2.51,2.53,2.48,2.51,2.51,0.0,0.0,373214.06,93351.005
002470.SZ,20191206,2.52,2.52,2.47,2.51,2.52,-0.01,-0.3968,300778.17,75056.917
002470.SZ,20191205,2.54,2.54,2.5,2.52,2.54,-0.02,-0.7874,309806.02,78071.082
002470.SZ,20191204,2.49,2.59,2.48,2.54,2.51,0.03,1.1952,440419.31,111947.034
002470.SZ,20191203,2.45,2.51,2.44,2.51,2.47,0.04,1.6194,302311.51,74739.747
002470.SZ,20191202,2.47,2.49,2.44,2.47,2.49,-0.02,-0.8032,280575.65,69264.497
002470.SZ,20191129,2.5,2.51,2.45,2.49,2.51,-0.02,-0.7968,337148.17,83597.44
002470.SZ,20191128,2.51,2.54,2.49,2.51,2.52,-0.01,-0.3968,292270.65,73234.708
002470.SZ,20191127,2.57,2.58,2.51,2.52,2.58,-0.06,-2.3256,349891.49,88631.215
002470.SZ,20191126,2.6,2.61,2.56,2.58,2.63,-0.05,-1.9011,312564.05,80924.916
002470.SZ,20191125,2.57,2.64,2.55,2.63,2.56,0.07,2.7344,362215.07,94369.41
002470.SZ,20191122,2.58,2.62,2.54,2.56,2.57,-0.01,-0.3891,298914.33,77085.369
002470.SZ,20191121,2.55,2.62,2.54,2.57,2.55,0.02,0.7843,228554.44,58931.554
002470.SZ,20191120,2.6,2.61,2.55,2.55,2.6,-0.05,-1.9231,253074.15,65181.477
002470.SZ,20191119,2.54,2.61,2.53,2.6,2.54,0.06,2.3622,341319.0,88197.067
002470.SZ,20191118,2.53,2.56,2.49,2.54,2.55,-0.01,-0.3922,254191.03,64304.636
002470.SZ,20191115,2.62,2.62,2.54,2.55,2.62,-0.07,-2.6718,271805.61,69978.443
002470.SZ,20191114,2.63,2.64,2.6,2.62,2.64,-0.02,-0.7576,197770.82,51861.868
002470.SZ,20191113,2.68,2.68,2.63,2.64,2.68,-0.04,-1.4925,166476.0,44092.862
002470.SZ,20191112,2.71,2.71,2.63,2.68,2.7,-0.02,-0.7407,253626.2,67508.833
002470.SZ,20191111,2.85,2.86,2.69,2.7,2.86,-0.16,-5.5944,444451.12,121728.818
002470.SZ,20191108,2.87,2.89,2.85,2.86,2.86,0.0,0.0,121787.0,34914.938
002470.SZ,20191107,2.86,2.88,2.84,2.86,2.87,-0.01,-0.3484,147417.22,42180.173
002470.SZ,20191106,2.89,2.9,2.85,2.87,2.91,-0.04,-1.3746,158736.53,45653.244
002470.SZ,20191105,2.91,2.92,2.85,2.91,2.91,0.0,0.0,232644.72,67268.247
002470.SZ,20191104,2.94,2.94,2.9,2.91,2.93,-0.02,-0.6826,184748.04,53951.614
002470.SZ,20191101,2.91,2.94,2.89,2.93,2.91,0.02,0.6873,157902.32,46047.274
002470.SZ,20191031,2.95,2.96,2.91,2.91,2.94,-0.03,-1.0204,159567.07,46754.799
002470.SZ,20191030,2.96,2.98,2.93,2.94,2.98,-0.04,-1.3423,185788.48,54765.193
002470.SZ,20191029,3.05,3.06,2.98,2.98,3.07,-0.09,-2.9316,310725.5,93703.196
002470.SZ,20191028,2.96,3.11,2.95,3.07,2.98,0.09,3.0201,494148.15,149928.0
002470.SZ,20191025,2.94,2.99,2.91,2.98,2.95,0.03,1.0169,209789.53,61762.241
002470.SZ,20191024,2.95,2.97,2.92,2.95,2.95,0.0,0.0,167540.09,49238.859
002470.SZ,20191023,2.97,2.99,2.94,2.95,2.98,-0.03,-1.0067,126124.0,37362.59
002470.SZ,20191022,2.97,2.99,2.96,2.98,2.96,0.02,0.6757,146300.52,43486.425
002470.SZ,20191021,2.96,2.97,2.93,2.96,2.96,0.0,0.0,141356.24,41785.929
002470.SZ,20191018,3.01,3.01,2.93,2.96,3.01,-0.05,-1.6611,213035.35,63284.562
002470.SZ,20191017,2.99,3.02,2.99,3.01,3.0,0.01,0.3333,117297.0,35272.89
002470.SZ,20191016,3.02,3.04,3.0,3.0,3.02,-0.02,-0.6623,137513.83,41535.935
002470.SZ,20191015,3.04,3.05,3.01,3.02,3.05,-0.03,-0.9836,176680.83,53507.336
002470.SZ,20191014,3.03,3.07,3.01,3.05,3.01,0.04,1.3289,377038.01,114650.721
002470.SZ,20191011,3.01,3.01,2.96,3.01,3.01,0.0,0.0,303366.77,90503.13
002470.SZ,20191010,3.01,3.03,2.97,3.01,2.99,0.02,0.6689,293395.57,88012.107
002470.SZ,20191009,2.93,3.0,2.92,2.99,2.96,0.03,1.0135,214411.92,63704.828
002470.SZ,20191008,2.98,3.01,2.96,2.96,3.01,-0.05,-1.6611,216609.81,64618.346
002470.SZ,20190930,3.03,3.05,2.99,3.01,3.02,-0.01,-0.3311,154094.95,46414.662
002470.SZ,20190927,2.99,3.06,2.99,3.02,3.01,0.01,0.3322,191500.83,58003.885
