ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603979.SH,20200110,9.07,9.22,9.0,9.18,9.06,0.12,1.3245,39374.99,35971.361
603979.SH,20200109,9.04,9.11,9.0,9.06,9.01,0.05,0.5549,29012.17,26257.786
603979.SH,20200108,9.22,9.22,8.97,9.01,9.15,-0.14,-1.5301,42939.66,38957.304
603979.SH,20200107,9.21,9.23,9.1,9.15,9.21,-0.06,-0.6515,40765.29,37280.922
603979.SH,20200106,9.06,9.33,9.02,9.21,9.11,0.1,1.0977,75094.48,69184.486
603979.SH,20200103,9.04,9.14,8.96,9.11,9.02,0.09,0.9978,51917.62,46905.718
603979.SH,20200102,8.98,9.04,8.91,9.02,8.93,0.09,1.0078,54815.21,49269.853
603979.SH,20191231,8.95,9.04,8.84,8.93,8.95,-0.02,-0.2235,30058.84,26809.2
603979.SH,20191230,8.71,8.95,8.69,8.95,8.77,0.18,2.0525,52734.46,46761.997
603979.SH,20191227,8.74,8.86,8.71,8.77,8.74,0.03,0.3432,40102.52,35138.225
603979.SH,20191226,8.76,8.77,8.62,8.74,8.73,0.01,0.1145,23770.34,20637.657
603979.SH,20191225,8.75,8.79,8.7,8.73,8.78,-0.05,-0.5695,15842.12,13852.174
603979.SH,20191224,8.7,8.79,8.65,8.78,8.65,0.13,1.5029,23904.14,20898.764
603979.SH,20191223,8.8,8.84,8.64,8.65,8.82,-0.17,-1.9274,22811.08,19899.264
603979.SH,20191220,8.86,9.02,8.74,8.82,8.87,-0.05,-0.5637,23387.0,20752.55
603979.SH,20191219,8.94,9.01,8.8,8.87,8.94,-0.07,-0.783,30404.42,26976.353
603979.SH,20191218,8.81,9.06,8.81,8.94,8.85,0.09,1.0169,42950.74,38317.73
603979.SH,20191217,8.81,8.85,8.74,8.85,8.8,0.05,0.5682,34276.03,30193.193
603979.SH,20191216,8.8,8.85,8.72,8.8,8.8,0.0,0.0,20888.26,18338.908
603979.SH,20191213,8.74,8.88,8.7,8.8,8.74,0.06,0.6865,25384.46,22274.374
603979.SH,20191212,8.63,8.81,8.58,8.74,8.63,0.11,1.2746,33673.39,29260.54
603979.SH,20191211,8.63,8.67,8.54,8.63,8.66,-0.03,-0.3464,21340.71,18348.279
603979.SH,20191210,8.66,8.72,8.54,8.66,8.63,0.03,0.3476,24191.02,20854.168
603979.SH,20191209,8.73,8.75,8.6,8.63,8.73,-0.1,-1.1455,24067.96,20790.081
603979.SH,20191206,8.73,8.75,8.66,8.73,8.7,0.03,0.3448,16852.98,14652.723
603979.SH,20191205,8.76,8.76,8.68,8.7,8.73,-0.03,-0.3436,19030.7,16577.97
603979.SH,20191204,8.62,8.76,8.59,8.73,8.66,0.07,0.8083,26386.78,22990.027
603979.SH,20191203,8.58,8.67,8.53,8.66,8.65,0.01,0.1156,21670.36,18663.744
603979.SH,20191202,8.5,8.67,8.4,8.65,8.5,0.15,1.7647,34282.66,29422.472
603979.SH,20191129,8.51,8.53,8.43,8.5,8.55,-0.05,-0.5848,10489.9,8894.686
603979.SH,20191128,8.5,8.6,8.45,8.55,8.52,0.03,0.3521,16157.66,13762.024
603979.SH,20191127,8.48,8.52,8.41,8.52,8.5,0.02,0.2353,22516.24,19069.63
603979.SH,20191126,8.5,8.57,8.42,8.5,8.52,-0.02,-0.2347,16719.82,14187.876
603979.SH,20191125,8.45,8.52,8.36,8.52,8.4,0.12,1.4286,29237.66,24718.612
603979.SH,20191122,8.42,8.51,8.34,8.4,8.42,-0.02,-0.2375,18054.68,15182.272
603979.SH,20191121,8.35,8.42,8.29,8.42,8.42,0.0,0.0,13156.0,11013.516
603979.SH,20191120,8.52,8.52,8.32,8.42,8.46,-0.04,-0.4728,25055.26,21047.883
603979.SH,20191119,8.45,8.48,8.32,8.46,8.36,0.1,1.1962,25533.51,21438.858
603979.SH,20191118,8.3,8.54,8.26,8.36,8.15,0.21,2.5767,31840.3,26708.933
603979.SH,20191115,8.29,8.29,8.13,8.15,8.3,-0.15,-1.8072,16436.46,13457.683
603979.SH,20191114,8.28,8.35,8.21,8.3,8.31,-0.01,-0.1203,18322.04,15150.567
603979.SH,20191113,8.31,8.43,8.19,8.31,8.31,0.0,0.0,25676.02,21187.483
603979.SH,20191112,8.34,8.4,8.19,8.31,8.3,0.01,0.1205,21961.25,18169.368
603979.SH,20191111,8.65,8.66,8.28,8.3,8.68,-0.38,-4.3779,30665.36,25829.891
603979.SH,20191108,8.7,8.81,8.6,8.68,8.65,0.03,0.3468,34122.16,29743.074
603979.SH,20191107,8.64,8.74,8.56,8.65,8.57,0.08,0.9335,25559.97,22114.647
603979.SH,20191106,8.7,8.75,8.51,8.57,8.62,-0.05,-0.58,35100.29,30321.087
603979.SH,20191105,8.39,8.67,8.34,8.62,8.35,0.27,3.2335,60329.5,51714.01
603979.SH,20191104,8.34,8.38,8.29,8.35,8.32,0.03,0.3606,12092.52,10086.862
603979.SH,20191101,8.28,8.33,8.2,8.32,8.3,0.02,0.241,13004.51,10739.828
603979.SH,20191031,8.37,8.38,8.2,8.3,8.33,-0.03,-0.3601,16171.73,13392.164
603979.SH,20191030,8.37,8.41,8.25,8.33,8.39,-0.06,-0.7151,14912.34,12382.041
603979.SH,20191029,8.48,8.49,8.36,8.39,8.46,-0.07,-0.8274,12386.92,10405.211
603979.SH,20191028,8.43,8.48,8.39,8.46,8.44,0.02,0.237,21033.07,17753.971
603979.SH,20191025,8.47,8.47,8.35,8.44,8.42,0.02,0.2375,11901.56,10012.68
603979.SH,20191024,8.3,8.44,8.28,8.42,8.33,0.09,1.0804,14907.13,12479.05
603979.SH,20191023,8.35,8.37,8.27,8.33,8.36,-0.03,-0.3589,10935.56,9097.889
603979.SH,20191022,8.33,8.38,8.24,8.36,8.34,0.02,0.2398,11718.32,9754.813
603979.SH,20191021,8.35,8.35,8.1,8.34,8.33,0.01,0.12,16855.51,13859.103
603979.SH,20191018,8.45,8.46,8.22,8.33,8.4,-0.07,-0.8333,16619.15,13833.528
603979.SH,20191017,8.5,8.5,8.39,8.4,8.49,-0.09,-1.0601,11848.72,9976.462
603979.SH,20191016,8.55,8.55,8.44,8.49,8.53,-0.04,-0.4689,11186.18,9492.619
603979.SH,20191015,8.54,8.54,8.47,8.53,8.49,0.04,0.4711,13023.18,11065.062
603979.SH,20191014,8.57,8.59,8.48,8.49,8.45,0.04,0.4734,19843.1,16900.23
603979.SH,20191011,8.42,8.49,8.34,8.45,8.37,0.08,0.9558,14856.37,12517.702
603979.SH,20191010,8.28,8.4,8.28,8.37,8.3,0.07,0.8434,13328.24,11149.368
603979.SH,20191009,8.38,8.38,8.22,8.3,8.29,0.01,0.1206,9388.3,7757.266
603979.SH,20191008,8.39,8.39,8.26,8.29,8.26,0.03,0.3632,11435.65,9506.931
603979.SH,20190930,8.32,8.38,8.26,8.26,8.32,-0.06,-0.7212,10437.4,8681.214
603979.SH,20190927,8.36,8.4,8.31,8.32,8.32,0.0,0.0,14048.48,11731.695
603979.SH,20190926,8.49,8.5,8.28,8.32,8.49,-0.17,-2.0024,27919.52,23310.111
603979.SH,20190925,8.51,8.54,8.38,8.49,8.5,-0.01,-0.1176,21882.01,18507.671
603979.SH,20190924,8.5,8.61,8.47,8.5,8.5,0.0,0.0,24273.92,20727.088
603979.SH,20190923,8.5,8.64,8.42,8.5,8.54,-0.04,-0.4684,36860.38,31404.641
603979.SH,20190920,8.3,8.59,8.3,8.54,8.37,0.17,2.0311,64205.05,54544.804
603979.SH,20190919,8.39,8.44,8.24,8.37,8.39,-0.02,-0.2384,51987.83,43257.711
603979.SH,20190918,8.5,8.5,8.39,8.39,8.51,-0.12,-1.4101,43135.8,36373.114
603979.SH,20190917,8.78,8.86,8.5,8.51,8.84,-0.33,-3.733,64654.0,55763.725
603979.SH,20190916,8.97,9.13,8.84,8.84,8.78,0.06,0.6834,79299.95,71158.57
603979.SH,20190912,8.74,8.81,8.68,8.78,8.7,0.08,0.9195,28869.43,25251.84
603979.SH,20190911,8.81,8.84,8.68,8.7,8.81,-0.11,-1.2486,30141.05,26374.753
603979.SH,20190910,8.74,8.84,8.71,8.81,8.78,0.03,0.3417,39817.97,34964.816
603979.SH,20190909,8.75,8.8,8.63,8.78,8.65,0.13,1.5029,35670.02,31095.348
603979.SH,20190906,8.67,8.74,8.61,8.65,8.66,-0.01,-0.1155,20705.98,17939.73
603979.SH,20190905,8.7,8.84,8.64,8.66,8.67,-0.01,-0.1153,37905.3,33161.286
603979.SH,20190904,8.59,8.67,8.51,8.67,8.62,0.05,0.58,18915.52,16288.643
603979.SH,20190903,8.59,8.66,8.5,8.62,8.56,0.06,0.7009,21752.06,18624.675
603979.SH,20190902,8.44,8.64,8.44,8.56,8.46,0.1,1.182,26045.35,22275.919
603979.SH,20190830,8.69,8.77,8.38,8.46,8.65,-0.19,-2.1965,23714.8,20281.615
603979.SH,20190829,8.74,8.75,8.62,8.65,8.66,-0.01,-0.1155,22846.03,19834.928
603979.SH,20190828,8.84,8.84,8.63,8.66,8.8,-0.14,-1.5909,16703.78,14517.127
603979.SH,20190827,8.9,8.98,8.7,8.8,8.75,0.05,0.5714,53669.06,47251.985
603979.SH,20190826,8.6,8.75,8.4,8.75,8.65,0.1,1.1561,28796.67,24771.648
603979.SH,20190823,8.55,8.77,8.55,8.65,8.55,0.1,1.1696,26736.24,23209.228
603979.SH,20190822,8.62,8.68,8.53,8.55,8.66,-0.11,-1.2702,16102.38,13810.024
603979.SH,20190821,8.61,8.74,8.56,8.66,8.6,0.06,0.6977,34943.38,30226.762
603979.SH,20190820,8.42,8.69,8.41,8.6,8.4,0.2,2.381,48789.85,41876.155
603979.SH,20190819,8.37,8.42,8.25,8.4,8.23,0.17,2.0656,24180.69,20180.719
603979.SH,20190816,8.19,8.29,8.19,8.23,8.19,0.04,0.4884,13328.54,10995.774
603979.SH,20190815,7.86,8.23,7.85,8.19,8.23,-0.04,-0.486,18324.66,14826.655
603979.SH,20190814,8.37,8.38,8.16,8.23,8.28,-0.05,-0.6039,19544.29,16171.778
603979.SH,20190813,8.18,8.33,8.16,8.28,8.26,0.02,0.2421,10601.37,8758.008
603979.SH,20190812,8.15,8.27,8.1,8.26,8.14,0.12,1.4742,15329.49,12569.787
603979.SH,20190809,8.31,8.35,8.14,8.14,8.3,-0.16,-1.9277,23407.7,19304.836
603979.SH,20190808,8.38,8.4,8.18,8.3,8.38,-0.08,-0.9547,34449.7,28511.574
603979.SH,20190807,8.15,8.47,8.09,8.38,8.08,0.3,3.7129,43242.74,35882.25
603979.SH,20190806,8.19,8.26,7.83,8.08,8.33,-0.25,-3.0012,34010.98,27425.722
603979.SH,20190805,8.18,8.39,8.18,8.33,8.37,-0.04,-0.4779,21655.74,17969.928
603979.SH,20190802,8.55,8.55,8.37,8.37,8.69,-0.32,-3.6824,36701.26,30906.23
603979.SH,20190801,8.82,8.88,8.66,8.69,8.92,-0.23,-2.5785,43327.81,37881.174
603979.SH,20190731,8.89,8.96,8.8,8.92,8.89,0.03,0.3375,28168.04,24984.592
603979.SH,20190730,8.94,8.95,8.85,8.89,8.93,-0.04,-0.4479,36561.46,32536.126
603979.SH,20190729,9.18,9.22,8.87,8.93,9.17,-0.24,-2.6172,45562.26,40796.639
603979.SH,20190726,8.99,9.22,8.99,9.17,8.97,0.2,2.2297,55859.15,51003.177
603979.SH,20190725,9.05,9.12,8.91,8.97,9.1,-0.13,-1.4286,53388.62,47874.554
603979.SH,20190724,9.15,9.34,9.08,9.1,9.24,-0.14,-1.5152,83856.93,77088.025
603979.SH,20190723,9.07,9.34,8.97,9.24,9.19,0.05,0.5441,107415.24,98256.968
603979.SH,20190722,8.8,9.25,8.72,9.19,8.77,0.42,4.7891,137575.61,124624.239
603979.SH,20190719,8.89,8.92,8.75,8.77,8.88,-0.11,-1.2387,46502.37,41049.099
603979.SH,20190718,8.9,9.03,8.78,8.88,8.85,0.03,0.339,54173.1,48294.847
603979.SH,20190717,9.02,9.04,8.84,8.85,9.05,-0.2,-2.2099,62909.17,56083.581
