ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601992.SH,20200110,3.67,3.7,3.6,3.64,3.67,-0.03,-0.8174,307713.38,111838.56
601992.SH,20200109,3.69,3.71,3.65,3.67,3.65,0.02,0.5479,279901.95,102677.33
601992.SH,20200108,3.72,3.75,3.65,3.65,3.77,-0.12,-3.183,560187.0,206261.799
601992.SH,20200107,3.77,3.84,3.74,3.77,3.76,0.01,0.266,449478.76,169831.338
601992.SH,20200106,3.73,3.81,3.7,3.76,3.77,-0.01,-0.2653,564018.97,212409.999
601992.SH,20200103,3.8,3.8,3.72,3.77,3.79,-0.02,-0.5277,501422.37,188314.717
601992.SH,20200102,3.75,3.86,3.75,3.79,3.73,0.06,1.6086,908283.7,346212.822
601992.SH,20191231,3.59,3.76,3.57,3.73,3.61,0.12,3.3241,843768.76,310602.947
601992.SH,20191230,3.55,3.63,3.54,3.61,3.51,0.1,2.849,657034.1,235934.634
601992.SH,20191227,3.54,3.58,3.5,3.51,3.54,-0.03,-0.8475,458092.51,161839.654
601992.SH,20191226,3.42,3.57,3.41,3.54,3.42,0.12,3.5088,763882.23,268359.696
601992.SH,20191225,3.42,3.44,3.39,3.42,3.43,-0.01,-0.2915,247066.95,84500.109
601992.SH,20191224,3.32,3.43,3.32,3.43,3.32,0.11,3.3133,425658.34,144117.724
601992.SH,20191223,3.38,3.39,3.32,3.32,3.37,-0.05,-1.4837,323499.13,108714.931
601992.SH,20191220,3.41,3.42,3.36,3.37,3.41,-0.04,-1.173,229522.95,77645.735
601992.SH,20191219,3.37,3.41,3.36,3.41,3.36,0.05,1.4881,309704.28,104990.922
601992.SH,20191218,3.37,3.42,3.34,3.36,3.37,-0.01,-0.2967,341452.21,115342.0
601992.SH,20191217,3.33,3.39,3.31,3.37,3.32,0.05,1.506,454748.26,152563.917
601992.SH,20191216,3.3,3.33,3.28,3.32,3.3,0.02,0.6061,353342.38,116932.27
601992.SH,20191213,3.26,3.3,3.26,3.3,3.25,0.05,1.5385,271461.14,89015.861
601992.SH,20191212,3.3,3.3,3.23,3.25,3.3,-0.05,-1.5152,281222.99,91552.121
601992.SH,20191211,3.31,3.32,3.28,3.3,3.3,0.0,0.0,209627.58,69163.406
601992.SH,20191210,3.3,3.32,3.28,3.3,3.31,-0.01,-0.3021,207261.95,68318.837
601992.SH,20191209,3.28,3.33,3.28,3.31,3.27,0.04,1.2232,329273.3,108858.273
601992.SH,20191206,3.27,3.28,3.25,3.27,3.26,0.01,0.3067,143972.37,46953.891
601992.SH,20191205,3.26,3.28,3.24,3.26,3.25,0.01,0.3077,159311.12,51968.549
601992.SH,20191204,3.25,3.28,3.24,3.25,3.27,-0.02,-0.6116,165395.43,53849.409
601992.SH,20191203,3.26,3.28,3.24,3.27,3.29,-0.02,-0.6079,218170.28,71071.946
601992.SH,20191202,3.28,3.32,3.27,3.29,3.27,0.02,0.6116,205162.53,67629.238
601992.SH,20191129,3.28,3.3,3.25,3.27,3.28,-0.01,-0.3049,166194.14,54328.954
601992.SH,20191128,3.29,3.34,3.27,3.28,3.28,0.0,0.0,231871.46,76488.801
601992.SH,20191127,3.32,3.33,3.27,3.28,3.31,-0.03,-0.9063,280545.68,92674.459
601992.SH,20191126,3.32,3.33,3.28,3.31,3.33,-0.02,-0.6006,395205.96,130393.924
601992.SH,20191125,3.19,3.33,3.19,3.33,3.2,0.13,4.0625,548325.55,180042.766
601992.SH,20191122,3.19,3.24,3.17,3.2,3.18,0.02,0.6289,211446.06,67719.645
601992.SH,20191121,3.16,3.2,3.15,3.18,3.17,0.01,0.3155,137769.01,43771.084
601992.SH,20191120,3.21,3.22,3.17,3.17,3.22,-0.05,-1.5528,144527.68,46140.459
601992.SH,20191119,3.14,3.22,3.13,3.22,3.14,0.08,2.5478,273429.44,87197.78
601992.SH,20191118,3.13,3.16,3.12,3.14,3.15,-0.01,-0.3175,194731.78,61117.251
601992.SH,20191115,3.2,3.2,3.14,3.15,3.2,-0.05,-1.5625,233451.16,73889.155
601992.SH,20191114,3.21,3.24,3.19,3.2,3.2,0.0,0.0,237409.91,76286.072
601992.SH,20191113,3.2,3.2,3.18,3.2,3.2,0.0,0.0,150936.49,48115.287
601992.SH,20191112,3.19,3.21,3.16,3.2,3.18,0.02,0.6289,196654.76,62581.429
601992.SH,20191111,3.27,3.27,3.18,3.18,3.27,-0.09,-2.7523,325958.61,104537.149
601992.SH,20191108,3.33,3.34,3.27,3.27,3.31,-0.04,-1.2085,272014.62,89543.795
601992.SH,20191107,3.3,3.34,3.29,3.31,3.32,-0.01,-0.3012,264715.5,87551.483
601992.SH,20191106,3.36,3.36,3.29,3.32,3.38,-0.06,-1.7751,276201.68,91834.372
601992.SH,20191105,3.32,3.41,3.29,3.38,3.3,0.08,2.4242,414762.46,139191.011
601992.SH,20191104,3.3,3.36,3.3,3.3,3.3,0.0,0.0,349695.94,116479.148
601992.SH,20191101,3.24,3.32,3.23,3.3,3.26,0.04,1.227,269400.33,88495.0
601992.SH,20191031,3.33,3.34,3.24,3.26,3.33,-0.07,-2.1021,358688.02,117842.945
601992.SH,20191030,3.39,3.39,3.29,3.33,3.39,-0.06,-1.7699,320772.0,106878.971
601992.SH,20191029,3.48,3.48,3.38,3.39,3.47,-0.08,-2.3055,278553.1,95121.215
601992.SH,20191028,3.43,3.48,3.42,3.47,3.45,0.02,0.5797,244180.67,84442.823
601992.SH,20191025,3.43,3.45,3.39,3.45,3.42,0.03,0.8772,154999.41,53145.183
601992.SH,20191024,3.46,3.47,3.39,3.42,3.44,-0.02,-0.5814,156245.86,53532.386
601992.SH,20191023,3.48,3.49,3.43,3.44,3.48,-0.04,-1.1494,151646.54,52329.194
601992.SH,20191022,3.46,3.49,3.44,3.48,3.46,0.02,0.578,183013.39,63505.113
601992.SH,20191021,3.47,3.49,3.43,3.46,3.44,0.02,0.5814,245899.87,84955.046
601992.SH,20191018,3.55,3.56,3.42,3.44,3.54,-0.1,-2.8249,254779.96,88727.83
601992.SH,20191017,3.56,3.58,3.53,3.54,3.55,-0.01,-0.2817,229749.16,81633.643
601992.SH,20191016,3.59,3.63,3.54,3.55,3.56,-0.01,-0.2809,255082.02,91335.733
601992.SH,20191015,3.57,3.59,3.54,3.56,3.59,-0.03,-0.8357,296257.95,105739.713
601992.SH,20191014,3.6,3.63,3.56,3.59,3.56,0.03,0.8427,434439.34,155924.456
601992.SH,20191011,3.54,3.66,3.52,3.56,3.51,0.05,1.4245,709737.8,254714.263
601992.SH,20191010,3.4,3.55,3.38,3.51,3.4,0.11,3.2353,462045.17,161121.863
601992.SH,20191009,3.34,3.41,3.33,3.4,3.36,0.04,1.1905,182612.54,61570.315
