ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000913.SZ,20200110,11.99,12.16,11.73,11.78,12.0,-0.22,-1.8333,37370.0,44394.74
000913.SZ,20200109,11.49,12.25,11.49,12.0,11.37,0.63,5.5409,78558.46,93785.943
000913.SZ,20200108,11.55,11.74,11.3,11.37,11.64,-0.27,-2.3196,45806.0,52731.213
000913.SZ,20200107,11.45,11.78,11.37,11.64,11.37,0.27,2.3747,53816.01,62559.252
000913.SZ,20200106,11.27,11.55,11.16,11.37,11.26,0.11,0.9769,49387.01,56272.533
000913.SZ,20200103,11.22,11.37,11.18,11.26,11.18,0.08,0.7156,41669.01,47026.291
000913.SZ,20200102,11.12,11.23,11.03,11.18,11.01,0.17,1.5441,30896.01,34525.196
000913.SZ,20191231,10.97,11.1,10.83,11.01,10.9,0.11,1.0092,24590.0,27099.324
000913.SZ,20191230,10.78,10.95,10.12,10.9,10.71,0.19,1.774,34012.09,36815.873
000913.SZ,20191227,11.0,11.09,10.7,10.71,11.01,-0.3,-2.7248,38832.08,42145.734
000913.SZ,20191226,10.96,11.06,10.86,11.01,10.98,0.03,0.2732,26330.92,28871.012
000913.SZ,20191225,11.19,11.28,10.91,10.98,11.14,-0.16,-1.4363,43762.01,48449.988
000913.SZ,20191224,11.11,11.14,10.7,11.14,11.04,0.1,0.9058,42819.94,46875.474
000913.SZ,20191223,11.05,11.35,11.02,11.04,11.07,-0.03,-0.271,39431.93,44149.451
000913.SZ,20191220,11.18,11.22,11.05,11.07,11.15,-0.08,-0.7175,25406.0,28285.052
000913.SZ,20191219,11.33,11.33,11.06,11.15,11.2,-0.05,-0.4464,36397.18,40562.442
000913.SZ,20191218,11.4,11.4,11.14,11.2,11.39,-0.19,-1.6681,49053.0,55208.9
000913.SZ,20191217,11.3,11.39,11.19,11.39,11.31,0.08,0.7073,53830.02,60778.99
000913.SZ,20191216,11.3,11.4,11.19,11.31,11.24,0.07,0.6228,47260.02,53259.441
000913.SZ,20191213,11.31,11.44,11.09,11.24,11.29,-0.05,-0.4429,36625.94,41151.205
000913.SZ,20191212,11.34,11.38,11.21,11.29,11.39,-0.1,-0.878,38830.13,43751.128
000913.SZ,20191211,11.2,11.55,11.09,11.39,11.16,0.23,2.0609,76519.59,86959.863
000913.SZ,20191210,11.24,11.24,11.07,11.16,11.29,-0.13,-1.1515,50694.0,56473.76
000913.SZ,20191209,10.88,11.34,10.73,11.29,10.85,0.44,4.0553,73275.47,81196.154
000913.SZ,20191206,10.84,10.88,10.63,10.85,10.91,-0.06,-0.55,35122.75,37829.504
000913.SZ,20191205,10.87,10.94,10.77,10.91,10.83,0.08,0.7387,38263.01,41557.381
000913.SZ,20191204,10.66,10.98,10.57,10.83,10.67,0.16,1.4995,45179.02,48897.005
000913.SZ,20191203,10.74,10.83,10.48,10.67,10.85,-0.18,-1.659,31468.01,33391.904
