ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603926.SH,20200110,12.28,12.31,12.22,12.24,12.28,-0.04,-0.3257,8160.06,10006.484
603926.SH,20200109,12.19,12.33,12.19,12.28,12.16,0.12,0.9868,9592.1,11764.203
603926.SH,20200108,12.21,12.32,12.02,12.16,12.25,-0.09,-0.7347,14082.61,17198.222
603926.SH,20200107,12.15,12.26,12.12,12.25,12.15,0.1,0.823,11204.77,13665.092
603926.SH,20200106,11.97,12.25,11.97,12.15,12.11,0.04,0.3303,14281.86,17313.916
603926.SH,20200103,12.1,12.19,12.0,12.11,12.12,-0.01,-0.0825,9730.18,11771.258
603926.SH,20200102,11.93,12.15,11.88,12.12,11.95,0.17,1.4226,18348.76,22101.968
603926.SH,20191231,11.9,11.96,11.84,11.95,11.88,0.07,0.5892,6283.68,7483.738
603926.SH,20191230,11.83,11.93,11.68,11.88,11.79,0.09,0.7634,7722.49,9145.196
603926.SH,20191227,11.87,11.95,11.77,11.79,11.85,-0.06,-0.5063,6873.73,8166.076
603926.SH,20191226,11.88,11.88,11.77,11.85,11.79,0.06,0.5089,5279.65,6241.831
603926.SH,20191225,11.69,11.82,11.56,11.79,11.73,0.06,0.5115,6292.59,7414.128
603926.SH,20191224,11.5,11.77,11.5,11.73,11.53,0.2,1.7346,5093.38,5947.213
603926.SH,20191223,11.86,11.86,11.5,11.53,11.74,-0.21,-1.7888,6506.81,7599.213
603926.SH,20191220,11.79,11.86,11.7,11.74,11.77,-0.03,-0.2549,7058.1,8314.501
603926.SH,20191219,11.58,11.78,11.58,11.77,11.66,0.11,0.9434,7958.27,9334.131
603926.SH,20191218,11.55,11.76,11.55,11.66,11.65,0.01,0.0858,7241.88,8450.192
603926.SH,20191217,11.57,11.72,11.27,11.65,11.51,0.14,1.2163,9913.76,11502.798
603926.SH,20191216,11.44,11.51,11.36,11.51,11.39,0.12,1.0536,6716.3,7694.764
603926.SH,20191213,11.32,11.44,11.31,11.39,11.3,0.09,0.7965,5593.83,6364.505
603926.SH,20191212,11.27,11.38,11.22,11.3,11.28,0.02,0.1773,5257.2,5953.729
603926.SH,20191211,11.25,11.33,11.2,11.28,11.3,-0.02,-0.177,4436.7,5001.293
603926.SH,20191210,11.33,11.34,11.2,11.3,11.34,-0.04,-0.3527,4733.2,5331.547
603926.SH,20191209,11.31,11.36,11.25,11.34,11.3,0.04,0.354,4622.12,5224.106
603926.SH,20191206,11.24,11.38,11.24,11.3,11.29,0.01,0.0886,4314.29,4877.38
603926.SH,20191205,11.25,11.32,11.18,11.29,11.22,0.07,0.6239,3718.87,4193.324
603926.SH,20191204,11.21,11.3,11.12,11.22,11.25,-0.03,-0.2667,4080.63,4584.104
603926.SH,20191203,11.1,11.27,11.06,11.25,11.17,0.08,0.7162,5087.14,5679.199
603926.SH,20191202,11.2,11.28,11.03,11.17,11.38,-0.21,-1.8453,8464.18,9463.667
603926.SH,20191129,12.4,12.4,11.31,11.38,11.84,-0.46,-3.8851,28672.44,33501.752
603926.SH,20191128,11.29,11.91,11.29,11.84,11.5,0.34,2.9565,13261.0,15491.916
