ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002902.SZ,20200110,24.89,24.93,24.31,24.58,24.65,-0.07,-0.284,68754.03,169159.272
002902.SZ,20200109,24.0,24.84,23.99,24.65,23.81,0.84,3.5279,91836.32,224742.367
002902.SZ,20200108,24.63,24.63,23.75,23.81,24.81,-1.0,-4.0306,88998.88,215151.203
002902.SZ,20200107,24.44,24.98,24.36,24.81,24.48,0.33,1.348,90200.5,223497.343
002902.SZ,20200106,23.99,24.72,23.8,24.48,24.39,0.09,0.369,109494.35,266647.58
002902.SZ,20200103,24.14,24.65,23.91,24.39,23.85,0.54,2.2642,115745.53,281681.635
002902.SZ,20200102,23.3,23.94,23.3,23.85,23.2,0.65,2.8017,60377.88,143189.208
002902.SZ,20191231,23.47,23.57,23.05,23.2,23.24,-0.04,-0.1721,33300.05,77571.887
002902.SZ,20191230,23.52,23.52,22.46,23.24,23.52,-0.28,-1.1905,43998.5,101531.483
002902.SZ,20191227,24.17,24.25,23.45,23.52,23.89,-0.37,-1.5488,58158.05,138819.3
002902.SZ,20191226,23.95,24.16,23.64,23.89,23.73,0.16,0.6743,57429.45,137352.283
002902.SZ,20191225,23.66,23.93,23.38,23.73,23.59,0.14,0.5935,49802.0,118130.161
002902.SZ,20191224,23.02,23.73,23.02,23.59,23.1,0.49,2.1212,45066.19,105537.297
002902.SZ,20191223,24.15,24.15,23.05,23.1,24.4,-1.3,-5.3279,76257.5,180190.351
002902.SZ,20191220,24.08,25.0,23.8,24.4,24.08,0.32,1.3289,109455.53,266596.304
002902.SZ,20191219,24.44,24.44,23.65,24.08,24.24,-0.16,-0.6601,78124.66,187211.542
002902.SZ,20191218,23.65,24.32,23.45,24.24,23.73,0.51,2.1492,119528.19,287216.661
002902.SZ,20191217,23.3,23.99,23.11,23.73,23.2,0.53,2.2845,123111.5,291667.192
002902.SZ,20191216,22.71,23.22,22.65,23.2,22.66,0.54,2.3831,93791.83,214770.268
002902.SZ,20191213,23.09,23.29,22.57,22.66,23.07,-0.41,-1.7772,95546.4,217754.542
002902.SZ,20191212,22.68,23.59,22.5,23.07,24.04,-0.97,-4.0349,128003.8,296041.322
002902.SZ,20191211,22.77,24.78,22.77,24.04,22.53,1.51,6.7022,184995.86,446584.535
002902.SZ,20191210,22.25,22.57,22.08,22.53,22.36,0.17,0.7603,46654.53,104095.302
002902.SZ,20191209,22.46,22.65,22.3,22.36,22.47,-0.11,-0.4895,40324.16,90626.773
002902.SZ,20191206,22.58,22.58,22.08,22.47,22.45,0.02,0.0891,55725.5,124404.897
002902.SZ,20191205,21.82,22.55,21.72,22.45,21.75,0.7,3.2184,74151.5,164866.446
002902.SZ,20191204,21.68,21.88,21.6,21.75,21.95,-0.2,-0.9112,37469.0,81455.034
002902.SZ,20191203,21.48,21.95,21.2,21.95,21.37,0.58,2.7141,53607.5,115796.608
002902.SZ,20191202,21.25,21.49,21.14,21.37,21.25,0.12,0.5647,33793.5,72019.583
002902.SZ,20191129,21.63,21.63,21.0,21.25,21.36,-0.11,-0.515,34261.5,72546.462
002902.SZ,20191128,21.73,21.96,21.15,21.36,21.86,-0.5,-2.2873,49854.5,107085.107
002902.SZ,20191127,21.8,21.99,21.62,21.86,21.78,0.08,0.3673,45479.09,99195.683
002902.SZ,20191126,22.28,22.62,21.77,21.78,22.23,-0.45,-2.0243,48690.34,107817.304
002902.SZ,20191125,23.2,23.35,22.0,22.23,23.16,-0.93,-4.0155,53739.59,120839.864
002902.SZ,20191122,23.85,24.09,23.13,23.16,23.84,-0.68,-2.8523,46285.5,108893.292
002902.SZ,20191121,23.74,24.0,23.6,23.84,24.01,-0.17,-0.708,34576.08,82263.304
002902.SZ,20191120,24.67,24.67,24.01,24.01,24.54,-0.53,-2.1597,61822.56,149605.124
002902.SZ,20191119,24.03,24.6,23.79,24.54,23.99,0.55,2.2926,78029.17,190063.272
002902.SZ,20191118,23.45,24.29,23.36,23.99,23.83,0.16,0.6714,68069.55,163406.152
002902.SZ,20191115,23.29,24.69,22.8,23.83,23.46,0.37,1.5772,105546.0,249956.946
002902.SZ,20191114,23.03,23.47,22.43,23.46,22.95,0.51,2.2222,65653.28,151233.65
002902.SZ,20191113,23.45,23.45,22.78,22.95,23.34,-0.39,-1.671,44874.0,103155.046
002902.SZ,20191112,23.15,23.45,23.03,23.34,23.08,0.26,1.1265,41226.0,95870.622
002902.SZ,20191111,23.7,23.71,23.02,23.08,23.95,-0.87,-3.6326,47444.5,110637.599
002902.SZ,20191108,24.16,24.48,23.91,23.95,24.11,-0.16,-0.6636,52824.5,127886.481
002902.SZ,20191107,23.96,24.34,23.56,24.11,24.05,0.06,0.2495,44587.51,107253.201
002902.SZ,20191106,24.4,24.7,23.8,24.05,24.52,-0.47,-1.9168,59378.01,143254.633
002902.SZ,20191105,24.7,25.06,24.19,24.52,24.7,-0.18,-0.7287,58753.0,144489.43
002902.SZ,20191104,24.8,24.97,24.51,24.7,24.64,0.06,0.2435,51924.55,128485.763
002902.SZ,20191101,24.41,24.88,24.0,24.64,24.5,0.14,0.5714,68405.01,167756.961
002902.SZ,20191031,25.27,25.65,23.33,24.5,25.19,-0.69,-2.7392,103721.0,255447.436
002902.SZ,20191030,24.66,25.76,24.66,25.19,26.3,-1.11,-4.2205,88799.0,224346.97
002902.SZ,20191029,27.6,27.6,26.3,26.3,27.4,-1.1,-4.0146,89391.0,238081.4
002902.SZ,20191028,27.09,27.69,26.75,27.4,27.0,0.4,1.4815,79364.12,216918.202
002902.SZ,20191025,26.9,27.27,25.88,27.0,27.86,-0.86,-3.0869,105504.61,283410.754
002902.SZ,20191024,30.85,30.85,27.86,27.86,30.95,-3.09,-9.9838,184142.62,531628.791
002902.SZ,20191023,32.2,32.23,30.71,30.95,32.13,-1.18,-3.6726,97235.79,305677.558
002902.SZ,20191022,31.4,32.19,31.4,32.13,31.32,0.81,2.5862,87370.13,279111.976
002902.SZ,20191021,31.66,31.66,30.66,31.32,31.84,-0.52,-1.6332,61152.56,190276.745
002902.SZ,20191018,31.61,31.97,30.8,31.84,31.6,0.24,0.7595,77525.0,243683.02
002902.SZ,20191017,31.06,31.77,30.52,31.6,31.17,0.43,1.3795,89373.13,280685.019
002902.SZ,20191016,32.6,32.77,31.12,31.17,32.36,-1.19,-3.6774,126109.06,399263.747
002902.SZ,20191015,33.0,33.2,31.8,32.36,33.43,-1.07,-3.2007,129324.95,418660.389
002902.SZ,20191014,32.01,33.85,32.01,33.43,31.79,1.64,5.1589,183399.32,606296.355
002902.SZ,20191011,33.3,33.3,31.73,31.79,33.38,-1.59,-4.7633,163924.8,528178.915
002902.SZ,20191010,33.23,33.48,32.52,33.38,33.25,0.13,0.391,155784.69,514256.614
002902.SZ,20191009,31.54,33.51,31.14,33.25,31.8,1.45,4.5597,188382.43,614091.114
002902.SZ,20191008,30.75,32.2,30.57,31.8,30.85,0.95,3.0794,105172.08,331898.053
002902.SZ,20190930,31.8,32.7,30.55,30.85,32.06,-1.21,-3.7742,102616.83,324588.069
002902.SZ,20190927,30.8,32.5,30.19,32.06,31.02,1.04,3.3527,162994.87,517721.157
002902.SZ,20190926,30.61,31.33,30.0,31.02,30.51,0.51,1.6716,137932.52,423538.242
002902.SZ,20190925,31.59,31.59,30.1,30.51,32.05,-1.54,-4.805,139570.5,428838.544
002902.SZ,20190924,31.44,32.28,31.2,32.05,31.45,0.6,1.9078,172704.04,548629.683
002902.SZ,20190923,32.35,32.6,31.12,31.45,33.42,-1.97,-5.8947,215333.64,684157.789
002902.SZ,20190920,31.79,35.0,31.53,33.42,32.42,1.0,3.0845,325360.62,1089718.319
002902.SZ,20190919,33.7,35.0,32.21,32.42,32.19,0.23,0.7145,411751.32,1380627.65
002902.SZ,20190918,29.3,32.19,29.12,32.19,29.26,2.93,10.0137,298796.3,923064.844
002902.SZ,20190917,29.71,29.71,28.01,29.26,29.78,-0.52,-1.7461,98247.13,284629.921
002902.SZ,20190916,29.5,29.88,28.96,29.78,29.31,0.47,1.6035,98778.92,291706.305
002902.SZ,20190912,28.88,29.69,28.88,29.31,29.0,0.31,1.069,102202.69,300107.954
002902.SZ,20190911,30.4,30.4,28.93,29.0,29.81,-0.81,-2.7172,122990.98,360374.516
002902.SZ,20190910,30.5,30.97,29.63,29.81,31.1,-1.29,-4.1479,189457.82,569912.018
002902.SZ,20190909,29.9,31.39,29.42,31.1,29.31,1.79,6.1071,253979.89,773829.004
002902.SZ,20190906,29.28,30.36,28.77,29.31,29.28,0.03,0.1025,195154.83,578056.245
002902.SZ,20190905,28.67,29.8,28.08,29.28,28.17,1.11,3.9404,216424.58,627509.762
002902.SZ,20190904,28.4,28.4,27.71,28.17,28.4,-0.23,-0.8099,90032.77,252618.046
002902.SZ,20190903,27.55,28.49,27.42,28.4,27.55,0.85,3.0853,127581.88,359449.259
002902.SZ,20190902,26.94,27.7,26.8,27.55,26.85,0.7,2.6071,81138.39,221449.887
002902.SZ,20190830,27.97,28.2,26.69,26.85,27.98,-1.13,-4.0386,122323.47,334882.949
002902.SZ,20190829,28.25,28.56,27.8,27.98,28.35,-0.37,-1.3051,95481.67,268341.261
002902.SZ,20190828,28.42,28.64,27.8,28.35,28.43,-0.08,-0.2814,88820.34,250430.209
002902.SZ,20190827,28.29,28.92,28.09,28.43,28.15,0.28,0.9947,117553.14,335058.508
002902.SZ,20190826,27.55,28.48,27.46,28.15,28.65,-0.5,-1.7452,95713.53,268134.534
002902.SZ,20190823,29.58,29.79,28.4,28.65,29.95,-1.3,-4.3406,161013.93,466183.562
002902.SZ,20190822,30.11,31.0,29.7,29.95,30.45,-0.5,-1.642,175310.38,529147.567
002902.SZ,20190821,29.88,30.54,28.89,30.45,29.28,1.17,3.9959,236854.09,707152.87
002902.SZ,20190820,29.65,31.99,29.03,29.28,29.78,-0.5,-1.679,279829.34,852946.923
002902.SZ,20190819,29.2,30.5,28.85,29.78,28.8,0.98,3.4028,245572.37,731180.487
002902.SZ,20190816,27.5,29.98,27.1,28.8,27.52,1.28,4.6512,229339.01,662146.682
002902.SZ,20190815,26.59,27.83,26.39,27.52,27.8,-0.28,-1.0072,94997.22,258078.091
002902.SZ,20190814,28.16,28.66,27.31,27.8,27.91,-0.11,-0.3941,147809.11,413587.728
002902.SZ,20190813,26.8,28.35,26.28,27.91,27.08,0.83,3.065,178053.73,489459.486
002902.SZ,20190812,26.2,27.15,26.01,27.08,26.1,0.98,3.7548,99691.31,264535.601
002902.SZ,20190809,27.21,27.45,26.06,26.1,27.28,-1.18,-4.3255,114770.93,306499.356
002902.SZ,20190808,26.87,27.41,25.88,27.28,26.61,0.67,2.5179,122275.66,327570.295
002902.SZ,20190807,27.07,27.16,26.39,26.61,26.68,-0.07,-0.2624,103716.3,278261.936
002902.SZ,20190806,26.5,26.95,25.11,26.68,27.76,-1.08,-3.8905,159970.77,419040.664
002902.SZ,20190805,27.6,28.5,27.37,27.76,27.7,0.06,0.2166,123411.39,345454.451
002902.SZ,20190802,28.2,28.69,27.2,27.7,29.12,-1.42,-4.8764,170290.64,476048.449
002902.SZ,20190801,28.6,29.3,28.5,29.12,29.4,-0.28,-0.9524,147874.12,426469.719
002902.SZ,20190731,29.11,29.95,28.88,29.4,29.2,0.2,0.6849,197101.32,580336.989
002902.SZ,20190730,29.11,29.6,28.7,29.2,29.37,-0.17,-0.5788,170425.3,494435.704
002902.SZ,20190729,28.0,29.68,28.0,29.37,28.34,1.03,3.6344,215830.16,626719.227
002902.SZ,20190726,28.4,29.78,28.33,28.34,28.6,-0.26,-0.9091,219114.0,637319.166
002902.SZ,20190725,28.58,29.4,28.3,28.6,29.11,-0.51,-1.752,220503.31,632865.866
002902.SZ,20190724,27.44,29.99,27.11,29.11,27.35,1.76,6.4351,339280.82,972524.618
002902.SZ,20190723,25.65,27.76,25.65,27.35,25.9,1.45,5.5985,228965.82,620762.329
002902.SZ,20190722,26.78,27.13,24.76,25.9,27.46,-1.56,-5.681,162260.31,421598.505
002902.SZ,20190719,26.51,28.8,25.88,27.46,26.82,0.64,2.3863,255364.91,690879.574
002902.SZ,20190718,26.11,27.45,26.11,26.82,26.0,0.82,3.1538,228044.1,611223.777
002902.SZ,20190717,26.43,27.33,26.0,26.0,26.73,-0.73,-2.731,184516.03,488148.524
002902.SZ,20190716,26.0,27.47,25.65,26.73,26.0,0.73,2.8077,245647.09,661434.339
002902.SZ,20190715,24.45,26.98,24.3,26.0,24.8,1.2,4.8387,192678.85,501823.169
002902.SZ,20190712,25.79,25.96,24.8,24.8,26.14,-1.34,-5.1262,151931.09,383493.884
002902.SZ,20190711,27.1,27.1,25.75,26.14,26.46,-0.32,-1.2094,227366.33,598099.499
002902.SZ,20190710,24.3,26.46,24.11,26.46,24.05,2.41,10.0208,239600.77,615360.1
002902.SZ,20190709,24.01,24.46,23.8,24.05,23.77,0.28,1.178,85444.81,206442.667
002902.SZ,20190708,24.23,24.95,23.21,23.77,25.33,-1.56,-6.1587,109144.18,262649.977
002902.SZ,20190705,24.83,25.45,24.82,25.33,24.8,0.53,2.1371,91238.4,230413.044
002902.SZ,20190704,25.23,25.55,24.6,24.8,25.24,-0.44,-1.7433,101618.56,254850.268
002902.SZ,20190703,26.4,26.4,24.98,25.24,26.9,-1.66,-6.171,173698.57,443027.087
002902.SZ,20190702,27.06,28.48,26.9,26.9,27.9,-1.0,-3.5842,210356.42,579902.316
002902.SZ,20190701,27.56,29.0,26.89,27.9,26.7,1.2,4.4944,333926.19,920495.265
002902.SZ,20190628,28.0,28.0,25.45,26.7,28.17,-1.47,-5.2183,330697.74,883228.128
002902.SZ,20190627,24.8,28.17,24.36,28.17,25.61,2.56,9.9961,404195.74,1106885.952
002902.SZ,20190626,24.81,27.18,23.8,25.61,24.85,0.76,3.0584,283611.94,729566.844
002902.SZ,20190625,26.5,26.5,24.85,24.85,26.71,-1.86,-6.9637,251073.45,640138.587
002902.SZ,20190624,23.88,26.71,23.35,26.71,24.28,2.43,10.0082,330746.11,836371.287
002902.SZ,20190621,23.76,24.86,23.45,24.28,23.72,0.56,2.3609,256447.5,618092.22
002902.SZ,20190620,23.71,23.97,22.22,23.72,24.2,-0.48,-1.9835,279820.66,648135.994
002902.SZ,20190619,24.5,25.69,24.05,24.2,24.05,0.15,0.6237,256146.3,635755.133
002902.SZ,20190618,24.41,25.11,23.71,24.05,25.01,-0.96,-3.8385,203402.15,494902.27
002902.SZ,20190617,25.9,26.4,24.35,25.01,26.64,-1.63,-6.1186,265428.72,662806.613
002902.SZ,20190614,29.0,29.4,26.64,26.64,29.6,-2.96,-10.0,264548.69,735838.102
002902.SZ,20190613,29.19,30.58,27.94,29.6,28.82,0.78,2.7065,380290.64,1115781.344
002902.SZ,20190612,28.66,30.56,27.09,28.82,27.78,1.04,3.7437,466113.43,1357682.559
002902.SZ,20190611,37.18,41.72,37.18,41.72,37.93,3.79,9.9921,238203.27,946170.05
002902.SZ,20190610,40.0,42.47,37.81,37.93,39.1,-1.17,-2.9923,274574.5,1116603.217
002902.SZ,20190606,42.87,42.87,39.1,39.1,43.44,-4.34,-9.9908,250075.52,1005859.626
002902.SZ,20190605,39.59,43.44,39.49,43.44,39.49,3.95,10.0025,242773.3,1026514.315
002902.SZ,20190604,36.5,39.49,36.5,39.49,35.9,3.59,10.0,247925.86,956437.192
002902.SZ,20190603,33.89,35.9,29.53,35.9,32.64,3.26,9.9877,274807.07,900210.205
002902.SZ,20190531,30.0,32.64,29.15,32.64,29.67,2.97,10.0101,158297.38,496473.265
002902.SZ,20190530,28.4,29.67,28.13,29.67,26.97,2.7,10.0111,174310.86,509823.809
002902.SZ,20190529,24.5,26.97,24.2,26.97,24.52,2.45,9.9918,39831.39,104576.845
002902.SZ,20190528,25.0,25.22,24.47,24.52,25.09,-0.57,-2.2718,29301.11,72675.444
002902.SZ,20190527,24.55,25.17,22.5,25.09,24.37,0.72,2.9545,35235.2,85332.986
002902.SZ,20190524,24.63,25.3,24.35,24.37,24.99,-0.62,-2.481,24715.54,61624.774
002902.SZ,20190523,24.72,25.31,24.51,24.99,25.09,-0.1,-0.3986,29865.0,74252.279
002902.SZ,20190522,25.3,26.14,24.9,25.09,25.69,-0.6,-2.3355,52380.3,133079.013
002902.SZ,20190521,24.02,25.94,23.8,25.69,24.52,1.17,4.7716,74479.77,188120.658
002902.SZ,20190520,23.74,24.95,23.11,24.52,23.19,1.33,5.7352,51465.53,122997.223
002902.SZ,20190517,22.86,25.27,22.42,23.19,22.97,0.22,0.9578,54476.47,128502.446
002902.SZ,20190516,23.8,23.8,22.59,22.97,24.46,-1.49,-6.0916,56617.45,130101.601
002902.SZ,20190515,24.4,24.66,24.16,24.46,24.13,0.33,1.3676,22673.9,55324.274
002902.SZ,20190514,23.76,24.5,23.58,24.13,24.15,-0.02,-0.0828,20417.63,49211.492
002902.SZ,20190513,24.29,24.75,23.9,24.15,24.58,-0.43,-1.7494,20845.28,50603.208
002902.SZ,20190510,23.78,24.68,22.86,24.58,23.51,1.07,4.5513,32482.83,78158.485
002902.SZ,20190509,23.28,24.15,23.2,23.51,23.48,0.03,0.1278,22068.84,52421.064
002902.SZ,20190508,23.03,24.09,23.03,23.48,23.8,-0.32,-1.3445,20278.8,47921.772
002902.SZ,20190507,23.31,24.16,23.2,23.8,23.1,0.7,3.0303,22776.9,54062.365
002902.SZ,20190506,24.6,25.2,23.1,23.1,25.67,-2.57,-10.0117,31683.3,76218.374
002902.SZ,20190430,24.91,26.1,24.86,25.67,24.91,0.76,3.051,20967.81,53644.338
002902.SZ,20190429,27.17,27.76,24.9,24.91,27.25,-2.34,-8.5872,40132.16,104082.779
002902.SZ,20190426,26.35,28.3,26.35,27.25,27.24,0.01,0.0367,40269.28,111314.77
002902.SZ,20190425,27.71,28.88,27.08,27.24,27.66,-0.42,-1.5184,46390.24,131079.178
