ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603969.SH,20200110,4.37,4.37,4.28,4.28,4.34,-0.06,-1.3825,59231.45,25524.574
603969.SH,20200109,4.33,4.36,4.29,4.34,4.28,0.06,1.4019,71219.31,30827.231
603969.SH,20200108,4.37,4.38,4.28,4.28,4.4,-0.12,-2.7273,97505.67,42176.587
603969.SH,20200107,4.43,4.43,4.35,4.4,4.41,-0.01,-0.2268,105397.59,46285.699
603969.SH,20200106,4.3,4.44,4.26,4.41,4.34,0.07,1.6129,149502.9,65230.668
603969.SH,20200103,4.3,4.34,4.26,4.34,4.28,0.06,1.4019,87202.19,37566.504
603969.SH,20200102,4.31,4.38,4.28,4.28,4.27,0.01,0.2342,105759.2,45655.21
603969.SH,20191231,4.2,4.33,4.18,4.27,4.19,0.08,1.9093,103713.79,44128.411
603969.SH,20191230,4.15,4.19,4.1,4.19,4.17,0.02,0.4796,54158.11,22485.674
603969.SH,20191227,4.21,4.24,4.16,4.17,4.21,-0.04,-0.9501,53109.28,22316.913
603969.SH,20191226,4.15,4.25,4.13,4.21,4.15,0.06,1.4458,52502.45,21996.408
603969.SH,20191225,4.19,4.19,4.14,4.15,4.18,-0.03,-0.7177,41951.98,17447.522
603969.SH,20191224,4.15,4.2,4.12,4.18,4.19,-0.01,-0.2387,67098.3,27870.432
603969.SH,20191223,4.2,4.34,4.14,4.19,4.21,-0.02,-0.4751,94141.79,39930.705
603969.SH,20191220,4.27,4.34,4.19,4.21,4.27,-0.06,-1.4052,79427.83,33941.19
603969.SH,20191219,4.25,4.27,4.23,4.27,4.24,0.03,0.7075,58900.7,25032.162
603969.SH,20191218,4.25,4.27,4.2,4.24,4.25,-0.01,-0.2353,81756.93,34572.814
603969.SH,20191217,4.18,4.28,4.18,4.25,4.21,0.04,0.9501,98079.77,41529.344
603969.SH,20191216,4.19,4.21,4.15,4.21,4.18,0.03,0.7177,64333.72,26921.999
603969.SH,20191213,4.15,4.19,4.14,4.18,4.15,0.03,0.7229,59644.86,24829.22
603969.SH,20191212,4.17,4.21,4.12,4.15,4.21,-0.06,-1.4252,64925.17,26923.441
603969.SH,20191211,4.2,4.36,4.17,4.21,4.16,0.05,1.2019,123136.51,52382.542
603969.SH,20191210,4.15,4.16,4.12,4.16,4.16,0.0,0.0,53339.02,22087.125
603969.SH,20191209,4.12,4.17,4.11,4.16,4.16,0.0,0.0,69012.47,28572.157
603969.SH,20191206,4.13,4.23,4.12,4.16,4.14,0.02,0.4831,89718.91,37411.75
603969.SH,20191205,4.18,4.18,4.11,4.14,4.15,-0.01,-0.241,67716.23,28008.157
603969.SH,20191204,4.11,4.16,4.08,4.15,4.15,0.0,0.0,71490.95,29493.305
603969.SH,20191203,4.13,4.18,4.1,4.15,4.19,-0.04,-0.9547,85906.78,35559.505
603969.SH,20191202,4.1,4.2,4.05,4.19,4.16,0.03,0.7212,147994.01,60919.259
603969.SH,20191129,4.36,4.36,4.13,4.16,4.36,-0.2,-4.5872,270755.43,114883.216
603969.SH,20191128,4.05,4.36,4.05,4.36,3.96,0.4,10.101,133509.73,57826.135
603969.SH,20191127,3.99,3.99,3.9,3.96,3.99,-0.03,-0.7519,28226.25,11121.009
603969.SH,20191126,4.01,4.05,3.96,3.99,4.02,-0.03,-0.7463,32009.65,12793.612
603969.SH,20191125,3.91,4.03,3.91,4.02,3.93,0.09,2.2901,54565.47,21753.156
603969.SH,20191122,3.91,3.94,3.88,3.93,3.91,0.02,0.5115,25032.82,9807.242
603969.SH,20191121,3.9,3.92,3.87,3.91,3.91,0.0,0.0,18458.17,7184.75
603969.SH,20191120,3.95,3.95,3.9,3.91,3.95,-0.04,-1.0127,19800.0,7758.682
603969.SH,20191119,3.89,3.95,3.87,3.95,3.89,0.06,1.5424,26638.65,10452.793
603969.SH,20191118,3.89,3.9,3.86,3.89,3.87,0.02,0.5168,17044.22,6613.577
603969.SH,20191115,3.93,3.93,3.87,3.87,3.93,-0.06,-1.5267,15488.31,6031.11
603969.SH,20191114,3.89,3.95,3.89,3.93,3.89,0.04,1.0283,16994.2,6673.115
603969.SH,20191113,3.9,3.91,3.87,3.89,3.91,-0.02,-0.5115,12021.16,4678.803
603969.SH,20191112,3.9,3.92,3.86,3.91,3.89,0.02,0.5141,19967.01,7760.123
603969.SH,20191111,3.98,3.99,3.88,3.89,4.0,-0.11,-2.75,36711.09,14362.055
603969.SH,20191108,4.02,4.04,3.99,4.0,4.02,-0.02,-0.4975,19886.88,7967.099
603969.SH,20191107,4.01,4.03,3.99,4.02,4.01,0.01,0.2494,20098.92,8058.866
603969.SH,20191106,4.03,4.06,3.99,4.01,4.04,-0.03,-0.7426,21911.21,8821.409
603969.SH,20191105,4.03,4.05,3.99,4.04,4.03,0.01,0.2481,22934.66,9223.604
603969.SH,20191104,4.01,4.06,4.01,4.03,4.01,0.02,0.4988,24201.23,9765.933
603969.SH,20191101,3.99,4.04,3.95,4.01,3.99,0.02,0.5013,32479.65,13021.894
603969.SH,20191031,4.1,4.1,3.96,3.99,4.09,-0.1,-2.445,50705.24,20379.886
603969.SH,20191030,4.19,4.19,4.05,4.09,4.22,-0.13,-3.0806,55543.58,22726.483
603969.SH,20191029,4.2,4.22,4.18,4.22,4.2,0.02,0.4762,38347.83,16121.712
603969.SH,20191028,4.1,4.22,4.09,4.2,4.11,0.09,2.1898,33002.45,13762.64
603969.SH,20191025,4.09,4.12,4.06,4.11,4.06,0.05,1.2315,25682.69,10514.636
603969.SH,20191024,4.09,4.1,4.05,4.06,4.07,-0.01,-0.2457,18179.17,7407.107
603969.SH,20191023,4.11,4.13,4.07,4.07,4.11,-0.04,-0.9732,18587.06,7589.863
603969.SH,20191022,4.11,4.13,4.08,4.11,4.09,0.02,0.489,20838.72,8549.034
603969.SH,20191021,4.08,4.12,4.05,4.09,4.11,-0.02,-0.4866,24952.87,10189.96
603969.SH,20191018,4.17,4.22,4.09,4.11,4.19,-0.08,-1.9093,40465.19,16752.991
603969.SH,20191017,4.22,4.25,4.17,4.19,4.22,-0.03,-0.7109,23170.02,9748.703
603969.SH,20191016,4.31,4.31,4.2,4.22,4.31,-0.09,-2.0882,35446.85,15087.766
603969.SH,20191015,4.25,4.34,4.21,4.31,4.28,0.03,0.7009,58949.79,25198.361
603969.SH,20191014,4.3,4.32,4.25,4.28,4.28,0.0,0.0,67293.46,28798.637
603969.SH,20191011,4.15,4.39,4.11,4.28,4.1,0.18,4.3902,99216.85,42348.938
603969.SH,20191010,4.04,4.1,4.03,4.1,4.05,0.05,1.2346,36321.1,14818.22
603969.SH,20191009,4.0,4.05,3.98,4.05,4.02,0.03,0.7463,27840.93,11205.184
603969.SH,20191008,4.0,4.08,4.0,4.02,4.02,0.0,0.0,40895.09,16497.882
603969.SH,20190930,4.09,4.13,4.0,4.02,4.1,-0.08,-1.9512,44647.76,18018.264
603969.SH,20190927,4.08,4.15,4.07,4.1,4.09,0.01,0.2445,36321.88,14923.235
603969.SH,20190926,4.26,4.27,4.09,4.09,4.23,-0.14,-3.3097,56394.47,23461.987
603969.SH,20190925,4.37,4.37,4.2,4.23,4.4,-0.17,-3.8636,81279.2,34828.242
603969.SH,20190924,4.47,4.5,4.37,4.4,4.52,-0.12,-2.6549,117500.97,51913.908
603969.SH,20190923,4.34,4.68,4.31,4.52,4.47,0.05,1.1186,147870.18,66293.144
603969.SH,20190920,4.4,4.65,4.31,4.47,4.35,0.12,2.7586,163266.89,73507.831
603969.SH,20190919,4.21,4.47,4.16,4.35,4.22,0.13,3.0806,97728.42,42145.936
603969.SH,20190918,4.2,4.28,4.18,4.22,4.21,0.01,0.2375,40812.15,17304.794
603969.SH,20190917,4.28,4.3,4.18,4.21,4.3,-0.09,-2.093,49244.56,20848.467
603969.SH,20190916,4.32,4.34,4.29,4.3,4.32,-0.02,-0.463,35571.25,15336.991
603969.SH,20190912,4.38,4.42,4.3,4.32,4.32,0.0,0.0,80631.58,34951.343
603969.SH,20190911,4.27,4.34,4.25,4.32,4.25,0.07,1.6471,87028.48,37360.365
603969.SH,20190910,4.28,4.29,4.22,4.25,4.28,-0.03,-0.7009,53774.77,22831.39
603969.SH,20190909,4.26,4.31,4.24,4.28,4.24,0.04,0.9434,52080.75,22184.159
603969.SH,20190906,4.23,4.25,4.21,4.24,4.23,0.01,0.2364,41085.18,17364.205
603969.SH,20190905,4.22,4.28,4.21,4.23,4.21,0.02,0.4751,78308.92,33277.307
603969.SH,20190904,4.13,4.26,4.13,4.21,4.17,0.04,0.9592,52859.66,22183.454
603969.SH,20190903,4.17,4.26,4.13,4.17,4.19,-0.02,-0.4773,46258.07,19268.87
603969.SH,20190902,4.07,4.21,4.07,4.19,4.09,0.1,2.445,55295.7,23033.824
603969.SH,20190830,4.18,4.24,4.07,4.09,4.15,-0.06,-1.4458,64680.48,26858.353
603969.SH,20190829,4.1,4.21,4.07,4.15,4.1,0.05,1.2195,66637.19,27597.468
603969.SH,20190828,4.05,4.11,4.05,4.1,4.07,0.03,0.7371,34116.29,13936.171
603969.SH,20190827,4.05,4.09,4.02,4.07,3.99,0.08,2.005,34408.23,13971.02
603969.SH,20190826,3.99,4.04,3.95,3.99,4.09,-0.1,-2.445,32362.19,12947.495
603969.SH,20190823,4.05,4.15,4.03,4.09,4.05,0.04,0.9877,54110.4,22215.578
603969.SH,20190822,4.07,4.08,4.02,4.05,4.07,-0.02,-0.4914,29650.79,11986.383
603969.SH,20190821,4.04,4.08,4.03,4.07,4.07,0.0,0.0,35822.49,14531.741
603969.SH,20190820,4.06,4.09,4.04,4.07,4.05,0.02,0.4938,39327.41,15987.587
603969.SH,20190819,4.0,4.06,3.99,4.05,3.96,0.09,2.2727,47297.76,19038.064
603969.SH,20190816,3.91,4.0,3.91,3.96,3.92,0.04,1.0204,33233.17,13171.51
603969.SH,20190815,3.86,3.93,3.8,3.92,3.95,-0.03,-0.7595,32994.63,12774.759
603969.SH,20190814,3.96,4.0,3.93,3.95,3.94,0.01,0.2538,23561.69,9339.948
