ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603637.SH,20200110,15.77,15.77,15.33,15.45,15.49,-0.04,-0.2582,6094.08,9417.363
603637.SH,20200109,15.38,15.63,15.36,15.49,15.35,0.14,0.9121,6326.3,9787.697
603637.SH,20200108,15.66,15.7,15.28,15.35,15.65,-0.3,-1.9169,4582.2,7073.986
603637.SH,20200107,15.54,15.74,15.54,15.65,15.65,0.0,0.0,3802.91,5950.51
603637.SH,20200106,15.49,15.7,15.35,15.65,15.5,0.15,0.9677,6373.35,9943.483
603637.SH,20200103,15.68,15.75,15.42,15.5,15.7,-0.2,-1.2739,7278.76,11336.083
603637.SH,20200102,15.46,15.98,15.31,15.7,15.46,0.24,1.5524,7864.62,12278.818
603637.SH,20191231,15.12,15.5,15.12,15.46,15.19,0.27,1.7775,4799.98,7354.899
603637.SH,20191230,15.07,15.24,14.87,15.19,15.17,0.02,0.1318,2882.18,4342.823
603637.SH,20191227,15.49,15.49,15.15,15.17,15.27,-0.1,-0.6549,4207.49,6409.451
603637.SH,20191226,15.39,15.49,15.13,15.27,15.38,-0.11,-0.7152,3246.0,4965.53
603637.SH,20191225,15.18,15.48,15.18,15.38,15.24,0.14,0.9186,3805.3,5852.518
603637.SH,20191224,15.16,15.3,14.98,15.24,15.15,0.09,0.5941,2773.59,4210.479
603637.SH,20191223,15.43,15.47,15.12,15.15,15.37,-0.22,-1.4314,2106.47,3229.646
603637.SH,20191220,15.56,15.56,15.37,15.37,15.55,-0.18,-1.1576,2360.24,3649.435
603637.SH,20191219,15.38,15.59,15.31,15.55,15.38,0.17,1.1053,3453.79,5325.511
603637.SH,20191218,15.44,15.5,15.3,15.38,15.35,0.03,0.1954,3246.23,4999.625
603637.SH,20191217,15.28,15.44,15.18,15.35,15.28,0.07,0.4581,3325.71,5094.421
603637.SH,20191216,15.18,15.33,15.09,15.28,15.13,0.15,0.9914,2532.72,3854.19
603637.SH,20191213,14.98,15.18,14.83,15.13,14.83,0.3,2.0229,3680.66,5541.608
603637.SH,20191212,14.97,14.97,14.79,14.83,14.97,-0.14,-0.9352,1997.14,2968.296
603637.SH,20191211,15.27,15.27,14.75,14.97,15.14,-0.17,-1.1229,2728.37,4100.277
603637.SH,20191210,15.19,15.28,15.05,15.14,15.21,-0.07,-0.4602,1368.62,2072.539
603637.SH,20191209,15.48,15.48,15.17,15.21,15.27,-0.06,-0.3929,1621.0,2470.01
603637.SH,20191206,15.07,15.36,15.02,15.27,15.15,0.12,0.7921,2074.0,3155.512
603637.SH,20191205,15.15,15.51,15.13,15.15,15.29,-0.14,-0.9156,3006.4,4573.082
603637.SH,20191204,14.91,15.71,14.91,15.29,14.9,0.39,2.6174,5474.58,8447.843
603637.SH,20191203,15.0,15.0,14.74,14.9,14.85,0.05,0.3367,808.18,1201.661
603637.SH,20191202,14.82,14.91,14.76,14.85,14.8,0.05,0.3378,1038.24,1541.009
603637.SH,20191129,14.8,14.94,14.64,14.8,14.82,-0.02,-0.135,1623.35,2399.629
603637.SH,20191128,14.97,15.03,14.82,14.82,14.96,-0.14,-0.9358,1586.0,2367.821
603637.SH,20191127,14.91,14.98,14.82,14.96,14.91,0.05,0.3353,1359.0,2024.878
603637.SH,20191126,14.81,15.05,14.72,14.91,14.81,0.1,0.6752,1724.4,2572.353
603637.SH,20191125,15.23,15.23,14.73,14.81,15.16,-0.35,-2.3087,3692.6,5502.854
603637.SH,20191122,15.5,15.5,15.15,15.16,15.48,-0.32,-2.0672,3188.87,4873.176
603637.SH,20191121,15.75,15.75,15.34,15.48,15.84,-0.36,-2.2727,3683.59,5710.26
603637.SH,20191120,15.97,15.97,15.68,15.84,15.96,-0.12,-0.7519,3501.0,5533.125
603637.SH,20191119,15.91,16.09,15.66,15.96,16.02,-0.06,-0.3745,7161.53,11362.697
603637.SH,20191118,16.0,16.03,15.87,16.02,16.09,-0.07,-0.4351,2789.15,4445.728
603637.SH,20191115,16.14,16.2,15.95,16.09,16.17,-0.08,-0.4947,2924.07,4688.337
603637.SH,20191114,16.06,16.18,15.86,16.17,16.12,0.05,0.3102,5857.39,9360.066
603637.SH,20191113,16.16,16.16,15.93,16.12,16.13,-0.01,-0.062,2807.08,4499.036
603637.SH,20191112,16.0,16.21,16.0,16.13,16.12,0.01,0.062,2714.57,4370.399
603637.SH,20191111,16.36,16.39,16.02,16.12,16.41,-0.29,-1.7672,6989.67,11278.085
603637.SH,20191108,16.84,16.97,16.35,16.41,16.73,-0.32,-1.9127,7422.4,12405.136
603637.SH,20191107,17.06,17.06,16.65,16.73,16.9,-0.17,-1.0059,7483.05,12543.312
603637.SH,20191106,16.42,17.1,16.42,16.9,16.6,0.3,1.8072,12631.59,21322.464
603637.SH,20191105,16.43,16.6,16.3,16.6,16.4,0.2,1.2195,4967.95,8216.519
603637.SH,20191104,16.31,16.65,16.15,16.4,16.31,0.09,0.5518,4556.3,7505.885
603637.SH,20191101,16.18,16.38,15.89,16.31,16.19,0.12,0.7412,3172.76,5135.933
603637.SH,20191031,16.15,16.33,16.01,16.19,16.32,-0.13,-0.7966,4258.68,6868.088
603637.SH,20191030,16.5,16.5,16.11,16.32,16.51,-0.19,-1.1508,3572.65,5815.63
603637.SH,20191029,16.77,16.88,16.4,16.51,16.65,-0.14,-0.8408,6711.9,11222.931
603637.SH,20191028,16.6,16.76,16.49,16.65,16.47,0.18,1.0929,5308.1,8816.121
603637.SH,20191025,16.05,16.63,16.05,16.47,16.18,0.29,1.7923,5490.12,9006.866
603637.SH,20191024,16.07,16.23,16.05,16.18,16.13,0.05,0.31,1754.0,2829.123
603637.SH,20191023,16.3,16.33,16.12,16.13,16.19,-0.06,-0.3706,2421.13,3919.447
603637.SH,20191022,16.12,16.46,16.05,16.19,16.05,0.14,0.8723,3332.1,5389.291
603637.SH,20191021,16.0,16.17,15.71,16.05,16.11,-0.06,-0.3724,4097.15,6529.614
603637.SH,20191018,16.5,16.59,15.95,16.11,16.36,-0.25,-1.5281,4582.9,7398.934
603637.SH,20191017,16.45,16.66,16.2,16.36,16.55,-0.19,-1.148,3893.0,6384.116
603637.SH,20191016,16.75,16.92,16.43,16.55,16.85,-0.3,-1.7804,7194.09,11939.906
603637.SH,20191015,16.36,17.08,16.36,16.85,16.36,0.49,2.9951,11564.95,19428.049
603637.SH,20191014,16.19,16.38,16.18,16.36,16.2,0.16,0.9877,4365.53,7125.576
603637.SH,20191011,16.35,16.35,16.1,16.2,16.25,-0.05,-0.3077,3190.2,5177.977
603637.SH,20191010,16.08,16.33,16.02,16.25,16.1,0.15,0.9317,4781.75,7742.654
603637.SH,20191009,16.11,16.11,15.86,16.1,16.13,-0.03,-0.186,2304.35,3687.345
603637.SH,20191008,16.18,16.27,15.99,16.13,16.17,-0.04,-0.2474,3914.92,6305.31
603637.SH,20190930,15.99,16.48,15.97,16.17,16.12,0.05,0.3102,2783.36,4503.845
603637.SH,20190927,15.83,16.2,15.8,16.12,16.1,0.02,0.1242,4186.38,6720.192
603637.SH,20190926,16.21,16.33,15.51,16.1,16.26,-0.16,-0.984,7162.24,11450.758
603637.SH,20190925,16.27,16.33,16.0,16.26,16.32,-0.06,-0.3676,4224.9,6837.48
603637.SH,20190924,16.09,16.45,15.91,16.32,16.17,0.15,0.9276,5989.54,9698.958
603637.SH,20190923,16.27,16.27,15.88,16.17,16.24,-0.07,-0.431,5992.64,9625.001
603637.SH,20190920,16.33,16.45,16.16,16.24,16.33,-0.09,-0.5511,6046.9,9851.086
603637.SH,20190919,16.45,16.48,16.12,16.33,16.32,0.01,0.0613,6388.9,10391.315
603637.SH,20190918,16.3,16.45,16.15,16.32,16.28,0.04,0.2457,8612.99,14014.034
603637.SH,20190917,16.7,16.7,16.18,16.28,16.81,-0.53,-3.1529,6823.14,11219.141
603637.SH,20190916,17.17,17.3,16.65,16.81,17.0,-0.19,-1.1176,11285.69,19160.351
603637.SH,20190912,16.88,17.1,16.81,17.0,16.96,0.04,0.2358,7283.39,12362.997
603637.SH,20190911,16.78,16.97,16.52,16.96,16.78,0.18,1.0727,13268.6,22250.149
603637.SH,20190910,16.59,17.05,16.49,16.78,16.65,0.13,0.7808,14475.15,24182.565
603637.SH,20190909,16.95,16.95,16.49,16.65,16.79,-0.14,-0.8338,12815.21,21302.501
603637.SH,20190906,17.05,17.05,16.5,16.79,16.98,-0.19,-1.119,12294.0,20525.356
603637.SH,20190905,17.09,17.17,16.88,16.98,17.0,-0.02,-0.1176,8084.39,13735.62
603637.SH,20190904,17.14,17.14,16.87,17.0,17.13,-0.13,-0.7589,11848.91,20118.965
603637.SH,20190903,17.21,17.4,16.85,17.13,17.2,-0.07,-0.407,15177.44,25989.433
603637.SH,20190902,16.96,17.79,16.78,17.2,16.96,0.24,1.4151,12367.47,21219.745
603637.SH,20190830,17.2,17.3,16.76,16.96,17.82,-0.86,-4.826,19201.58,32736.017
603637.SH,20190829,16.21,17.82,16.0,17.82,16.21,1.61,9.9321,34117.66,56869.396
603637.SH,20190828,15.71,16.36,15.42,16.21,15.71,0.5,3.1827,22255.51,35425.311
603637.SH,20190827,15.74,15.86,15.57,15.71,15.69,0.02,0.1275,12236.54,19200.09
603637.SH,20190826,15.23,15.97,15.07,15.69,15.48,0.21,1.3566,13326.47,20910.357
603637.SH,20190823,15.34,15.71,15.22,15.48,15.36,0.12,0.7813,10146.85,15747.797
603637.SH,20190822,15.32,15.37,14.9,15.36,15.2,0.16,1.0526,6730.69,10231.989
603637.SH,20190821,15.22,15.39,15.11,15.2,15.3,-0.1,-0.6536,4645.3,7067.125
603637.SH,20190820,15.23,15.43,15.2,15.3,15.28,0.02,0.1309,8945.0,13693.126
603637.SH,20190819,15.38,15.38,15.05,15.28,15.15,0.13,0.8581,7825.45,11875.078
603637.SH,20190816,15.05,15.42,15.01,15.15,15.04,0.11,0.7314,7376.75,11202.334
