ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601606.SH,20200110,12.16,12.21,11.81,11.93,12.35,-0.42,-3.4008,212697.24,254323.755
601606.SH,20200109,12.18,12.69,12.16,12.35,12.74,-0.39,-3.0612,341248.94,422958.573
601606.SH,20200108,12.74,12.74,12.12,12.74,11.58,1.16,10.0173,392836.7,497349.198
601606.SH,20200107,11.6,11.6,11.45,11.58,11.74,-0.16,-1.3629,124594.37,143500.796
601606.SH,20200106,11.66,11.96,11.54,11.74,11.39,0.35,3.0729,240857.02,283013.91
601606.SH,20200103,11.12,11.5,11.01,11.39,11.1,0.29,2.6126,156897.15,176731.281
601606.SH,20200102,10.98,11.1,10.96,11.1,10.94,0.16,1.4625,87559.63,96421.271
601606.SH,20191231,10.82,10.94,10.77,10.94,10.83,0.11,1.0157,71774.0,78154.446
601606.SH,20191230,10.71,10.83,10.49,10.83,10.74,0.09,0.838,59623.73,63898.449
601606.SH,20191227,10.79,10.88,10.69,10.74,10.78,-0.04,-0.3711,94867.57,102553.104
601606.SH,20191226,11.0,11.0,10.67,10.78,10.99,-0.21,-1.9108,120691.49,130160.325
601606.SH,20191225,11.2,11.2,10.97,10.99,11.21,-0.22,-1.9625,78001.01,86207.382
601606.SH,20191224,11.37,11.48,11.06,11.21,11.39,-0.18,-1.5803,91406.81,102427.326
601606.SH,20191223,11.77,11.77,11.3,11.39,11.7,-0.31,-2.6496,57696.0,66166.553
601606.SH,20191220,11.83,11.85,11.58,11.7,11.82,-0.12,-1.0152,66562.57,77954.742
601606.SH,20191219,11.52,11.88,11.47,11.82,11.55,0.27,2.3377,103936.46,121839.963
601606.SH,20191218,11.65,11.95,11.53,11.55,11.61,-0.06,-0.5168,116508.5,136669.913
601606.SH,20191217,11.53,11.64,11.4,11.61,11.49,0.12,1.0444,92997.61,107399.143
601606.SH,20191216,11.07,11.49,11.01,11.49,11.03,0.46,4.1704,107966.81,121971.018
601606.SH,20191213,11.09,11.09,10.94,11.03,10.98,0.05,0.4554,42834.0,47146.449
601606.SH,20191212,10.89,11.24,10.83,10.98,10.9,0.08,0.7339,52099.0,57441.752
601606.SH,20191211,10.94,10.98,10.82,10.9,10.9,0.0,0.0,25466.4,27777.086
601606.SH,20191210,11.0,11.03,10.82,10.9,11.04,-0.14,-1.2681,33238.49,36215.045
601606.SH,20191209,11.04,11.12,10.91,11.04,11.09,-0.05,-0.4509,39007.39,42949.242
601606.SH,20191206,10.83,11.33,10.79,11.09,10.86,0.23,2.1179,75004.79,83080.779
601606.SH,20191205,10.79,10.88,10.77,10.86,10.79,0.07,0.6487,30804.0,33383.812
601606.SH,20191204,10.7,10.83,10.63,10.79,10.73,0.06,0.5592,32190.88,34658.552
601606.SH,20191203,10.6,10.73,10.41,10.73,10.65,0.08,0.7512,36641.49,38701.015
601606.SH,20191202,10.93,10.98,10.63,10.65,10.96,-0.31,-2.8285,49209.29,53038.164
601606.SH,20191129,11.17,11.17,10.89,10.96,11.19,-0.23,-2.0554,49039.03,53691.982
601606.SH,20191128,11.28,11.34,11.15,11.19,11.34,-0.15,-1.3228,30655.0,34386.122
601606.SH,20191127,11.31,11.42,11.3,11.34,11.34,0.0,0.0,17309.99,19625.139
601606.SH,20191126,11.4,11.48,11.32,11.34,11.37,-0.03,-0.2639,22405.68,25478.039
601606.SH,20191125,11.58,11.67,11.3,11.37,11.69,-0.32,-2.7374,38790.65,44268.354
601606.SH,20191122,11.82,11.94,11.58,11.69,11.81,-0.12,-1.0161,53761.67,63190.881
601606.SH,20191121,11.56,11.9,11.54,11.81,11.65,0.16,1.3734,55611.52,65587.12
601606.SH,20191120,11.58,11.8,11.55,11.65,11.59,0.06,0.5177,40607.02,47356.88
601606.SH,20191119,11.48,11.62,11.36,11.59,11.46,0.13,1.1344,32065.04,37077.965
601606.SH,20191118,11.45,11.5,11.31,11.46,11.5,-0.04,-0.3478,22342.97,25526.225
601606.SH,20191115,11.5,11.61,11.4,11.5,11.52,-0.02,-0.1736,25662.64,29528.942
601606.SH,20191114,11.53,11.58,11.43,11.52,11.42,0.1,0.8757,23518.0,27069.738
601606.SH,20191113,11.6,11.61,11.34,11.42,11.64,-0.22,-1.89,29978.64,34345.306
601606.SH,20191112,11.32,11.88,11.13,11.64,11.27,0.37,3.2831,60481.35,69696.898
601606.SH,20191111,11.64,11.68,11.22,11.27,11.64,-0.37,-3.1787,37716.49,42868.872
601606.SH,20191108,11.81,11.86,11.6,11.64,11.77,-0.13,-1.1045,31701.89,37108.569
601606.SH,20191107,11.99,12.02,11.7,11.77,11.98,-0.21,-1.7529,42504.49,50092.139
601606.SH,20191106,11.68,12.39,11.68,11.98,11.68,0.3,2.5685,83995.85,101161.042
601606.SH,20191105,11.7,11.83,11.55,11.68,11.76,-0.08,-0.6803,29939.8,35041.769
601606.SH,20191104,11.7,11.87,11.68,11.76,11.67,0.09,0.7712,33840.12,39907.627
601606.SH,20191101,11.79,11.79,11.2,11.67,11.79,-0.12,-1.0178,62254.26,71657.938
601606.SH,20191031,12.0,12.16,11.79,11.79,12.05,-0.26,-2.1577,43193.79,51627.618
601606.SH,20191030,12.5,12.5,11.94,12.05,12.56,-0.51,-4.0605,59740.71,72438.16
601606.SH,20191029,12.9,12.9,12.56,12.56,12.94,-0.38,-2.9366,55975.0,71069.227
601606.SH,20191028,12.78,12.97,12.75,12.94,12.81,0.13,1.0148,36815.04,47476.965
601606.SH,20191025,12.88,12.93,12.7,12.81,12.84,-0.03,-0.2336,23860.0,30502.355
601606.SH,20191024,12.82,12.87,12.71,12.84,12.81,0.03,0.2342,25465.33,32615.076
601606.SH,20191023,12.86,12.9,12.76,12.81,12.85,-0.04,-0.3113,23077.0,29603.056
601606.SH,20191022,12.75,12.88,12.72,12.85,12.73,0.12,0.9427,27680.07,35442.866
601606.SH,20191021,12.86,12.94,12.65,12.73,13.01,-0.28,-2.1522,39886.9,50810.901
601606.SH,20191018,13.3,13.3,12.92,13.01,13.21,-0.2,-1.514,42476.71,55566.183
601606.SH,20191017,13.32,13.43,13.2,13.21,13.31,-0.1,-0.7513,29792.19,39585.012
601606.SH,20191016,13.46,13.55,13.31,13.31,13.43,-0.12,-0.8935,35084.87,47014.119
601606.SH,20191015,13.6,13.65,13.43,13.43,13.72,-0.29,-2.1137,44028.12,59574.253
601606.SH,20191014,13.52,13.75,13.48,13.72,13.45,0.27,2.0074,67969.05,92598.319
601606.SH,20191011,13.59,13.62,13.35,13.45,13.54,-0.09,-0.6647,39263.82,52880.129
601606.SH,20191010,13.42,13.57,13.3,13.54,13.42,0.12,0.8942,38633.44,52123.064
601606.SH,20191009,13.33,13.43,13.16,13.42,13.33,0.09,0.6752,43994.4,58537.849
601606.SH,20191008,13.51,13.63,13.22,13.33,13.51,-0.18,-1.3323,44164.0,59344.248
601606.SH,20190930,13.62,13.79,13.5,13.51,13.59,-0.08,-0.5887,41091.49,56011.132
601606.SH,20190927,13.4,13.63,13.33,13.59,13.42,0.17,1.2668,54372.82,73622.641
601606.SH,20190926,14.03,14.1,13.41,13.42,14.01,-0.59,-4.2113,117537.33,160034.896
601606.SH,20190925,14.77,14.77,14.01,14.01,14.8,-0.79,-5.3378,150889.16,215202.941
601606.SH,20190924,15.03,15.09,14.79,14.8,15.03,-0.23,-1.5303,105484.41,156823.062
601606.SH,20190923,14.91,15.14,14.71,15.03,14.97,0.06,0.4008,81925.18,122621.233
601606.SH,20190920,15.0,15.05,14.8,14.97,15.05,-0.08,-0.5316,68640.14,102534.851
601606.SH,20190919,14.87,15.07,14.73,15.05,14.87,0.18,1.2105,74601.9,111441.848
601606.SH,20190918,15.19,15.27,14.81,14.87,15.11,-0.24,-1.5884,89564.83,133947.068
601606.SH,20190917,15.55,15.61,15.08,15.11,15.52,-0.41,-2.6418,122381.42,187765.334
601606.SH,20190916,15.31,15.56,15.23,15.52,15.26,0.26,1.7038,105406.04,162402.768
601606.SH,20190912,15.21,15.33,15.13,15.26,15.13,0.13,0.8592,79451.9,121018.859
601606.SH,20190911,15.38,15.5,15.1,15.13,15.54,-0.41,-2.6384,142879.32,218052.073
601606.SH,20190910,15.77,16.14,15.48,15.54,15.78,-0.24,-1.5209,209138.39,330054.079
601606.SH,20190909,15.64,15.8,15.4,15.78,15.56,0.22,1.4139,170532.75,266200.88
601606.SH,20190906,15.41,15.72,15.33,15.56,15.52,0.04,0.2577,149914.43,232524.305
601606.SH,20190905,15.48,15.74,15.44,15.52,15.45,0.07,0.4531,189226.93,295040.134
601606.SH,20190904,15.47,15.59,15.32,15.45,15.63,-0.18,-1.1516,143848.35,221779.643
601606.SH,20190903,15.56,15.76,15.31,15.63,15.71,-0.08,-0.5092,226890.84,351455.503
601606.SH,20190902,14.93,16.08,14.83,15.71,15.06,0.65,4.3161,366518.8,571568.021
601606.SH,20190830,14.45,15.11,14.15,15.06,14.75,0.31,2.1017,272407.78,398025.235
