ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300604.SZ,20200110,24.14,24.68,23.88,24.29,23.98,0.31,1.2927,83135.86,202283.162
300604.SZ,20200109,23.8,24.09,23.65,23.98,23.58,0.4,1.6964,54190.6,129581.464
300604.SZ,20200108,24.35,24.35,23.58,23.58,24.32,-0.74,-3.0428,62742.28,149988.698
300604.SZ,20200107,24.9,24.9,24.0,24.32,24.73,-0.41,-1.6579,82609.18,201061.135
300604.SZ,20200106,23.84,25.1,23.6,24.73,24.46,0.27,1.1038,73934.18,181635.206
300604.SZ,20200103,24.47,25.18,24.24,24.46,24.53,-0.07,-0.2854,82306.41,202961.642
300604.SZ,20200102,24.0,24.89,23.74,24.53,23.82,0.71,2.9807,80538.22,196964.967
300604.SZ,20191231,24.1,24.3,23.34,23.82,24.11,-0.29,-1.2028,63960.21,152220.653
300604.SZ,20191230,23.61,24.15,22.82,24.11,24.01,0.1,0.4165,89444.56,210986.102
300604.SZ,20191227,25.01,25.09,23.91,24.01,25.24,-1.23,-4.8732,146511.96,358412.836
300604.SZ,20191226,24.9,25.47,24.6,25.24,24.72,0.52,2.1036,157636.76,394105.552
300604.SZ,20191225,23.55,25.4,23.22,24.72,23.54,1.18,5.0127,210283.09,517384.099
300604.SZ,20191224,22.77,23.7,22.24,23.54,22.49,1.05,4.6687,115562.22,266420.144
300604.SZ,20191223,22.0,22.94,21.5,22.49,22.32,0.17,0.7616,101457.37,226594.675
300604.SZ,20191220,23.11,23.43,22.31,22.32,23.4,-1.08,-4.6154,96934.23,221181.958
300604.SZ,20191219,23.36,24.25,23.14,23.4,23.11,0.29,1.2549,111760.76,263423.345
300604.SZ,20191218,23.13,23.42,22.8,23.11,23.01,0.1,0.4346,79766.56,184673.047
300604.SZ,20191217,23.25,23.66,22.92,23.01,23.5,-0.49,-2.0851,95338.11,220631.481
300604.SZ,20191216,23.0,23.5,22.8,23.5,22.76,0.74,3.2513,99946.63,231967.07
300604.SZ,20191213,23.12,23.48,22.06,22.76,23.06,-0.3,-1.301,95895.6,218637.173
300604.SZ,20191212,22.57,23.74,22.46,23.06,22.51,0.55,2.4434,140573.67,324904.008
300604.SZ,20191211,22.71,22.96,22.25,22.51,22.72,-0.21,-0.9243,89759.77,202901.122
300604.SZ,20191210,22.28,22.83,21.92,22.72,22.07,0.65,2.9452,104211.26,233914.82
300604.SZ,20191209,22.65,23.45,22.02,22.07,22.38,-0.31,-1.3852,129470.78,291617.819
300604.SZ,20191206,21.35,22.77,21.35,22.38,21.5,0.88,4.093,125763.93,278865.428
300604.SZ,20191205,21.05,21.88,21.05,21.5,21.28,0.22,1.0338,88505.12,190168.44
300604.SZ,20191204,20.52,21.78,20.52,21.28,20.73,0.55,2.6532,90620.3,191670.099
300604.SZ,20191203,20.1,20.75,19.82,20.73,20.16,0.57,2.8274,63855.24,129609.764
300604.SZ,20191202,19.61,20.42,19.53,20.16,19.59,0.57,2.9096,53319.65,106985.961
300604.SZ,20191129,19.4,19.8,19.38,19.59,19.45,0.14,0.7198,28885.44,56609.361
300604.SZ,20191128,19.35,19.86,19.25,19.45,19.52,-0.07,-0.3586,31787.49,62178.099
300604.SZ,20191127,19.13,19.87,19.06,19.52,19.22,0.3,1.5609,43091.92,84335.571
300604.SZ,20191126,19.15,19.5,18.91,19.22,19.2,0.02,0.1042,41537.69,79460.463
300604.SZ,20191125,20.3,20.42,18.91,19.2,20.43,-1.23,-6.0206,68663.63,133827.793
300604.SZ,20191122,21.1,21.46,20.33,20.43,21.0,-0.57,-2.7143,60733.0,126646.596
300604.SZ,20191121,21.64,21.84,20.99,21.0,21.9,-0.9,-4.1096,71614.42,153482.828
300604.SZ,20191120,21.59,21.97,21.35,21.9,21.69,0.21,0.9682,111693.59,242407.195
300604.SZ,20191119,20.77,21.91,20.55,21.69,21.07,0.62,2.9426,89144.38,188721.402
