ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000404.SZ,20200110,4.04,4.04,3.98,4.01,4.03,-0.02,-0.4963,44620.25,17877.177
000404.SZ,20200109,4.01,4.05,4.0,4.03,4.0,0.03,0.75,42661.96,17175.864
000404.SZ,20200108,4.02,4.07,3.98,4.0,4.05,-0.05,-1.2346,84326.27,33978.301
000404.SZ,20200107,3.99,4.06,3.99,4.05,3.99,0.06,1.5038,66526.85,26753.102
000404.SZ,20200106,3.97,4.02,3.96,3.99,3.98,0.01,0.2513,58286.88,23301.225
000404.SZ,20200103,3.99,4.0,3.96,3.98,3.98,0.0,0.0,45924.26,18287.883
000404.SZ,20200102,3.97,4.01,3.95,3.98,3.95,0.03,0.7595,76409.01,30410.563
000404.SZ,20191231,3.89,3.95,3.89,3.95,3.91,0.04,1.023,62448.38,24553.337
000404.SZ,20191230,3.86,3.92,3.83,3.91,3.89,0.02,0.5141,42095.74,16307.803
000404.SZ,20191227,3.93,3.94,3.89,3.89,3.92,-0.03,-0.7653,52891.67,20723.202
000404.SZ,20191226,3.89,3.93,3.87,3.92,3.89,0.03,0.7712,55681.75,21725.567
000404.SZ,20191225,3.88,3.93,3.86,3.89,3.9,-0.01,-0.2564,55951.98,21762.751
000404.SZ,20191224,3.87,3.94,3.84,3.9,3.87,0.03,0.7752,55875.26,21633.736
000404.SZ,20191223,3.93,3.95,3.85,3.87,3.95,-0.08,-2.0253,61508.29,23951.57
000404.SZ,20191220,4.0,4.01,3.95,3.95,4.0,-0.05,-1.25,50659.37,20161.219
000404.SZ,20191219,3.94,4.01,3.91,4.0,3.93,0.07,1.7812,68458.03,27168.737
000404.SZ,20191218,3.93,3.96,3.9,3.93,3.93,0.0,0.0,47348.9,18616.538
000404.SZ,20191217,3.89,3.97,3.88,3.93,3.89,0.04,1.0283,53088.69,20842.617
000404.SZ,20191216,3.86,3.91,3.84,3.89,3.85,0.04,1.039,44069.11,17061.119
000404.SZ,20191213,3.83,3.86,3.82,3.85,3.81,0.04,1.0499,28569.5,10967.716
000404.SZ,20191212,3.83,3.85,3.81,3.81,3.84,-0.03,-0.7813,20491.5,7848.327
000404.SZ,20191211,3.84,3.88,3.81,3.84,3.85,-0.01,-0.2597,43665.33,16754.584
000404.SZ,20191210,3.84,3.87,3.81,3.85,3.84,0.01,0.2604,24868.07,9536.27
000404.SZ,20191209,3.86,3.87,3.82,3.84,3.84,0.0,0.0,20664.87,7937.502
000404.SZ,20191206,3.83,3.85,3.81,3.84,3.84,0.0,0.0,20026.39,7682.392
000404.SZ,20191205,3.79,3.85,3.78,3.84,3.8,0.04,1.0526,32102.36,12277.808
