ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688299.SH,20200110,20.6,20.98,19.53,19.61,19.36,0.25,1.2913,120029.25,241806.581
688299.SH,20200109,19.23,19.56,18.97,19.36,18.9,0.46,2.4339,64229.26,123544.849
688299.SH,20200108,18.9,19.71,18.58,18.9,18.9,0.0,0.0,88428.49,168769.221
688299.SH,20200107,18.51,18.94,18.31,18.9,18.37,0.53,2.8851,60472.76,112918.655
688299.SH,20200106,18.08,18.95,17.99,18.37,18.32,0.05,0.2729,67778.56,125635.821
688299.SH,20200103,18.2,18.56,18.03,18.32,18.23,0.09,0.4937,64914.76,118585.995
688299.SH,20200102,17.44,18.24,17.33,18.23,17.29,0.94,5.4367,69948.72,124541.401
688299.SH,20191231,17.33,17.46,17.11,17.29,17.21,0.08,0.4648,31114.02,53731.322
688299.SH,20191230,17.25,17.35,16.86,17.21,17.39,-0.18,-1.0351,39145.99,66953.675
688299.SH,20191227,18.05,18.05,17.32,17.39,17.89,-0.5,-2.7949,53458.61,94525.964
688299.SH,20191226,17.88,18.06,17.67,17.89,17.67,0.22,1.245,53132.25,94832.439
688299.SH,20191225,17.31,17.86,17.23,17.67,17.28,0.39,2.2569,49702.82,87754.192
688299.SH,20191224,17.07,17.37,17.07,17.28,17.0,0.28,1.6471,30832.23,53087.43
688299.SH,20191223,17.84,17.89,16.93,17.0,17.84,-0.84,-4.7085,52725.85,91927.759
688299.SH,20191220,18.0,18.16,17.79,17.84,18.1,-0.26,-1.4365,57161.97,102816.684
688299.SH,20191219,18.3,18.58,18.02,18.1,17.99,0.11,0.6115,79072.9,144070.33
688299.SH,20191218,17.5,18.39,17.45,17.99,17.43,0.56,3.2129,104747.16,188218.308
688299.SH,20191217,17.31,17.58,17.14,17.43,17.27,0.16,0.9265,66316.82,115135.87
688299.SH,20191216,17.02,17.3,16.97,17.27,17.01,0.26,1.5285,48339.54,82890.109
688299.SH,20191213,16.96,17.05,16.6,17.01,16.78,0.23,1.3707,44963.73,75693.815
688299.SH,20191212,16.93,17.18,16.72,16.78,16.79,-0.01,-0.0596,47828.73,80987.044
688299.SH,20191211,17.0,17.51,16.72,16.79,17.28,-0.49,-2.8356,76596.83,129978.84
688299.SH,20191210,16.45,17.82,16.25,17.28,16.6,0.68,4.0964,126370.89,217454.179
688299.SH,20191209,16.01,16.74,15.98,16.6,15.98,0.62,3.8798,68520.56,112148.351
688299.SH,20191206,15.93,16.24,15.75,15.98,16.13,-0.15,-0.9299,49914.41,79596.902
688299.SH,20191205,15.78,16.44,15.7,16.13,15.58,0.55,3.5302,67907.52,109143.546
688299.SH,20191204,15.58,15.85,15.35,15.58,15.62,-0.04,-0.2561,38308.33,59883.054
688299.SH,20191203,15.87,15.91,15.34,15.62,16.07,-0.45,-2.8002,51574.22,80164.628
688299.SH,20191202,16.51,16.66,15.87,16.07,16.51,-0.44,-2.6651,75446.05,122825.61
688299.SH,20191129,16.19,16.59,16.18,16.51,16.26,0.25,1.5375,38469.96,63175.236
688299.SH,20191128,16.6,17.1,16.2,16.26,16.66,-0.4,-2.401,61626.42,102790.215
688299.SH,20191127,16.5,17.2,16.25,16.66,16.32,0.34,2.0833,106102.69,179130.513
688299.SH,20191126,15.76,16.47,15.68,16.32,15.85,0.47,2.9653,82441.7,132012.327
688299.SH,20191125,16.89,16.89,15.68,15.85,17.85,-2.0,-11.2045,145132.41,235634.836
688299.SH,20191122,18.43,18.55,17.53,17.85,18.5,-0.65,-3.5135,93852.72,168837.687
688299.SH,20191121,18.14,18.83,18.06,18.5,18.37,0.13,0.7077,73411.55,135882.965
688299.SH,20191120,19.12,19.23,18.28,18.37,19.31,-0.94,-4.8679,118859.19,222674.001
688299.SH,20191119,19.2,19.57,18.75,19.31,19.26,0.05,0.2596,119329.65,228098.992
688299.SH,20191118,21.08,21.16,18.88,19.26,21.02,-1.76,-8.373,213346.44,423310.253
688299.SH,20191115,21.76,22.7,21.02,21.02,22.1,-1.08,-4.8869,194119.6,421576.989
688299.SH,20191114,21.11,23.5,21.02,22.1,21.74,0.36,1.6559,281876.81,620701.286
688299.SH,20191113,20.07,23.19,19.56,21.74,20.07,1.67,8.3209,330856.67,715476.054
688299.SH,20191112,20.54,22.37,19.73,20.07,20.75,-0.68,-3.2771,253953.8,532659.223
688299.SH,20191111,20.61,21.45,19.69,20.75,20.3,0.45,2.2167,236139.78,487039.26
688299.SH,20191108,20.51,20.79,19.42,20.3,21.1,-0.8,-3.7915,294765.65,590209.366
688299.SH,20191107,17.39,23.31,17.33,21.1,17.86,3.24,18.1411,440492.18,859774.054
688299.SH,20191106,18.45,19.68,17.22,17.86,13.71,4.15,30.2699,478438.63,862422.893
688299.SH,20191106,18.45,19.68,17.22,17.86,13.71,4.15,30.2699,478438.63,862422.893
