ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000812.SZ,20200110,3.42,3.43,3.36,3.38,3.42,-0.04,-1.1696,96831.8,32832.785
000812.SZ,20200109,3.4,3.43,3.38,3.42,3.36,0.06,1.7857,148446.66,50574.374
000812.SZ,20200108,3.44,3.45,3.33,3.36,3.49,-0.13,-3.7249,267256.36,90882.753
000812.SZ,20200107,3.42,3.57,3.38,3.49,3.4,0.09,2.6471,323945.97,111692.706
000812.SZ,20200106,3.31,3.43,3.29,3.4,3.38,0.02,0.5917,160979.49,54422.95
000812.SZ,20200103,3.35,3.38,3.32,3.38,3.35,0.03,0.8955,156548.66,52581.185
000812.SZ,20200102,3.35,3.35,3.3,3.35,3.3,0.05,1.5152,161518.81,53768.295
000812.SZ,20191231,3.24,3.37,3.22,3.3,3.24,0.06,1.8519,185179.88,61091.499
000812.SZ,20191230,3.24,3.25,3.15,3.24,3.27,-0.03,-0.9174,105601.59,33908.143
000812.SZ,20191227,3.29,3.33,3.26,3.27,3.29,-0.02,-0.6079,106325.21,35024.727
000812.SZ,20191226,3.25,3.32,3.25,3.29,3.24,0.05,1.5432,77859.33,25547.904
000812.SZ,20191225,3.28,3.29,3.23,3.24,3.27,-0.03,-0.9174,76731.1,25040.066
000812.SZ,20191224,3.22,3.27,3.22,3.27,3.21,0.06,1.8692,67410.38,21869.785
000812.SZ,20191223,3.31,3.32,3.2,3.21,3.31,-0.1,-3.0211,96860.52,31500.949
000812.SZ,20191220,3.32,3.35,3.3,3.31,3.32,-0.01,-0.3012,113534.93,37719.194
000812.SZ,20191219,3.27,3.33,3.26,3.32,3.28,0.04,1.2195,104428.04,34493.286
000812.SZ,20191218,3.3,3.35,3.28,3.28,3.29,-0.01,-0.304,123193.75,40708.171
000812.SZ,20191217,3.24,3.32,3.23,3.29,3.25,0.04,1.2308,153940.46,50672.035
000812.SZ,20191216,3.18,3.26,3.18,3.25,3.18,0.07,2.2013,101416.84,32643.959
000812.SZ,20191213,3.18,3.22,3.15,3.18,3.14,0.04,1.2739,89567.59,28466.413
000812.SZ,20191212,3.19,3.19,3.12,3.14,3.19,-0.05,-1.5674,73828.01,23282.425
000812.SZ,20191211,3.19,3.19,3.16,3.19,3.18,0.01,0.3145,55273.0,17569.314
000812.SZ,20191210,3.17,3.19,3.15,3.18,3.17,0.01,0.3155,68191.3,21614.727
000812.SZ,20191209,3.19,3.21,3.15,3.17,3.19,-0.02,-0.627,61745.9,19592.679
000812.SZ,20191206,3.18,3.2,3.16,3.19,3.18,0.01,0.3145,68329.61,21757.335
000812.SZ,20191205,3.15,3.18,3.14,3.18,3.15,0.03,0.9524,61968.41,19612.91
000812.SZ,20191204,3.1,3.16,3.1,3.15,3.13,0.02,0.639,61353.99,19233.101
000812.SZ,20191203,3.07,3.13,3.05,3.13,3.09,0.04,1.2945,63137.01,19519.681
000812.SZ,20191202,3.06,3.12,3.05,3.09,3.07,0.02,0.6515,58905.0,18189.768
000812.SZ,20191129,3.08,3.1,3.05,3.07,3.1,-0.03,-0.9677,45861.5,14072.487
000812.SZ,20191128,3.08,3.15,3.06,3.1,3.07,0.03,0.9772,54562.58,16938.972
000812.SZ,20191127,3.11,3.11,3.06,3.07,3.11,-0.04,-1.2862,44558.82,13736.465
000812.SZ,20191126,3.14,3.15,3.1,3.11,3.13,-0.02,-0.639,41304.44,12887.68
000812.SZ,20191125,3.1,3.15,3.09,3.13,3.11,0.02,0.6431,51604.09,16128.344
000812.SZ,20191122,3.13,3.18,3.09,3.11,3.12,-0.01,-0.3205,69764.31,21837.274
000812.SZ,20191121,3.12,3.17,3.1,3.12,3.14,-0.02,-0.6369,82998.79,25932.55
000812.SZ,20191120,3.11,3.22,3.09,3.14,3.13,0.01,0.3195,127525.17,40393.505
000812.SZ,20191119,3.04,3.13,3.04,3.13,3.08,0.05,1.6234,67134.33,20821.786
000812.SZ,20191118,3.0,3.08,2.98,3.08,3.0,0.08,2.6667,62547.06,19006.698
000812.SZ,20191115,3.06,3.06,2.99,3.0,3.06,-0.06,-1.9608,61353.2,18522.946
000812.SZ,20191114,3.05,3.07,3.03,3.06,3.06,0.0,0.0,47707.68,14574.059
000812.SZ,20191113,3.11,3.11,3.04,3.06,3.1,-0.04,-1.2903,61898.37,18980.032
000812.SZ,20191112,3.11,3.14,3.05,3.1,3.12,-0.02,-0.641,84481.09,26092.679
000812.SZ,20191111,3.21,3.21,3.11,3.12,3.21,-0.09,-2.8037,66707.06,20954.367
000812.SZ,20191108,3.24,3.26,3.21,3.21,3.23,-0.02,-0.6192,50893.81,16446.385
000812.SZ,20191107,3.22,3.25,3.21,3.23,3.22,0.01,0.3106,54382.6,17563.314
000812.SZ,20191106,3.28,3.29,3.2,3.22,3.28,-0.06,-1.8293,79074.1,25623.552
000812.SZ,20191105,3.29,3.33,3.25,3.28,3.3,-0.02,-0.6061,73419.4,24132.86
000812.SZ,20191104,3.29,3.34,3.28,3.3,3.27,0.03,0.9174,85869.01,28385.045
000812.SZ,20191101,3.26,3.3,3.23,3.27,3.26,0.01,0.3067,95932.82,31330.293
000812.SZ,20191031,3.33,3.36,3.2,3.26,3.33,-0.07,-2.1021,113825.57,37292.867
000812.SZ,20191030,3.35,3.41,3.31,3.33,3.35,-0.02,-0.597,97900.31,32831.888
000812.SZ,20191029,3.48,3.48,3.35,3.35,3.49,-0.14,-4.0115,120474.48,41104.906
000812.SZ,20191028,3.42,3.5,3.4,3.49,3.4,0.09,2.6471,141147.39,48686.569
000812.SZ,20191025,3.39,3.44,3.36,3.4,3.37,0.03,0.8902,95672.47,32529.321
000812.SZ,20191024,3.36,3.4,3.35,3.37,3.36,0.01,0.2976,68271.5,23026.098
000812.SZ,20191023,3.35,3.38,3.33,3.36,3.34,0.02,0.5988,80485.76,27037.854
000812.SZ,20191022,3.27,3.36,3.27,3.34,3.28,0.06,1.8293,82785.85,27386.095
000812.SZ,20191021,3.25,3.28,3.2,3.28,3.25,0.03,0.9231,58987.82,19083.286
000812.SZ,20191018,3.3,3.34,3.24,3.25,3.29,-0.04,-1.2158,61473.57,20179.939
000812.SZ,20191017,3.32,3.36,3.29,3.29,3.32,-0.03,-0.9036,56730.0,18847.155
000812.SZ,20191016,3.38,3.41,3.32,3.32,3.38,-0.06,-1.7751,54759.0,18421.835
000812.SZ,20191015,3.44,3.44,3.36,3.38,3.45,-0.07,-2.029,70694.1,23991.962
000812.SZ,20191014,3.39,3.45,3.38,3.45,3.37,0.08,2.3739,104303.32,35743.255
000812.SZ,20191011,3.36,3.39,3.33,3.37,3.36,0.01,0.2976,68599.38,23076.305
000812.SZ,20191010,3.32,3.36,3.31,3.36,3.32,0.04,1.2048,68460.7,22930.462
000812.SZ,20191009,3.28,3.33,3.24,3.32,3.29,0.03,0.9119,55158.29,18145.041
000812.SZ,20191008,3.33,3.36,3.27,3.29,3.32,-0.03,-0.9036,64594.37,21479.288
000812.SZ,20190930,3.31,3.4,3.31,3.32,3.34,-0.02,-0.5988,58672.21,19640.961
000812.SZ,20190927,3.33,3.37,3.3,3.34,3.32,0.02,0.6024,78330.25,26142.991
000812.SZ,20190926,3.46,3.49,3.3,3.32,3.44,-0.12,-3.4884,155964.9,52425.096
000812.SZ,20190925,3.51,3.52,3.42,3.44,3.49,-0.05,-1.4327,117615.6,40639.468
000812.SZ,20190924,3.42,3.56,3.4,3.49,3.4,0.09,2.6471,210473.49,73714.597
000812.SZ,20190923,3.46,3.48,3.39,3.4,3.5,-0.1,-2.8571,117781.27,40245.078
000812.SZ,20190920,3.52,3.54,3.49,3.5,3.53,-0.03,-0.8499,90746.71,31896.112
000812.SZ,20190919,3.51,3.54,3.46,3.53,3.52,0.01,0.2841,111091.03,38854.235
000812.SZ,20190918,3.54,3.57,3.51,3.52,3.53,-0.01,-0.2833,111672.72,39479.469
000812.SZ,20190917,3.64,3.64,3.5,3.53,3.63,-0.1,-2.7548,159880.97,56758.209
000812.SZ,20190916,3.67,3.68,3.6,3.63,3.66,-0.03,-0.8197,141914.63,51787.092
000812.SZ,20190912,3.67,3.68,3.61,3.66,3.65,0.01,0.274,120129.96,43834.839
000812.SZ,20190911,3.65,3.71,3.63,3.65,3.63,0.02,0.551,193128.19,70829.791
000812.SZ,20190910,3.62,3.64,3.58,3.63,3.66,-0.03,-0.8197,189057.69,68173.396
000812.SZ,20190909,3.56,3.71,3.53,3.66,3.53,0.13,3.6827,240647.54,86898.841
000812.SZ,20190906,3.51,3.55,3.48,3.53,3.52,0.01,0.2841,134853.37,47476.118
000812.SZ,20190905,3.5,3.65,3.5,3.52,3.5,0.02,0.5714,232655.17,82719.936
000812.SZ,20190904,3.45,3.52,3.42,3.5,3.46,0.04,1.1561,167787.73,58333.446
000812.SZ,20190903,3.44,3.47,3.42,3.46,3.44,0.02,0.5814,116050.06,40012.498
000812.SZ,20190902,3.37,3.44,3.36,3.44,3.36,0.08,2.381,89545.24,30569.725
000812.SZ,20190830,3.49,3.52,3.34,3.36,3.46,-0.1,-2.8902,115979.1,39565.916
000812.SZ,20190829,3.47,3.53,3.45,3.46,3.46,0.0,0.0,104862.7,36506.311
000812.SZ,20190828,3.46,3.49,3.44,3.46,3.47,-0.01,-0.2882,98146.8,34045.929
000812.SZ,20190827,3.41,3.48,3.38,3.47,3.39,0.08,2.3599,122878.83,42282.619
000812.SZ,20190826,3.35,3.41,3.34,3.39,3.46,-0.07,-2.0231,124077.41,41916.023
