ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603790.SH,20200110,16.25,16.43,16.2,16.29,16.23,0.06,0.3697,18844.22,30727.637
603790.SH,20200109,16.12,16.26,16.08,16.23,16.02,0.21,1.3109,21668.22,35042.908
603790.SH,20200108,16.51,16.51,16.02,16.02,16.51,-0.49,-2.9679,29241.16,47467.522
603790.SH,20200107,16.32,16.58,16.3,16.51,16.33,0.18,1.1023,20746.8,34132.77
603790.SH,20200106,16.29,16.45,16.21,16.33,16.42,-0.09,-0.5481,25185.69,41182.657
603790.SH,20200103,16.29,16.49,16.13,16.42,16.24,0.18,1.1084,36318.7,59276.751
603790.SH,20200102,16.1,16.25,16.02,16.24,15.99,0.25,1.5635,27783.98,44957.309
603790.SH,20191231,15.91,16.05,15.89,15.99,15.99,0.0,0.0,14396.7,23010.907
603790.SH,20191230,15.77,16.01,15.62,15.99,15.88,0.11,0.6927,16337.08,25890.093
603790.SH,20191227,16.17,16.22,15.87,15.88,16.15,-0.27,-1.6718,18943.98,30418.353
603790.SH,20191226,15.9,16.17,15.8,16.15,15.88,0.27,1.7003,19769.9,31667.973
603790.SH,20191225,15.83,15.95,15.72,15.88,15.84,0.04,0.2525,10561.3,16742.311
603790.SH,20191224,15.7,15.9,15.61,15.84,15.64,0.2,1.2788,14024.38,22116.936
603790.SH,20191223,15.99,16.03,15.57,15.64,15.97,-0.33,-2.0664,22146.72,34943.446
603790.SH,20191220,16.33,16.34,15.97,15.97,16.29,-0.32,-1.9644,23248.2,37574.397
603790.SH,20191219,16.1,16.33,16.05,16.29,16.12,0.17,1.0546,23736.99,38484.681
603790.SH,20191218,16.2,16.33,16.12,16.12,16.2,-0.08,-0.4938,23348.6,37835.461
603790.SH,20191217,16.06,16.29,15.97,16.2,16.05,0.15,0.9346,29031.73,46856.213
603790.SH,20191216,16.01,16.09,15.88,16.05,15.93,0.12,0.7533,23445.99,37465.615
603790.SH,20191213,15.87,16.0,15.77,15.93,15.76,0.17,1.0787,15258.3,24257.34
603790.SH,20191212,15.73,15.93,15.73,15.76,15.78,-0.02,-0.1267,14348.4,22726.846
603790.SH,20191211,16.13,16.18,15.76,15.78,16.17,-0.39,-2.4119,30984.7,49325.278
603790.SH,20191210,16.22,16.37,16.12,16.17,16.3,-0.13,-0.7975,20299.7,32886.424
603790.SH,20191209,16.19,16.32,16.02,16.3,16.14,0.16,0.9913,23143.61,37412.891
603790.SH,20191206,16.23,16.29,16.08,16.14,16.23,-0.09,-0.5545,21107.19,34095.852
603790.SH,20191205,16.25,16.29,16.12,16.23,16.16,0.07,0.4332,21001.48,34000.891
603790.SH,20191204,16.16,16.35,16.06,16.16,16.26,-0.1,-0.615,18620.79,30133.464
