ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002617.SZ,20200110,6.37,6.53,6.26,6.27,6.4,-0.13,-2.0313,416042.85,263736.637
002617.SZ,20200109,6.43,6.57,6.21,6.4,6.3,0.1,1.5873,780039.28,497230.893
002617.SZ,20200108,6.43,6.53,6.24,6.3,6.49,-0.19,-2.9276,747138.8,478786.6
002617.SZ,20200107,6.07,6.57,6.0,6.49,5.98,0.51,8.5284,1252363.21,787739.091
002617.SZ,20200106,5.9,6.11,5.86,5.98,5.97,0.01,0.1675,618405.93,369913.813
002617.SZ,20200103,5.67,6.04,5.65,5.97,5.7,0.27,4.7368,778439.05,457151.356
002617.SZ,20200102,5.47,5.7,5.46,5.7,5.42,0.28,5.1661,723475.77,405953.978
002617.SZ,20191231,5.46,5.52,5.39,5.42,5.52,-0.1,-1.8116,203662.47,110815.527
002617.SZ,20191230,5.44,5.54,5.24,5.52,5.48,0.04,0.7299,303744.31,163649.302
002617.SZ,20191227,5.59,5.64,5.46,5.48,5.6,-0.12,-2.1429,322753.84,178808.705
002617.SZ,20191226,5.88,5.88,5.44,5.6,5.92,-0.32,-5.4054,764754.87,430577.402
002617.SZ,20191225,6.11,6.13,5.9,5.92,6.04,-0.12,-1.9868,469131.39,281275.713
002617.SZ,20191224,5.8,6.04,5.78,6.04,5.75,0.29,5.0435,476245.11,281706.43
002617.SZ,20191223,5.98,5.98,5.67,5.75,6.06,-0.31,-5.1155,384311.08,222627.331
002617.SZ,20191220,6.07,6.13,5.9,6.06,6.12,-0.06,-0.9804,476658.75,287077.824
002617.SZ,20191219,5.85,6.17,5.85,6.12,5.85,0.27,4.6154,712436.96,429882.725
002617.SZ,20191218,5.65,5.93,5.61,5.85,5.64,0.21,3.7234,537381.35,310202.266
002617.SZ,20191217,5.5,5.72,5.47,5.64,5.45,0.19,3.4862,459479.54,256222.605
002617.SZ,20191216,5.33,5.45,5.32,5.45,5.35,0.1,1.8692,254482.18,137190.691
002617.SZ,20191213,5.45,5.47,5.31,5.35,5.36,-0.01,-0.1866,248751.0,133478.152
002617.SZ,20191212,5.29,5.48,5.23,5.36,5.32,0.04,0.7519,250673.94,134039.716
002617.SZ,20191211,5.35,5.35,5.23,5.32,5.33,-0.01,-0.1876,180756.15,95349.08
002617.SZ,20191210,5.36,5.41,5.31,5.33,5.35,-0.02,-0.3738,214490.91,114735.685
002617.SZ,20191209,5.27,5.35,5.2,5.35,5.27,0.08,1.518,289701.0,152849.732
002617.SZ,20191206,5.18,5.27,5.13,5.27,5.2,0.07,1.3462,274628.0,142458.872
002617.SZ,20191205,5.23,5.3,5.15,5.2,5.28,-0.08,-1.5152,406461.28,211522.093
002617.SZ,20191204,5.57,5.57,5.13,5.28,5.67,-0.39,-6.8783,746612.96,396546.625
002617.SZ,20191203,5.7,5.74,5.49,5.67,5.72,-0.05,-0.8741,384312.46,214587.101
002617.SZ,20191202,5.75,5.89,5.64,5.72,5.64,0.08,1.4184,273220.72,157396.145
002617.SZ,20191129,5.73,5.81,5.63,5.64,5.71,-0.07,-1.2259,185109.78,105350.924
002617.SZ,20191128,5.86,6.05,5.7,5.71,5.84,-0.13,-2.226,257215.0,150212.447
002617.SZ,20191127,6.3,6.3,5.8,5.84,5.91,-0.07,-1.1844,414398.1,249729.475
002617.SZ,20191126,5.51,5.98,5.51,5.91,5.5,0.41,7.4545,367688.12,212674.897
002617.SZ,20191125,5.46,5.53,5.35,5.5,5.44,0.06,1.1029,133397.67,72898.98
002617.SZ,20191122,5.48,5.59,5.4,5.44,5.48,-0.04,-0.7299,147055.33,80803.115
002617.SZ,20191121,5.46,5.52,5.39,5.48,5.46,0.02,0.3663,102922.06,56224.38
002617.SZ,20191120,5.46,5.54,5.44,5.46,5.44,0.02,0.3676,132998.43,72942.185
