ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300208.SZ,20200110,7.1,7.15,6.98,7.02,7.07,-0.05,-0.7072,38537.38,27130.361
300208.SZ,20200109,7.08,7.14,7.01,7.07,7.0,0.07,1.0,38420.5,27145.224
300208.SZ,20200108,7.29,7.29,7.0,7.0,7.27,-0.27,-3.7139,56392.0,40148.051
300208.SZ,20200107,7.25,7.3,7.2,7.27,7.23,0.04,0.5533,40140.83,29091.899
300208.SZ,20200106,7.11,7.31,7.11,7.23,7.16,0.07,0.9777,46066.03,33285.1
300208.SZ,20200103,7.25,7.3,7.1,7.16,7.24,-0.08,-1.105,31888.5,22855.714
300208.SZ,20200102,7.18,7.28,7.18,7.24,7.18,0.06,0.8357,28371.0,20584.534
300208.SZ,20191231,7.23,7.28,7.09,7.18,7.26,-0.08,-1.1019,41057.0,29415.102
300208.SZ,20191230,7.04,7.29,7.03,7.26,7.03,0.23,3.2717,50930.03,36545.848
300208.SZ,20191227,7.2,7.3,7.03,7.03,7.2,-0.17,-2.3611,44735.9,32171.953
300208.SZ,20191226,7.16,7.23,7.14,7.2,7.19,0.01,0.1391,28464.0,20439.751
300208.SZ,20191225,7.2,7.28,7.1,7.19,7.2,-0.01,-0.1389,33167.5,23911.091
300208.SZ,20191224,7.3,7.34,7.14,7.2,7.28,-0.08,-1.0989,35475.5,25564.575
300208.SZ,20191223,7.34,7.41,7.22,7.28,7.36,-0.08,-1.087,34683.03,25256.203
300208.SZ,20191220,7.35,7.53,7.28,7.36,7.35,0.01,0.1361,44832.53,33245.178
300208.SZ,20191219,7.16,7.38,7.1,7.35,7.17,0.18,2.5105,52207.0,37865.727
300208.SZ,20191218,7.33,7.35,7.16,7.17,7.32,-0.15,-2.0492,51888.22,37459.932
300208.SZ,20191217,7.34,7.36,7.23,7.32,7.29,0.03,0.4115,60122.5,43918.838
300208.SZ,20191216,7.0,7.37,6.98,7.29,6.98,0.31,4.4413,80209.28,57599.721
300208.SZ,20191213,6.96,7.06,6.9,6.98,6.96,0.02,0.2874,45246.0,31523.125
300208.SZ,20191212,6.73,7.1,6.73,6.96,6.75,0.21,3.1111,83369.66,58070.234
300208.SZ,20191211,6.55,6.8,6.51,6.75,6.54,0.21,3.211,67325.29,44654.263
300208.SZ,20191210,6.63,6.7,6.48,6.54,6.64,-0.1,-1.506,60635.53,39685.408
300208.SZ,20191209,6.65,6.87,6.51,6.64,6.35,0.29,4.5669,116831.96,78082.934
300208.SZ,20191206,6.46,6.52,6.32,6.35,6.46,-0.11,-1.7028,48760.25,31093.89
300208.SZ,20191205,6.35,6.47,6.32,6.46,6.35,0.11,1.7323,73317.61,46995.472
300208.SZ,20191204,6.26,6.38,6.19,6.35,6.27,0.08,1.2759,59184.41,37345.921
300208.SZ,20191203,6.21,6.27,6.0,6.27,6.25,0.02,0.32,40608.0,24932.084
300208.SZ,20191202,6.25,6.37,6.2,6.25,6.25,0.0,0.0,26864.0,16819.365
300208.SZ,20191129,6.26,6.37,6.24,6.25,6.25,0.0,0.0,27929.51,17577.175
300208.SZ,20191128,6.44,6.44,6.21,6.25,6.38,-0.13,-2.0376,33368.33,21039.837
300208.SZ,20191127,6.63,6.66,6.28,6.38,6.47,-0.09,-1.391,39073.0,24899.511
300208.SZ,20191126,6.49,6.58,6.4,6.47,6.46,0.01,0.1548,21825.5,14195.521
300208.SZ,20191125,6.58,6.7,6.4,6.46,6.65,-0.19,-2.8571,50198.0,32415.936
300208.SZ,20191122,6.78,6.85,6.63,6.65,6.76,-0.11,-1.6272,33731.03,22636.752
300208.SZ,20191121,6.85,6.94,6.74,6.76,6.9,-0.14,-2.029,23710.03,16125.475
300208.SZ,20191120,7.06,7.06,6.89,6.9,6.98,-0.08,-1.1461,27066.5,18835.234
300208.SZ,20191119,6.92,6.99,6.8,6.98,6.9,0.08,1.1594,27992.32,19351.545
300208.SZ,20191118,6.99,7.0,6.71,6.9,6.99,-0.09,-1.2876,30923.02,21240.703
300208.SZ,20191115,7.04,7.12,6.99,6.99,7.05,-0.06,-0.8511,19960.0,14076.926
300208.SZ,20191114,7.08,7.12,6.99,7.05,7.06,-0.01,-0.1416,36656.05,25794.004
300208.SZ,20191113,7.3,7.3,6.96,7.06,7.21,-0.15,-2.0804,45939.5,32610.346
300208.SZ,20191112,7.35,7.35,7.15,7.21,7.29,-0.08,-1.0974,32921.77,23776.788
300208.SZ,20191111,7.54,7.57,7.28,7.29,7.54,-0.25,-3.3156,31726.0,23401.684
300208.SZ,20191108,7.58,7.66,7.51,7.54,7.57,-0.03,-0.3963,19629.0,14839.937
300208.SZ,20191107,7.52,7.62,7.52,7.57,7.56,0.01,0.1323,18765.5,14241.403
300208.SZ,20191106,7.51,7.7,7.48,7.56,7.58,-0.02,-0.2639,33960.01,25743.71
300208.SZ,20191105,7.55,7.6,7.43,7.58,7.55,0.03,0.3974,26640.09,20033.2
300208.SZ,20191104,7.5,7.58,7.49,7.55,7.51,0.04,0.5326,22298.22,16803.822
300208.SZ,20191101,7.34,7.59,7.34,7.51,7.52,-0.01,-0.133,26467.0,19879.887
300208.SZ,20191031,7.68,7.79,7.46,7.52,7.74,-0.22,-2.8424,41945.0,31842.316
300208.SZ,20191030,7.8,7.9,7.73,7.74,7.93,-0.19,-2.396,33968.0,26422.057
300208.SZ,20191029,7.9,8.13,7.72,7.93,7.84,0.09,1.148,66427.19,52583.697
300208.SZ,20191028,7.98,8.15,7.7,7.84,7.62,0.22,2.8871,55673.5,43706.735
300208.SZ,20191025,7.62,7.64,7.54,7.62,7.62,0.0,0.0,18905.5,14338.127
300208.SZ,20191024,7.62,7.65,7.46,7.62,7.52,0.1,1.3298,23334.0,17680.945
300208.SZ,20191023,7.5,7.69,7.49,7.52,7.53,-0.01,-0.1328,32764.99,24798.973
300208.SZ,20191022,7.4,7.65,7.4,7.53,7.35,0.18,2.449,29410.14,22186.491
