ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002948.SZ,20200110,5.88,5.9,5.83,5.86,5.86,0.0,0.0,73191.63,42902.636
002948.SZ,20200109,5.86,5.88,5.84,5.86,5.82,0.04,0.6873,102722.0,60196.615
002948.SZ,20200108,5.93,5.93,5.82,5.82,5.95,-0.13,-2.1849,174428.28,102406.55
002948.SZ,20200107,5.92,5.96,5.9,5.95,5.92,0.03,0.5068,147205.43,87348.713
002948.SZ,20200106,5.9,5.96,5.87,5.92,5.94,-0.02,-0.3367,153494.53,90826.69
002948.SZ,20200103,5.93,5.96,5.91,5.94,5.97,-0.03,-0.5025,136329.9,80995.8
002948.SZ,20200102,6.07,6.09,5.94,5.97,5.94,0.03,0.5051,257750.81,154838.634
002948.SZ,20191231,5.88,5.94,5.87,5.94,5.91,0.03,0.5076,127140.08,75027.143
002948.SZ,20191230,5.84,5.96,5.76,5.91,5.92,-0.01,-0.1689,192328.33,112650.289
002948.SZ,20191227,5.93,6.08,5.9,5.92,5.93,-0.01,-0.1686,234703.33,140095.056
002948.SZ,20191226,5.88,5.93,5.86,5.93,5.89,0.04,0.6791,131595.55,77510.045
002948.SZ,20191225,5.86,5.96,5.82,5.89,5.89,0.0,0.0,141400.16,82974.001
002948.SZ,20191224,5.88,5.93,5.84,5.89,5.87,0.02,0.3407,122086.77,71775.144
002948.SZ,20191223,6.07,6.07,5.86,5.87,6.08,-0.21,-3.4539,271664.5,162140.453
002948.SZ,20191220,5.95,6.28,5.95,6.08,5.98,0.1,1.6722,446965.2,273870.53
002948.SZ,20191219,5.92,6.09,5.92,5.98,5.96,0.02,0.3356,246723.73,147999.335
002948.SZ,20191218,5.91,6.12,5.9,5.96,5.99,-0.03,-0.5008,302869.18,181729.136
002948.SZ,20191217,5.79,6.16,5.78,5.99,5.81,0.18,3.0981,432929.33,258885.573
002948.SZ,20191216,5.76,5.81,5.72,5.81,5.78,0.03,0.519,167609.08,96641.649
002948.SZ,20191213,5.71,5.82,5.66,5.78,5.66,0.12,2.1201,178826.14,102805.974
002948.SZ,20191212,5.72,5.74,5.66,5.66,5.72,-0.06,-1.049,65979.0,37541.785
002948.SZ,20191211,5.65,5.75,5.65,5.72,5.65,0.07,1.2389,114155.54,65164.893
002948.SZ,20191210,5.68,5.68,5.63,5.65,5.68,-0.03,-0.5282,69559.5,39280.902
002948.SZ,20191209,5.72,5.76,5.66,5.68,5.71,-0.03,-0.5254,81582.09,46470.41
002948.SZ,20191206,5.72,5.74,5.69,5.71,5.72,-0.01,-0.1748,52904.94,30221.433
002948.SZ,20191205,5.68,5.72,5.66,5.72,5.67,0.05,0.8818,60497.75,34457.215
002948.SZ,20191204,5.64,5.67,5.62,5.67,5.66,0.01,0.1767,36077.0,20390.785
002948.SZ,20191203,5.63,5.67,5.61,5.66,5.65,0.01,0.177,41292.54,23268.694
