ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300132.SZ,20200110,12.01,12.36,11.87,11.94,12.03,-0.09,-0.7481,104785.98,126808.455
300132.SZ,20200109,12.02,12.11,11.81,12.03,11.82,0.21,1.7766,97781.6,116877.606
300132.SZ,20200108,12.18,12.4,11.73,11.82,12.53,-0.71,-5.6664,197559.0,237592.063
300132.SZ,20200107,12.49,12.9,12.49,12.53,12.69,-0.16,-1.2608,144568.13,183041.896
300132.SZ,20200106,12.2,12.94,11.9,12.69,12.61,0.08,0.6344,281947.14,349425.87
300132.SZ,20200103,11.91,13.32,11.65,12.61,12.13,0.48,3.9571,364590.17,445763.128
300132.SZ,20200102,11.4,12.13,11.26,12.13,11.03,1.1,9.9728,328440.74,392923.181
300132.SZ,20191231,10.45,11.13,10.4,11.03,10.59,0.44,4.1549,159429.24,171819.801
300132.SZ,20191230,10.81,11.17,10.4,10.59,10.83,-0.24,-2.2161,218245.17,233671.487
300132.SZ,20191227,9.84,10.85,9.84,10.83,9.86,0.97,9.8377,250656.25,264734.15
300132.SZ,20191226,9.74,9.88,9.6,9.86,9.71,0.15,1.5448,39654.0,38713.702
300132.SZ,20191225,9.9,9.93,9.68,9.71,9.87,-0.16,-1.6211,40389.22,39503.993
300132.SZ,20191224,9.78,9.92,9.63,9.87,9.74,0.13,1.3347,39095.28,38304.259
300132.SZ,20191223,10.13,10.14,9.58,9.74,10.19,-0.45,-4.4161,93825.96,92177.789
300132.SZ,20191220,10.03,10.24,9.95,10.19,10.07,0.12,1.1917,58217.96,58767.577
300132.SZ,20191219,10.05,10.08,9.88,10.07,10.03,0.04,0.3988,46388.39,46261.437
300132.SZ,20191218,10.05,10.24,10.01,10.03,10.1,-0.07,-0.6931,50052.0,50489.778
300132.SZ,20191217,10.14,10.3,10.01,10.1,10.13,-0.03,-0.2962,73733.64,74717.037
300132.SZ,20191216,9.79,10.24,9.67,10.13,9.78,0.35,3.5787,87863.8,87972.369
300132.SZ,20191213,9.73,9.84,9.66,9.78,9.74,0.04,0.4107,45699.07,44475.889
300132.SZ,20191212,9.45,9.83,9.45,9.74,9.5,0.24,2.5263,82538.09,80211.401
300132.SZ,20191211,9.5,9.58,9.38,9.5,9.48,0.02,0.211,44226.13,41914.29
300132.SZ,20191210,9.51,9.55,9.3,9.48,9.63,-0.15,-1.5576,82601.13,77863.78
300132.SZ,20191209,8.89,9.82,8.87,9.63,8.93,0.7,7.8387,167450.35,159294.532
300132.SZ,20191206,9.12,9.16,8.71,8.93,9.16,-0.23,-2.5109,80605.74,71865.349
300132.SZ,20191205,9.01,9.16,9.01,9.16,9.01,0.15,1.6648,22905.0,20833.778
300132.SZ,20191204,9.02,9.07,8.97,9.01,9.07,-0.06,-0.6615,20783.0,18727.693
300132.SZ,20191203,9.02,9.07,8.9,9.07,9.06,0.01,0.1104,27256.02,24491.065
300132.SZ,20191202,9.14,9.15,9.03,9.06,9.1,-0.04,-0.4396,24486.0,22221.517
300132.SZ,20191129,9.17,9.29,9.03,9.1,9.18,-0.08,-0.8715,32062.8,29302.022
300132.SZ,20191128,9.39,9.42,9.16,9.18,9.38,-0.2,-2.1322,31804.0,29399.364
300132.SZ,20191127,9.48,9.56,9.34,9.38,9.48,-0.1,-1.0549,36054.83,33955.119
300132.SZ,20191126,9.68,9.7,9.41,9.48,9.67,-0.19,-1.9648,58414.91,55421.447
300132.SZ,20191125,9.36,9.67,9.15,9.67,9.28,0.39,4.2026,93797.66,89048.408
300132.SZ,20191122,9.0,9.56,9.0,9.28,8.89,0.39,4.387,91069.74,84904.125
300132.SZ,20191121,8.73,8.95,8.73,8.89,8.8,0.09,1.0227,25730.28,22798.347
300132.SZ,20191120,8.87,8.94,8.8,8.8,8.9,-0.1,-1.1236,27694.02,24540.916
300132.SZ,20191119,8.73,8.9,8.7,8.9,8.72,0.18,2.0642,35087.87,30982.649
300132.SZ,20191118,8.75,8.86,8.66,8.72,8.79,-0.07,-0.7964,39793.8,34753.721
300132.SZ,20191115,9.18,9.18,8.79,8.79,9.16,-0.37,-4.0393,45455.49,40512.026
300132.SZ,20191114,9.2,9.26,9.06,9.16,9.24,-0.08,-0.8658,23404.12,21428.804
300132.SZ,20191113,9.3,9.34,9.19,9.24,9.24,0.0,0.0,18671.0,17292.002
300132.SZ,20191112,9.2,9.31,9.18,9.24,9.23,0.01,0.1083,23925.0,22136.496
300132.SZ,20191111,9.45,9.46,9.17,9.23,9.51,-0.28,-2.9443,34465.0,31938.667
300132.SZ,20191108,9.46,9.56,9.45,9.51,9.42,0.09,0.9554,29087.07,27650.56
300132.SZ,20191107,9.44,9.53,9.36,9.42,9.47,-0.05,-0.528,33229.0,31328.19
300132.SZ,20191106,9.51,9.63,9.45,9.47,9.57,-0.1,-1.0449,36217.0,34527.378
300132.SZ,20191105,9.68,9.68,9.5,9.57,9.67,-0.1,-1.0341,39733.31,38067.015
300132.SZ,20191104,9.67,9.76,9.6,9.67,9.61,0.06,0.6243,41104.76,39703.454
300132.SZ,20191101,9.65,9.7,9.54,9.61,9.7,-0.09,-0.9278,53433.86,51345.866
300132.SZ,20191031,9.8,9.85,9.65,9.7,9.82,-0.12,-1.222,39508.35,38382.144
300132.SZ,20191030,9.84,10.01,9.8,9.82,9.87,-0.05,-0.5066,48200.94,47606.542
300132.SZ,20191029,10.15,10.17,9.84,9.87,10.18,-0.31,-3.0452,70336.93,70264.376
300132.SZ,20191028,10.33,10.33,10.01,10.18,10.32,-0.14,-1.3566,75528.82,76876.973
300132.SZ,20191025,10.55,10.56,10.17,10.32,10.49,-0.17,-1.6206,111530.3,114566.846
300132.SZ,20191024,10.43,10.69,10.34,10.49,10.46,0.03,0.2868,74397.2,78238.051
300132.SZ,20191023,10.51,10.8,10.23,10.46,10.32,0.14,1.3566,107447.13,112765.387
300132.SZ,20191022,9.88,10.56,9.81,10.32,9.86,0.46,4.6653,81656.55,83403.911
300132.SZ,20191021,9.85,9.9,9.48,9.86,9.85,0.01,0.1015,35942.85,34820.896
300132.SZ,20191018,9.89,10.03,9.75,9.85,9.86,-0.01,-0.1014,25580.75,25263.03
300132.SZ,20191017,9.92,9.93,9.72,9.86,10.0,-0.14,-1.4,35873.45,35270.383
300132.SZ,20191016,10.0,10.12,9.91,10.0,9.97,0.03,0.3009,31145.43,31135.274
300132.SZ,20191015,10.07,10.18,9.97,9.97,10.1,-0.13,-1.2871,33400.85,33607.882
300132.SZ,20191014,10.08,10.23,10.0,10.1,10.02,0.08,0.7984,41925.3,42442.559
300132.SZ,20191011,10.16,10.16,10.02,10.02,10.11,-0.09,-0.8902,27566.23,27818.294
300132.SZ,20191010,9.91,10.15,9.81,10.11,9.92,0.19,1.9153,28184.87,28379.454
300132.SZ,20191009,9.79,9.95,9.62,9.92,9.79,0.13,1.3279,22361.0,21934.687
300132.SZ,20191008,9.64,9.96,9.64,9.79,9.79,0.0,0.0,28299.25,27801.89
300132.SZ,20190930,9.86,9.96,9.79,9.79,9.87,-0.08,-0.8105,25879.7,25511.456
300132.SZ,20190927,9.8,9.98,9.77,9.87,9.77,0.1,1.0235,32693.83,32342.343
300132.SZ,20190926,10.05,10.15,9.68,9.77,10.08,-0.31,-3.0754,42230.76,41824.253
300132.SZ,20190925,10.32,10.34,10.05,10.08,10.35,-0.27,-2.6087,45647.96,46363.503
300132.SZ,20190924,10.47,10.55,10.3,10.35,10.46,-0.11,-1.0516,37418.85,38980.261
300132.SZ,20190923,10.65,10.66,10.24,10.46,10.64,-0.18,-1.6917,58026.0,60424.697
300132.SZ,20190920,10.74,10.8,10.5,10.64,10.74,-0.1,-0.9311,44426.02,47345.609
300132.SZ,20190919,10.75,10.84,10.6,10.74,10.75,-0.01,-0.093,33278.77,35656.153
300132.SZ,20190918,10.8,10.87,10.66,10.75,10.8,-0.05,-0.463,38341.16,41278.443
300132.SZ,20190917,10.82,11.12,10.77,10.8,10.92,-0.12,-1.0989,62673.4,68485.642
300132.SZ,20190916,11.17,11.36,10.89,10.92,11.16,-0.24,-2.1505,86404.88,96076.166
300132.SZ,20190912,10.98,11.18,10.81,11.16,10.86,0.3,2.7624,64277.06,71059.852
300132.SZ,20190911,10.84,11.04,10.79,10.86,10.75,0.11,1.0233,62124.8,67951.701
300132.SZ,20190910,10.72,10.86,10.61,10.75,10.75,0.0,0.0,49463.11,53221.452
300132.SZ,20190909,10.4,10.79,10.31,10.75,10.31,0.44,4.2677,74610.0,78967.027
300132.SZ,20190906,10.38,10.5,10.24,10.31,10.37,-0.06,-0.5786,57063.67,58957.859
300132.SZ,20190905,10.38,10.57,10.26,10.37,10.23,0.14,1.3685,80577.99,83731.019
300132.SZ,20190904,10.16,10.28,10.1,10.23,10.22,0.01,0.0978,47485.76,48410.792
300132.SZ,20190903,10.16,10.25,10.05,10.22,10.21,0.01,0.0979,44205.0,44940.196
300132.SZ,20190902,10.11,10.25,10.01,10.21,10.11,0.1,0.9891,56447.2,57345.52
300132.SZ,20190830,10.15,10.4,9.99,10.11,10.11,0.0,0.0,48943.44,49953.692
300132.SZ,20190829,10.12,10.28,10.06,10.11,10.1,0.01,0.099,40473.8,41122.752
300132.SZ,20190828,10.24,10.35,10.04,10.1,9.89,0.21,2.1234,73812.0,75040.701
300132.SZ,20190827,9.68,9.96,9.62,9.89,9.59,0.3,3.1283,43300.04,42562.293
300132.SZ,20190826,9.42,9.65,9.32,9.59,9.67,-0.08,-0.8273,32864.95,31366.143
300132.SZ,20190823,9.78,9.79,9.62,9.67,9.78,-0.11,-1.1247,32734.0,31712.303
300132.SZ,20190822,9.71,9.88,9.7,9.78,9.73,0.05,0.5139,26115.92,25507.407
300132.SZ,20190821,9.69,9.82,9.66,9.73,9.72,0.01,0.1029,30209.0,29461.737
300132.SZ,20190820,9.79,9.84,9.65,9.72,9.67,0.05,0.5171,41527.0,40451.262
300132.SZ,20190819,9.4,9.68,9.4,9.67,9.38,0.29,3.0917,37361.51,35701.151
300132.SZ,20190816,9.33,9.44,9.33,9.38,9.34,0.04,0.4283,29991.7,28162.152
300132.SZ,20190815,9.14,9.36,9.1,9.34,9.36,-0.02,-0.2137,32268.0,29773.476
300132.SZ,20190814,9.3,9.46,9.28,9.36,9.21,0.15,1.6287,41498.52,38884.456
300132.SZ,20190813,9.25,9.38,9.16,9.21,9.34,-0.13,-1.3919,28503.0,26312.494
300132.SZ,20190812,9.46,9.47,9.09,9.34,9.42,-0.08,-0.8493,56744.22,52413.896
300132.SZ,20190809,9.47,9.69,9.36,9.42,9.46,-0.04,-0.4228,33419.0,31844.157
300132.SZ,20190808,9.57,9.67,9.3,9.46,9.57,-0.11,-1.1494,32582.6,31035.774
300132.SZ,20190807,9.68,9.74,9.54,9.57,9.56,0.01,0.1046,30602.0,29448.679
300132.SZ,20190806,10.05,10.09,9.39,9.56,10.2,-0.64,-6.2745,78127.03,75314.481
300132.SZ,20190805,10.32,10.45,10.14,10.2,10.42,-0.22,-2.1113,36112.0,37124.297
300132.SZ,20190802,10.16,10.47,10.11,10.42,10.4,0.02,0.1923,37234.89,38559.94
300132.SZ,20190801,10.48,10.49,10.4,10.4,10.48,-0.08,-0.7634,24480.0,25560.059
300132.SZ,20190731,10.53,10.58,10.31,10.48,10.51,-0.03,-0.2854,32892.0,34488.276
300132.SZ,20190730,10.42,10.58,10.36,10.51,10.36,0.15,1.4479,39293.0,41252.892
300132.SZ,20190729,10.37,10.41,10.22,10.36,10.37,-0.01,-0.0964,32869.86,33920.081
300132.SZ,20190726,10.38,10.45,10.33,10.37,10.35,0.02,0.1932,31989.76,33209.681
300132.SZ,20190725,10.4,10.5,10.34,10.35,10.4,-0.05,-0.4808,69138.7,71963.252
300132.SZ,20190724,10.35,10.5,10.34,10.4,10.31,0.09,0.8729,30733.8,32041.921
300132.SZ,20190723,10.23,10.42,10.17,10.31,10.16,0.15,1.4764,30409.09,31324.902
300132.SZ,20190722,10.65,10.66,10.01,10.16,10.61,-0.45,-4.2413,60761.07,62259.549
300132.SZ,20190719,10.64,10.79,10.54,10.61,10.64,-0.03,-0.282,42331.36,45057.267
300132.SZ,20190718,10.96,11.0,10.64,10.64,11.05,-0.41,-3.7104,58182.15,62470.984
300132.SZ,20190717,11.1,11.16,11.02,11.05,11.14,-0.09,-0.8079,45800.89,50715.963
300132.SZ,20190716,11.26,11.27,11.1,11.14,11.32,-0.18,-1.5901,47132.76,52587.428
300132.SZ,20190715,11.16,11.45,11.03,11.32,11.04,0.28,2.5362,92531.89,104331.898
300132.SZ,20190712,11.05,11.16,10.93,11.04,11.1,-0.06,-0.5405,42777.83,47390.376
300132.SZ,20190711,11.03,11.2,10.87,11.1,11.03,0.07,0.6346,56498.24,62365.82
300132.SZ,20190710,11.29,11.3,10.91,11.03,11.25,-0.22,-1.9556,76210.65,84443.449
300132.SZ,20190709,10.53,11.31,10.52,11.25,10.55,0.7,6.6351,96736.42,106089.002
300132.SZ,20190708,11.0,11.07,10.54,10.55,11.06,-0.51,-4.6112,51831.79,55745.966
300132.SZ,20190705,11.05,11.16,10.92,11.06,11.17,-0.11,-0.9848,43676.48,48273.106
300132.SZ,20190704,11.26,11.26,11.06,11.17,11.28,-0.11,-0.9752,41086.0,45708.978
300132.SZ,20190703,11.13,11.34,11.03,11.28,11.1,0.18,1.6216,52090.32,58441.585
300132.SZ,20190702,11.15,11.2,11.04,11.1,11.22,-0.12,-1.0695,45334.69,50315.097
300132.SZ,20190701,11.09,11.22,10.93,11.22,10.88,0.34,3.125,73593.21,81781.062
300132.SZ,20190628,10.83,10.93,10.75,10.88,10.78,0.1,0.9276,46445.0,50401.084
300132.SZ,20190627,10.93,10.98,10.75,10.78,10.89,-0.11,-1.0101,48904.07,53093.411
300132.SZ,20190626,10.63,10.96,10.59,10.89,10.7,0.19,1.7757,51164.06,55464.469
300132.SZ,20190625,10.97,10.97,10.54,10.7,11.04,-0.34,-3.0797,62863.06,67296.797
300132.SZ,20190624,10.92,11.08,10.79,11.04,10.93,0.11,1.0064,54514.0,59631.357
300132.SZ,20190621,10.95,11.05,10.82,10.93,10.73,0.2,1.8639,74314.33,81270.079
300132.SZ,20190620,10.44,10.85,10.3,10.73,10.52,0.21,1.9962,73302.72,77963.478
300132.SZ,20190619,10.61,10.75,10.5,10.52,10.39,0.13,1.2512,47359.24,50251.927
300132.SZ,20190618,10.37,10.58,10.37,10.39,10.39,0.0,0.0,48104.89,50348.589
300132.SZ,20190617,10.63,10.72,10.3,10.39,10.56,-0.17,-1.6098,59513.3,62052.887
300132.SZ,20190614,10.82,10.99,10.53,10.56,10.87,-0.31,-2.8519,61323.54,66058.162
300132.SZ,20190613,10.61,10.95,10.6,10.87,10.69,0.18,1.6838,82276.45,88648.23
300132.SZ,20190612,11.02,11.17,10.64,10.69,11.42,-0.73,-6.3923,126609.86,137504.135
300132.SZ,20190611,11.27,11.5,11.18,11.42,11.22,0.2,1.7825,50595.2,57724.913
300132.SZ,20190610,10.84,11.28,10.84,11.22,10.8,0.42,3.8889,43331.0,48321.152
300132.SZ,20190606,11.3,11.36,10.77,10.8,11.36,-0.56,-4.9296,54621.74,60100.657
300132.SZ,20190605,11.44,11.59,11.26,11.36,11.36,0.0,0.0,31433.0,35825.597
300132.SZ,20190604,11.83,11.84,11.3,11.36,11.83,-0.47,-3.973,43934.16,50387.052
300132.SZ,20190603,11.76,12.0,11.55,11.83,11.76,0.07,0.5952,42345.96,49878.808
300132.SZ,20190531,12.3,12.33,11.7,11.76,12.3,-0.54,-4.3902,67950.78,81649.552
300132.SZ,20190530,12.41,12.46,12.2,12.3,12.54,-0.24,-1.9139,30698.15,37701.285
300132.SZ,20190529,12.62,12.7,12.5,12.54,12.56,-0.02,-0.1592,32135.51,40377.194
300132.SZ,20190528,12.8,12.86,12.51,12.56,12.84,-0.28,-2.1807,34793.0,44172.587
300132.SZ,20190527,12.33,12.84,12.32,12.84,12.41,0.43,3.4649,38413.96,48579.745
300132.SZ,20190524,12.25,12.49,12.24,12.41,12.42,-0.01,-0.0805,25086.78,31008.893
300132.SZ,20190523,12.35,12.71,12.26,12.42,12.38,0.04,0.3231,44218.19,55356.385
300132.SZ,20190522,12.6,12.65,12.3,12.38,12.68,-0.3,-2.3659,36641.08,45524.91
300132.SZ,20190521,12.49,12.75,12.37,12.68,12.5,0.18,1.44,28098.0,35457.082
300132.SZ,20190520,12.51,12.58,12.17,12.5,12.52,-0.02,-0.1597,35892.2,44272.261
300132.SZ,20190517,13.13,13.15,12.47,12.52,13.07,-0.55,-4.2081,56445.85,71949.336
300132.SZ,20190516,13.24,13.24,12.94,13.07,13.15,-0.08,-0.6084,46837.45,61083.501
300132.SZ,20190515,12.76,13.18,12.7,13.15,12.65,0.5,3.9526,64675.96,83734.307
300132.SZ,20190514,12.56,12.94,12.56,12.65,12.79,-0.14,-1.0946,48768.0,62075.938
300132.SZ,20190513,13.05,13.27,12.77,12.79,13.38,-0.59,-4.4096,82701.05,106638.465
300132.SZ,20190510,12.49,13.56,12.45,13.38,12.33,1.05,8.5158,124889.3,162511.737
300132.SZ,20190509,12.38,12.69,12.28,12.33,12.52,-0.19,-1.5176,40435.85,50439.024
300132.SZ,20190508,12.39,12.78,12.21,12.52,12.69,-0.17,-1.3396,43028.85,54095.693
300132.SZ,20190507,12.64,12.86,12.59,12.69,12.55,0.14,1.1155,42188.58,53635.879
300132.SZ,20190506,13.5,13.51,12.48,12.55,13.87,-1.32,-9.5169,85409.84,111062.845
