ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002646.SZ,20200110,10.86,11.24,10.82,11.03,10.86,0.17,1.5654,58610.28,64742.048
002646.SZ,20200109,10.75,10.87,10.75,10.86,10.72,0.14,1.306,24165.96,26155.644
002646.SZ,20200108,10.91,10.91,10.68,10.72,10.92,-0.2,-1.8315,28854.95,31090.73
002646.SZ,20200107,10.82,10.97,10.8,10.92,10.81,0.11,1.0176,30053.69,32742.783
002646.SZ,20200106,10.75,10.84,10.7,10.81,10.81,0.0,0.0,28931.59,31171.187
002646.SZ,20200103,10.81,10.87,10.75,10.81,10.81,0.0,0.0,33820.95,36600.329
002646.SZ,20200102,10.76,10.88,10.7,10.81,10.71,0.1,0.9337,36796.21,39680.43
002646.SZ,20191231,10.68,10.72,10.64,10.71,10.75,-0.04,-0.3721,20721.24,22127.213
002646.SZ,20191230,10.61,10.82,10.4,10.75,10.61,0.14,1.3195,39687.95,42229.681
002646.SZ,20191227,10.56,10.75,10.52,10.61,10.58,0.03,0.2836,35851.01,38115.722
002646.SZ,20191226,10.52,10.81,10.47,10.58,10.49,0.09,0.858,33626.71,35682.946
002646.SZ,20191225,10.54,10.59,10.43,10.49,10.54,-0.05,-0.4744,17539.54,18403.318
002646.SZ,20191224,10.46,10.63,10.4,10.54,10.5,0.04,0.381,24076.07,25289.496
002646.SZ,20191223,10.77,10.88,10.48,10.5,10.84,-0.34,-3.1365,24929.25,26625.273
002646.SZ,20191220,10.65,10.92,10.64,10.84,10.67,0.17,1.5933,44104.04,47628.674
002646.SZ,20191219,10.67,10.69,10.59,10.67,10.67,0.0,0.0,22151.04,23534.634
002646.SZ,20191218,10.75,10.85,10.66,10.67,10.72,-0.05,-0.4664,17812.0,19108.42
002646.SZ,20191217,10.59,10.73,10.59,10.72,10.63,0.09,0.8467,21539.68,23007.729
002646.SZ,20191216,10.57,10.69,10.54,10.63,10.59,0.04,0.3777,18053.01,19138.344
002646.SZ,20191213,10.46,10.66,10.44,10.59,10.41,0.18,1.7291,18368.02,19382.815
002646.SZ,20191212,10.42,10.5,10.34,10.41,10.42,-0.01,-0.096,9512.11,9923.634
002646.SZ,20191211,10.56,10.56,10.4,10.42,10.56,-0.14,-1.3258,12131.1,12682.137
002646.SZ,20191210,10.51,10.64,10.39,10.56,10.58,-0.02,-0.189,20800.44,21827.837
002646.SZ,20191209,10.55,10.65,10.44,10.58,10.64,-0.06,-0.5639,25601.73,26998.926
002646.SZ,20191206,10.27,10.75,10.24,10.64,10.27,0.37,3.6027,38343.86,40291.027
002646.SZ,20191205,10.3,10.3,10.18,10.27,10.35,-0.08,-0.7729,19255.75,19715.051
002646.SZ,20191204,10.07,10.95,10.07,10.35,10.04,0.31,3.0876,35516.81,36978.793
002646.SZ,20191203,10.06,10.06,9.97,10.04,10.06,-0.02,-0.1988,10015.0,10023.324
002646.SZ,20191202,10.12,10.2,10.0,10.06,10.11,-0.05,-0.4946,10701.75,10798.817
002646.SZ,20191129,10.22,10.3,10.07,10.11,10.23,-0.12,-1.173,9968.0,10122.259
002646.SZ,20191128,10.13,10.3,10.03,10.23,10.13,0.1,0.9872,13751.23,14049.988
002646.SZ,20191127,10.3,10.32,10.1,10.13,10.31,-0.18,-1.7459,12435.33,12649.158
002646.SZ,20191126,10.09,10.35,10.07,10.31,10.08,0.23,2.2817,18721.02,19086.867
002646.SZ,20191125,10.09,10.12,9.92,10.08,10.07,0.01,0.0993,13509.46,13575.06
002646.SZ,20191122,10.02,10.2,10.0,10.07,10.0,0.07,0.7,14073.87,14192.823
002646.SZ,20191121,10.1,10.13,9.98,10.0,10.14,-0.14,-1.3807,10919.0,10954.886
002646.SZ,20191120,10.16,10.24,10.12,10.14,10.18,-0.04,-0.3929,9643.0,9810.982
002646.SZ,20191119,10.09,10.19,10.08,10.18,10.15,0.03,0.2956,16483.0,16710.023
002646.SZ,20191118,9.95,10.18,9.9,10.15,9.97,0.18,1.8054,15271.69,15340.142
002646.SZ,20191115,10.2,10.24,9.94,9.97,10.25,-0.28,-2.7317,14553.0,14622.78
002646.SZ,20191114,10.24,10.28,10.0,10.25,10.2,0.05,0.4902,15980.0,16242.312
