ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000628.SZ,20200110,9.82,9.98,9.82,9.92,9.83,0.09,0.9156,25924.07,25710.012
000628.SZ,20200109,9.8,9.9,9.79,9.83,9.73,0.1,1.0277,23113.27,22762.899
000628.SZ,20200108,9.97,9.98,9.7,9.73,9.98,-0.25,-2.505,40323.74,39642.139
000628.SZ,20200107,9.99,10.01,9.9,9.98,10.0,-0.02,-0.2,37483.79,37330.166
000628.SZ,20200106,10.3,10.3,9.92,10.0,10.32,-0.32,-3.1008,82679.66,82812.557
000628.SZ,20200103,10.0,10.38,9.9,10.32,9.96,0.36,3.6145,54640.93,55105.593
000628.SZ,20200102,10.0,10.06,9.9,9.96,9.87,0.09,0.9119,36721.05,36555.042
000628.SZ,20191231,9.5,9.96,9.44,9.87,9.5,0.37,3.8947,50150.12,49118.611
000628.SZ,20191230,9.62,9.64,9.29,9.5,9.55,-0.05,-0.5236,22382.0,21236.936
000628.SZ,20191227,9.61,9.75,9.54,9.55,9.61,-0.06,-0.6243,30551.0,29478.43
000628.SZ,20191226,9.57,9.64,9.53,9.61,9.58,0.03,0.3132,23230.5,22265.787
000628.SZ,20191225,9.62,9.65,9.51,9.58,9.62,-0.04,-0.4158,16537.0,15841.333
000628.SZ,20191224,9.59,9.67,9.58,9.62,9.59,0.03,0.3128,15532.07,14937.374
000628.SZ,20191223,9.72,9.83,9.57,9.59,9.72,-0.13,-1.3374,24758.96,23990.706
000628.SZ,20191220,9.83,9.89,9.71,9.72,9.85,-0.13,-1.3198,24305.01,23784.998
000628.SZ,20191219,9.83,9.9,9.78,9.85,9.84,0.01,0.1016,23790.33,23424.764
000628.SZ,20191218,9.88,9.98,9.78,9.84,9.88,-0.04,-0.4049,25193.08,24823.018
000628.SZ,20191217,9.83,9.92,9.77,9.88,9.77,0.11,1.1259,30779.63,30284.901
000628.SZ,20191216,9.68,9.85,9.68,9.77,9.61,0.16,1.6649,27513.0,26893.19
000628.SZ,20191213,9.6,9.66,9.58,9.61,9.57,0.04,0.418,18356.16,17644.268
000628.SZ,20191212,9.55,9.64,9.51,9.57,9.57,0.0,0.0,15391.81,14737.777
000628.SZ,20191211,9.6,9.67,9.52,9.57,9.6,-0.03,-0.3125,18686.0,17895.517
