ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002851.SZ,20200110,22.12,22.19,21.7,21.8,22.14,-0.34,-1.5357,60775.68,132969.202
002851.SZ,20200109,22.31,22.6,21.88,22.14,22.06,0.08,0.3626,74288.03,164535.938
002851.SZ,20200108,22.05,22.7,21.8,22.06,22.05,0.01,0.0454,110044.69,245835.142
002851.SZ,20200107,21.8,22.13,21.7,22.05,21.99,0.06,0.2729,81024.69,177446.624
002851.SZ,20200106,21.28,22.29,21.09,21.99,21.15,0.84,3.9716,142325.49,310935.242
002851.SZ,20200103,21.42,21.44,20.97,21.15,21.29,-0.14,-0.6576,61843.26,130810.882
002851.SZ,20200102,20.92,21.42,20.81,21.29,20.72,0.57,2.751,83905.4,177661.981
002851.SZ,20191231,20.89,21.28,20.31,20.72,20.85,-0.13,-0.6235,63278.43,131105.376
002851.SZ,20191230,20.61,20.91,20.19,20.85,20.7,0.15,0.7246,48268.0,99460.919
002851.SZ,20191227,20.8,21.35,20.62,20.7,20.81,-0.11,-0.5286,71133.02,148985.797
002851.SZ,20191226,20.7,20.98,20.55,20.81,20.83,-0.02,-0.096,62538.75,129758.927
002851.SZ,20191225,20.0,20.99,20.0,20.83,20.06,0.77,3.8385,65425.12,134411.45
002851.SZ,20191224,20.16,20.35,19.72,20.06,19.9,0.16,0.804,39951.21,80115.688
002851.SZ,20191223,20.7,20.7,19.87,19.9,20.67,-0.77,-3.7252,45891.92,92270.214
002851.SZ,20191220,21.4,21.4,20.65,20.67,21.19,-0.52,-2.454,60645.61,126646.627
002851.SZ,20191219,20.39,21.76,20.3,21.19,20.42,0.77,3.7708,101083.53,213837.348
002851.SZ,20191218,20.82,20.82,20.34,20.42,20.81,-0.39,-1.8741,43835.05,90193.882
002851.SZ,20191217,20.79,20.85,20.52,20.81,20.75,0.06,0.2892,51269.9,106108.822
002851.SZ,20191216,20.85,20.92,20.46,20.75,20.7,0.05,0.2415,37967.25,78386.076
002851.SZ,20191213,20.55,20.79,20.33,20.7,20.44,0.26,1.272,38138.25,78536.599
002851.SZ,20191212,20.4,20.68,20.2,20.44,20.41,0.03,0.147,51726.31,105827.415
002851.SZ,20191211,20.29,20.54,20.05,20.41,20.29,0.12,0.5914,41110.1,83657.356
002851.SZ,20191210,20.28,20.43,20.1,20.29,20.29,0.0,0.0,32865.51,66513.372
002851.SZ,20191209,20.46,20.61,20.21,20.29,20.46,-0.17,-0.8309,39301.29,80048.819
002851.SZ,20191206,20.24,20.5,20.06,20.46,20.35,0.11,0.5405,40095.43,81641.253
002851.SZ,20191205,19.9,20.43,19.9,20.35,19.9,0.45,2.2613,61736.63,124655.034
002851.SZ,20191204,19.39,19.93,19.3,19.9,19.45,0.45,2.3136,42594.92,84258.289
002851.SZ,20191203,19.5,19.5,18.92,19.45,19.51,-0.06,-0.3075,26739.74,51337.098
002851.SZ,20191202,19.32,19.65,19.32,19.51,19.36,0.15,0.7748,16993.32,33131.916
002851.SZ,20191129,19.5,19.65,19.32,19.36,19.4,-0.04,-0.2062,24128.55,47015.469
002851.SZ,20191128,19.45,19.65,19.16,19.4,19.42,-0.02,-0.103,26108.0,50662.425
002851.SZ,20191127,19.17,19.56,18.78,19.42,19.17,0.25,1.3041,33074.73,64076.563
002851.SZ,20191126,18.78,19.2,18.78,19.17,18.66,0.51,2.7331,27715.44,52605.403
002851.SZ,20191125,19.02,19.16,18.0,18.66,18.98,-0.32,-1.686,21745.87,40586.768
002851.SZ,20191122,19.26,19.47,18.87,18.98,19.06,-0.08,-0.4197,28327.14,54161.89
002851.SZ,20191121,19.28,19.53,18.97,19.06,19.49,-0.43,-2.2063,25187.0,48327.958
002851.SZ,20191120,19.44,19.74,19.3,19.49,19.39,0.1,0.5157,29735.01,58125.755
002851.SZ,20191119,18.97,19.47,18.89,19.39,19.01,0.38,1.9989,26978.5,52172.205
002851.SZ,20191118,18.85,19.18,18.65,19.01,18.88,0.13,0.6886,27646.0,52575.68
002851.SZ,20191115,19.6,19.92,18.86,18.88,19.61,-0.73,-3.7226,57417.78,110541.481
002851.SZ,20191114,20.16,20.29,19.53,19.61,20.3,-0.69,-3.399,51817.33,102101.659
002851.SZ,20191113,20.29,20.3,20.0,20.3,20.3,0.0,0.0,24178.5,48638.407
002851.SZ,20191112,20.09,20.32,19.68,20.3,20.0,0.3,1.5,40477.75,81289.481
002851.SZ,20191111,20.7,20.7,19.8,20.0,20.77,-0.77,-3.7073,50403.0,101832.77
002851.SZ,20191108,20.73,21.18,20.6,20.77,20.66,0.11,0.5324,61568.33,128852.107
002851.SZ,20191107,20.52,20.8,20.2,20.66,20.6,0.06,0.2913,49499.6,102011.147
002851.SZ,20191106,20.16,20.87,20.14,20.6,20.16,0.44,2.1825,76171.34,157230.319
002851.SZ,20191105,20.15,20.34,19.98,20.16,20.16,0.0,0.0,46769.58,94210.652
002851.SZ,20191104,19.92,20.19,19.85,20.16,19.92,0.24,1.2048,42977.85,86331.517
002851.SZ,20191101,19.52,19.97,19.52,19.92,19.56,0.36,1.8405,38229.21,75923.318
002851.SZ,20191031,19.3,20.06,19.3,19.56,19.3,0.26,1.3472,44043.0,87176.378
002851.SZ,20191030,19.61,19.63,19.2,19.3,19.57,-0.27,-1.3797,24579.57,47606.885
002851.SZ,20191029,19.8,19.85,19.49,19.57,19.91,-0.34,-1.7077,28942.0,56781.275
002851.SZ,20191028,19.89,19.98,19.59,19.91,19.78,0.13,0.6572,40563.13,80339.009
002851.SZ,20191025,19.47,19.83,19.3,19.78,19.47,0.31,1.5922,27152.28,53107.511
002851.SZ,20191024,19.55,19.67,19.2,19.47,19.58,-0.11,-0.5618,25581.75,49750.489
002851.SZ,20191023,19.85,19.96,19.57,19.58,19.83,-0.25,-1.2607,17082.32,33638.367
002851.SZ,20191022,19.64,19.96,19.57,19.83,19.59,0.24,1.2251,24364.06,48182.558
002851.SZ,20191021,19.75,19.88,19.38,19.59,19.75,-0.16,-0.8101,24807.58,48601.076
002851.SZ,20191018,20.34,20.34,19.66,19.75,20.21,-0.46,-2.2761,30630.24,61126.756
002851.SZ,20191017,20.49,20.55,19.9,20.21,20.5,-0.29,-1.4146,28880.75,58483.848
002851.SZ,20191016,20.48,20.77,20.14,20.5,20.65,-0.15,-0.7264,36547.52,74519.914
002851.SZ,20191015,20.71,21.18,20.49,20.65,20.49,0.16,0.7809,64077.45,133290.187
002851.SZ,20191014,20.51,20.71,20.3,20.49,20.35,0.14,0.688,40562.0,83129.455
002851.SZ,20191011,20.41,20.64,20.22,20.35,20.26,0.09,0.4442,41420.73,84613.003
002851.SZ,20191010,20.36,20.5,20.02,20.26,20.29,-0.03,-0.1479,38054.44,76912.551
002851.SZ,20191009,19.55,20.3,19.4,20.29,19.58,0.71,3.6261,35225.88,70182.316
002851.SZ,20191008,19.74,19.9,19.34,19.58,19.71,-0.13,-0.6596,34351.0,67363.185
002851.SZ,20190930,19.95,20.15,19.68,19.71,19.92,-0.21,-1.0542,24233.34,48302.918
