ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600510.SH,20200110,7.05,7.09,6.87,6.91,7.05,-0.14,-1.9858,57984.31,40249.942
600510.SH,20200109,6.75,7.26,6.74,7.05,6.74,0.31,4.5994,107214.14,75127.035
600510.SH,20200108,6.79,6.79,6.68,6.74,6.8,-0.06,-0.8824,39324.58,26471.898
600510.SH,20200107,6.8,6.86,6.75,6.8,6.81,-0.01,-0.1468,40111.72,27268.157
600510.SH,20200106,6.78,6.88,6.7,6.81,6.85,-0.04,-0.5839,49280.24,33570.93
600510.SH,20200103,6.78,6.86,6.71,6.85,6.79,0.06,0.8837,48307.32,32772.312
600510.SH,20200102,6.75,6.87,6.73,6.79,6.7,0.09,1.3433,54318.96,36890.609
600510.SH,20191231,6.82,6.84,6.67,6.7,6.81,-0.11,-1.6153,49955.68,33556.727
600510.SH,20191230,6.62,6.86,6.59,6.81,6.62,0.19,2.8701,74222.65,50147.257
600510.SH,20191227,6.59,6.65,6.56,6.62,6.59,0.03,0.4552,43594.63,28830.498
600510.SH,20191226,6.59,6.65,6.55,6.59,6.59,0.0,0.0,33691.01,22182.185
600510.SH,20191225,6.45,6.61,6.42,6.59,6.46,0.13,2.0124,51503.98,33748.905
600510.SH,20191224,6.34,6.47,6.32,6.46,6.36,0.1,1.5723,33825.0,21705.878
600510.SH,20191223,6.41,6.48,6.34,6.36,6.41,-0.05,-0.78,47081.01,30170.369
600510.SH,20191220,6.43,6.47,6.41,6.41,6.44,-0.03,-0.4658,38635.0,24874.214
600510.SH,20191219,6.41,6.45,6.39,6.44,6.41,0.03,0.468,40399.02,25939.485
600510.SH,20191218,6.43,6.47,6.37,6.41,6.42,-0.01,-0.1558,45165.0,28957.331
600510.SH,20191217,6.3,6.48,6.26,6.42,6.33,0.09,1.4218,55305.08,35354.574
600510.SH,20191216,6.25,6.33,6.22,6.33,6.26,0.07,1.1182,51048.86,31998.707
600510.SH,20191213,6.24,6.27,6.19,6.26,6.2,0.06,0.9677,40095.92,24973.537
600510.SH,20191212,6.18,6.23,6.16,6.2,6.17,0.03,0.4862,31519.95,19529.486
600510.SH,20191211,6.18,6.19,6.12,6.17,6.14,0.03,0.4886,27700.08,17055.461
600510.SH,20191210,6.19,6.2,6.14,6.14,6.19,-0.05,-0.8078,30827.0,18988.541
600510.SH,20191209,6.21,6.25,6.18,6.19,6.2,-0.01,-0.1613,34210.54,21241.07
600510.SH,20191206,6.18,6.21,6.15,6.2,6.19,0.01,0.1616,22067.0,13633.791
600510.SH,20191205,6.21,6.21,6.15,6.19,6.21,-0.02,-0.3221,38675.9,23898.983
600510.SH,20191204,6.19,6.21,6.13,6.21,6.18,0.03,0.4854,21369.1,13223.386
600510.SH,20191203,6.1,6.19,6.07,6.18,6.13,0.05,0.8157,29116.43,17852.311
600510.SH,20191202,6.19,6.23,6.1,6.13,6.16,-0.03,-0.487,42469.74,26105.411
600510.SH,20191129,6.18,6.2,6.13,6.16,6.16,0.0,0.0,17487.6,10786.321
600510.SH,20191128,6.2,6.26,6.13,6.16,6.27,-0.11,-1.7544,40761.01,25161.933
600510.SH,20191127,6.3,6.3,6.2,6.27,6.35,-0.08,-1.2598,42605.01,26603.709
600510.SH,20191126,6.22,6.44,6.22,6.35,6.25,0.1,1.6,50231.36,31798.904
600510.SH,20191125,6.44,6.44,6.25,6.25,6.38,-0.13,-2.0376,44731.05,28202.836
600510.SH,20191122,6.26,6.47,6.26,6.38,6.3,0.08,1.2698,35897.1,22905.521
600510.SH,20191121,6.34,6.35,6.25,6.3,6.33,-0.03,-0.4739,18439.0,11606.4
600510.SH,20191120,6.42,6.44,6.3,6.33,6.46,-0.13,-2.0124,24423.0,15541.029
600510.SH,20191119,6.47,6.5,6.38,6.46,6.46,0.0,0.0,25274.0,16263.145
600510.SH,20191118,6.28,6.54,6.2,6.46,6.21,0.25,4.0258,35944.21,23037.329
600510.SH,20191115,6.3,6.36,6.2,6.21,6.34,-0.13,-2.0505,16816.0,10547.404
600510.SH,20191114,6.33,6.38,6.31,6.34,6.31,0.03,0.4754,13597.84,8630.365
600510.SH,20191113,6.47,6.47,6.28,6.31,6.5,-0.19,-2.9231,26227.62,16658.649
600510.SH,20191112,6.43,6.59,6.35,6.5,6.41,0.09,1.4041,29872.5,19330.855
600510.SH,20191111,6.47,6.53,6.4,6.41,6.47,-0.06,-0.9274,22873.2,14759.253
600510.SH,20191108,6.58,6.65,6.43,6.47,6.58,-0.11,-1.6717,35410.11,23167.047
600510.SH,20191107,6.54,6.67,6.47,6.58,6.65,-0.07,-1.0526,43188.81,28382.035
600510.SH,20191106,6.85,7.1,6.61,6.65,6.7,-0.05,-0.7463,83143.49,56935.027
600510.SH,20191105,6.67,6.73,6.57,6.7,6.67,0.03,0.4498,29437.25,19574.64
600510.SH,20191104,6.72,6.84,6.6,6.67,6.7,-0.03,-0.4478,43201.52,28906.713
600510.SH,20191101,6.69,6.8,6.61,6.7,6.65,0.05,0.7519,38141.94,25474.164
600510.SH,20191031,6.72,6.77,6.63,6.65,6.74,-0.09,-1.3353,34571.06,23115.182
600510.SH,20191030,6.66,6.88,6.66,6.74,6.74,0.0,0.0,37281.74,25189.593
600510.SH,20191029,6.84,6.85,6.7,6.74,6.79,-0.05,-0.7364,31105.98,21078.624
600510.SH,20191028,6.7,6.88,6.69,6.79,6.57,0.22,3.3486,69999.75,47516.469
600510.SH,20191025,6.58,6.6,6.49,6.57,6.56,0.01,0.1524,29925.92,19599.675
600510.SH,20191024,6.22,6.68,6.22,6.56,6.22,0.34,5.4662,66718.82,43439.338
600510.SH,20191023,6.25,6.39,6.2,6.22,6.39,-0.17,-2.6604,44850.62,28147.293
600510.SH,20191022,6.46,6.48,6.37,6.39,6.37,0.02,0.314,26434.95,16968.644
600510.SH,20191021,6.44,6.52,6.28,6.37,6.45,-0.08,-1.2403,47225.93,30191.699
600510.SH,20191018,6.57,6.65,6.4,6.45,6.56,-0.11,-1.6768,39242.41,25559.963
600510.SH,20191017,6.54,6.69,6.51,6.56,6.51,0.05,0.768,40942.58,27100.528
600510.SH,20191016,6.67,6.69,6.49,6.51,6.66,-0.15,-2.2523,37319.95,24536.132
600510.SH,20191015,6.58,6.76,6.56,6.66,6.62,0.04,0.6042,42073.45,28069.432
600510.SH,20191014,6.6,6.67,6.47,6.62,6.48,0.14,2.1605,54946.95,36308.237
600510.SH,20191011,6.36,6.58,6.35,6.48,6.37,0.11,1.7268,49227.89,31917.435
600510.SH,20191010,6.4,6.45,6.32,6.37,6.4,-0.03,-0.4688,28339.97,18031.443
600510.SH,20191009,6.38,6.4,6.25,6.4,6.36,0.04,0.6289,44244.47,28101.902
600510.SH,20191008,6.21,6.38,6.21,6.36,6.21,0.15,2.4155,47186.72,29897.64
600510.SH,20190930,6.38,6.38,6.15,6.21,6.32,-0.11,-1.7405,25680.48,15987.119
600510.SH,20190927,6.03,6.36,6.03,6.32,6.09,0.23,3.7767,44512.01,27822.431
600510.SH,20190926,6.12,6.24,6.03,6.09,6.07,0.02,0.3295,33984.58,20722.4
600510.SH,20190925,6.23,6.23,6.05,6.07,6.22,-0.15,-2.4116,31202.0,19111.35
600510.SH,20190924,6.29,6.33,6.21,6.22,6.3,-0.08,-1.2698,20935.0,13131.682
600510.SH,20190923,6.26,6.35,6.2,6.3,6.33,-0.03,-0.4739,30914.0,19429.013
600510.SH,20190920,6.33,6.45,6.3,6.33,6.4,-0.07,-1.0938,31525.2,20012.937
600510.SH,20190919,6.27,6.44,6.21,6.4,6.2,0.2,3.2258,58781.01,37333.868
600510.SH,20190918,6.15,6.2,6.13,6.2,6.12,0.08,1.3072,22793.18,14049.716
600510.SH,20190917,6.34,6.36,6.09,6.12,6.32,-0.2,-3.1646,37814.1,23399.234
600510.SH,20190916,6.39,6.4,6.31,6.32,6.33,-0.01,-0.158,34692.04,22060.729
600510.SH,20190912,6.38,6.49,6.3,6.33,6.39,-0.06,-0.939,40225.09,25496.643
600510.SH,20190911,6.28,6.4,6.25,6.39,6.26,0.13,2.0767,56525.6,35915.317
600510.SH,20190910,6.29,6.33,6.23,6.26,6.25,0.01,0.16,44721.89,28101.771
600510.SH,20190909,6.19,6.29,6.15,6.25,6.12,0.13,2.1242,51476.38,32178.797
600510.SH,20190906,6.17,6.23,6.08,6.12,6.17,-0.05,-0.8104,40046.37,24589.193
600510.SH,20190905,6.19,6.28,6.16,6.17,6.14,0.03,0.4886,45966.7,28581.919
600510.SH,20190904,6.23,6.24,6.06,6.14,6.18,-0.04,-0.6472,34497.23,21182.405
600510.SH,20190903,6.18,6.24,6.07,6.18,6.17,0.01,0.1621,41720.4,25569.545
600510.SH,20190902,5.8,6.25,5.8,6.17,5.83,0.34,5.8319,107570.22,65381.604
600510.SH,20190830,6.04,6.1,5.81,5.83,6.03,-0.2,-3.3167,58503.8,34774.119
