ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600491.SH,20200110,7.28,7.46,7.26,7.44,7.27,0.17,2.3384,253998.1,186986.417
600491.SH,20200109,7.25,7.28,7.18,7.27,7.22,0.05,0.6925,132293.0,95839.584
600491.SH,20200108,7.33,7.33,7.19,7.22,7.33,-0.11,-1.5007,87590.22,63463.265
600491.SH,20200107,7.35,7.36,7.3,7.33,7.32,0.01,0.1366,56391.53,41306.932
600491.SH,20200106,7.35,7.39,7.3,7.32,7.38,-0.06,-0.813,73875.77,54247.582
600491.SH,20200103,7.35,7.42,7.31,7.38,7.35,0.03,0.4082,81518.52,60041.869
600491.SH,20200102,7.39,7.4,7.33,7.35,7.31,0.04,0.5472,103101.41,75838.382
600491.SH,20191231,7.28,7.4,7.26,7.31,7.29,0.02,0.2743,101621.55,74497.519
600491.SH,20191230,7.26,7.3,7.21,7.29,7.28,0.01,0.1374,61047.0,44281.16
600491.SH,20191227,7.27,7.33,7.23,7.28,7.26,0.02,0.2755,87508.0,63713.206
600491.SH,20191226,7.25,7.32,7.23,7.26,7.22,0.04,0.554,50992.29,37073.339
600491.SH,20191225,7.27,7.31,7.22,7.22,7.29,-0.07,-0.9602,38166.57,27739.822
600491.SH,20191224,7.22,7.32,7.22,7.29,7.29,0.0,0.0,53864.74,39228.954
600491.SH,20191223,7.4,7.42,7.18,7.29,7.4,-0.11,-1.4865,110867.86,80820.39
600491.SH,20191220,7.45,7.47,7.38,7.4,7.44,-0.04,-0.5376,59319.0,43983.672
600491.SH,20191219,7.45,7.46,7.37,7.44,7.43,0.01,0.1346,55857.79,41384.65
600491.SH,20191218,7.33,7.53,7.29,7.43,7.28,0.15,2.0604,139263.53,103499.363
600491.SH,20191217,7.27,7.34,7.22,7.28,7.27,0.01,0.1376,107607.01,78309.482
600491.SH,20191216,7.3,7.32,7.21,7.27,7.28,-0.01,-0.1374,69965.81,50775.053
600491.SH,20191213,7.29,7.36,7.27,7.28,7.28,0.0,0.0,99883.0,72880.947
600491.SH,20191212,7.27,7.33,7.2,7.28,7.32,-0.04,-0.5464,81044.0,58850.732
600491.SH,20191211,7.39,7.42,7.24,7.32,7.39,-0.07,-0.9472,103289.09,75611.078
600491.SH,20191210,7.39,7.49,7.22,7.39,7.36,0.03,0.4076,112757.54,83174.612
600491.SH,20191209,7.4,7.42,7.33,7.36,7.38,-0.02,-0.271,62838.66,46340.996
600491.SH,20191206,7.43,7.44,7.29,7.38,7.45,-0.07,-0.9396,109361.02,80228.578
600491.SH,20191205,7.4,7.49,7.25,7.45,7.4,0.05,0.6757,93671.3,69088.441
600491.SH,20191204,7.58,7.58,7.39,7.4,7.48,-0.08,-1.0695,49000.09,36442.517
600491.SH,20191203,7.52,7.55,7.43,7.48,7.48,0.0,0.0,84311.22,63007.477
600491.SH,20191202,7.43,7.53,7.35,7.48,7.43,0.05,0.6729,133320.16,99656.119
600491.SH,20191129,7.6,7.6,7.38,7.43,7.59,-0.16,-2.108,201824.04,151574.267
600491.SH,20191128,7.5,7.61,7.4,7.59,7.5,0.09,1.2,215489.73,162224.335
600491.SH,20191127,7.43,7.51,7.42,7.5,7.4,0.1,1.3514,70866.98,52916.309
600491.SH,20191126,7.41,7.52,7.38,7.4,7.4,0.0,0.0,80136.93,59732.226
600491.SH,20191125,7.51,7.56,7.35,7.4,7.54,-0.14,-1.8568,97934.85,72589.725
600491.SH,20191122,7.55,7.6,7.33,7.54,7.52,0.02,0.266,131603.0,98278.876
600491.SH,20191121,7.48,7.57,7.37,7.52,7.42,0.1,1.3477,169310.12,127291.537
600491.SH,20191120,7.7,7.7,7.4,7.42,7.6,-0.18,-2.3684,231550.77,174446.293
600491.SH,20191119,7.52,7.65,7.46,7.6,7.44,0.16,2.1505,199558.51,150822.071
600491.SH,20191118,7.51,7.6,7.42,7.44,7.5,-0.06,-0.8,193926.14,145170.756
