ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002726.SZ,20200110,7.33,7.33,7.12,7.16,7.28,-0.12,-1.6484,102396.51,73487.747
002726.SZ,20200109,7.26,7.33,7.24,7.28,7.21,0.07,0.9709,92770.38,67533.97
002726.SZ,20200108,7.37,7.43,7.18,7.21,7.44,-0.23,-3.0914,200528.15,145963.138
002726.SZ,20200107,7.1,7.45,7.1,7.44,7.1,0.34,4.7887,272369.6,198983.346
002726.SZ,20200106,7.0,7.15,6.99,7.1,7.08,0.02,0.2825,125868.98,89106.989
002726.SZ,20200103,7.09,7.19,7.05,7.08,7.08,0.0,0.0,127553.62,90737.363
002726.SZ,20200102,7.04,7.13,7.02,7.08,7.0,0.08,1.1429,131056.19,92790.342
002726.SZ,20191231,6.92,7.04,6.87,7.0,6.93,0.07,1.0101,110117.1,77018.895
002726.SZ,20191230,6.85,6.93,6.77,6.93,6.89,0.04,0.5806,75097.68,51359.111
002726.SZ,20191227,6.84,6.96,6.84,6.89,6.84,0.05,0.731,90445.39,62363.439
002726.SZ,20191226,6.87,6.87,6.81,6.84,6.84,0.0,0.0,56156.66,38350.288
002726.SZ,20191225,6.87,6.92,6.81,6.84,6.87,-0.03,-0.4367,65191.77,44755.483
002726.SZ,20191224,6.9,6.92,6.79,6.87,6.87,0.0,0.0,79064.38,54073.934
002726.SZ,20191223,7.07,7.07,6.84,6.87,7.08,-0.21,-2.9661,108732.46,75504.943
002726.SZ,20191220,7.12,7.15,7.03,7.08,7.12,-0.04,-0.5618,102018.17,72266.932
002726.SZ,20191219,7.15,7.15,7.07,7.12,7.11,0.01,0.1406,112729.16,80253.013
002726.SZ,20191218,7.02,7.18,6.98,7.11,7.01,0.1,1.4265,181905.81,129054.246
002726.SZ,20191217,6.84,7.05,6.81,7.01,6.82,0.19,2.7859,167562.71,116889.404
002726.SZ,20191216,6.73,6.87,6.69,6.82,6.72,0.1,1.4881,127917.95,86870.747
002726.SZ,20191213,6.7,6.74,6.66,6.72,6.67,0.05,0.7496,83655.06,55993.4
002726.SZ,20191212,6.74,6.78,6.67,6.67,6.75,-0.08,-1.1852,78661.17,52785.361
002726.SZ,20191211,6.81,6.81,6.63,6.75,6.82,-0.07,-1.0264,127318.35,85436.433
002726.SZ,20191210,6.89,6.89,6.78,6.82,6.87,-0.05,-0.7278,91131.1,62161.148
002726.SZ,20191209,6.95,6.95,6.83,6.87,6.91,-0.04,-0.5789,83156.93,57193.401
002726.SZ,20191206,6.87,6.93,6.86,6.91,6.87,0.04,0.5822,84017.78,57905.641
002726.SZ,20191205,6.84,6.87,6.8,6.87,6.82,0.05,0.7331,88773.46,60675.512
002726.SZ,20191204,6.88,6.88,6.77,6.82,6.91,-0.09,-1.3025,91070.58,62015.668
002726.SZ,20191203,6.9,6.96,6.86,6.91,6.93,-0.02,-0.2886,62222.4,42911.374
002726.SZ,20191202,6.95,7.04,6.91,6.93,6.94,-0.01,-0.1441,68068.29,47480.656
002726.SZ,20191129,7.08,7.08,6.81,6.94,7.07,-0.13,-1.8388,101380.64,70156.925
002726.SZ,20191128,7.04,7.23,7.04,7.07,7.1,-0.03,-0.4225,83050.48,58997.093
